N	3gram	Tiupa_Hudo_1	Sovremen
1	с точки зрения	3	5
2	не может быть	3	4
3	тем не менее	3	2
4	в отличие от	7	2
5	в свою очередь	2	2
6	может быть и	2	2
7	в настоящее время	1	2
8	то же самое	1	2
9	каждая из этих	1	1
10	точки зрения и	1	1
11	что иное как	1	1
12	в известном смысле	1	1
13	по крайней мере	1	1
14	не могут быть	1	1
15	в одном случае	1	1
16	в связи с	1	1
17	по отношению к	9	1
18	в этом смысле	3	1
19	так же как	1	1
20	в этом случае	1	1
21	смысле можно говорить	1	1
22	то же время	5	1
23	тот или иной	2	1
24	и в то	1	1
25	ему принадлежит только	1	1
26	есть не что	1	1
27	бы то ни	1	1
28	ведь это не	1	1
29	существенно отличается от	1	1
30	в конечном счете	5	1
31	заключает в себе	1	1
32	той или иной	4	1
33	и прежде всего	1	1
34	заключать в себе	1	1
35	мы говорим о	1	1
36	в том случае	1	1
37	в то же	5	1
38	из этих двух	1	1
39	не что иное	1	1
40	в себе в	1	1
41	в том что	7	1
42	этом смысле можно	1	1
43	той же природы	1	1
44	то ни было	1	1
45	с одной стороны	2	1
