N	3gram	Nazirov_Tv_2	Sovremen
1	мы не можем	1	6
2	не может быть	3	4
3	с самого начала	1	3
4	во всяком случае	2	2
5	в отличие от	2	2
6	в свою очередь	1	2
7	в известном смысле	1	1
8	и в этом	1	1
9	по крайней мере	2	1
10	не могут быть	1	1
11	в которой он	1	1
12	но в самом	1	1
13	в связи с	1	1
14	дело в том	1	1
15	по отношению к	3	1
16	могут быть поняты	2	1
17	так же как	2	1
18	влечет за собой	2	1
19	в дальнейшем мы	1	1
20	до сих пор	3	1
21	то же время	7	1
22	и в то	2	1
23	сами по себе	1	1
24	а может быть	1	1
25	но отнюдь не	1	1
26	в конечном счете	1	1
27	можно было бы	1	1
28	и не может	2	1
29	в самом деле	2	1
30	той или иной	1	1
31	образом если у	1	1
32	и прежде всего	1	1
33	мы знаем что	1	1
34	мы говорим о	1	1
35	но уже в	1	1
36	в то же	7	1
37	все это делает	1	1
38	в том что	2	1
39	на этот вопрос	2	1
40	может быть в	1	1
41	на другой день	1	1
