N	3gram	Voloshinov_1	Myshleni
1	в том что	4	31
2	с точки зрения	10	11
3	с одной стороны	1	9
4	и тот же	2	7
5	один и тот	2	7
6	в собственном смысле	1	7
7	в этом отношении	2	7
8	и то же	1	6
9	в самом деле	5	6
10	одно и то	1	6
11	друг на друга	1	5
12	для того чтобы	1	5
13	таким образом что	1	4
14	одной и той	1	4
15	мы видим таким	1	4
16	видим таким образом	1	4
17	и той же	1	4
18	о том что	1	3
19	в основе их	1	3
20	по сравнению с	1	3
21	то обстоятельство что	1	3
22	во всяком случае	3	3
23	в этом случае	1	3
24	если мы проследим	1	3
25	в себе и	1	3
26	на один и	1	3
27	как мы уже	4	3
28	стадии своего развития	1	2
29	не могут быть	3	2
30	основе их лежит	1	2
31	в следующей главе	3	2
32	и тогда когда	1	2
33	и только в	1	2
34	в какой степени	1	2
35	оно может быть	1	2
36	мы видели что	1	2
37	в высшей степени	2	2
38	а с другой	1	2
39	в целом ряде	1	2
40	с помощью которого	1	2
41	но вместе с	2	2
42	в отличие от	1	2
43	и в отношении	1	2
44	в настоящее время	1	2
45	как мы видели	4	2
46	в свое время	1	2
47	но и в	1	2
48	в вопросе о	1	2
49	так как в	1	2
50	в свою очередь	1	2
51	в данном случае	3	2
52	не соответствует действительности	1	1
53	мы можем сказать	2	1
54	мы конечно не	1	1
55	мы полагаем что	1	1
56	с самого начала	5	1
57	но если мы	2	1
58	не может быть	3	1
59	том что в	1	1
60	по отношению к	9	1
61	бы то ни	1	1
62	мы знаем что	3	1
63	том что это	1	1
64	благодаря тому что	2	1
65	мы уже указывали	3	1
66	мы увидим что	4	1
67	а также и	1	1
68	можно сказать что	3	1
69	в современной психологии	1	1
70	не совсем так	1	1
71	и со стороны	1	1
72	развития ребенка и	1	1
73	при этом неизбежно	1	1
74	что мы называем	1	1
75	в этой фазе	1	1
76	что ребенок на	1	1
77	если бы он	3	1
78	сказать что на	1	1
79	равно как и	1	1
80	становятся как бы	1	1
81	до сих пор	3	1
82	это означает что	1	1
83	в поведении человека	1	1
84	что все эти	3	1
85	больше и больше	1	1
86	в настоящей главе	1	1
87	с помощью специальных	1	1
88	что он не	1	1
89	и во многих	1	1
90	с помощью которых	1	1
91	и самый важный	1	1
92	как бы в	1	1
93	в то время	1	1
94	на самом деле	2	1
95	ничего общего с	1	1
96	в зависимости от	2	1
97	и даже не	1	1
98	чем иным как	1	1
99	один из основных	1	1
100	уже и в	1	1
101	и что оно	1	1
102	все больше и	1	1
103	и приводит к	1	1
104	далеко не всегда	3	1
105	в своей совокупности	1	1
106	так как они	1	1
107	что нам известно	1	1
108	только то что	2	1
109	к целому ряду	1	1
110	на вопрос о	1	1
111	мы говорили что	1	1
112	но все же	1	1
113	того что мы	1	1
114	может быть даже	1	1
115	но во всяком	1	1
116	его составных частей	1	1
117	при этом как	1	1
118	оно все же	1	1
119	ни в какой	1	1
120	с помощью которой	1	1
121	можем сказать что	2	1
122	и таким образом	1	1
123	не чем иным	1	1
124	может войти в	1	1
125	том что он	2	1
126	той же группе	1	1
127	между собой в	1	1
128	на друга в	1	1
129	тем не менее	2	1
130	есть прежде всего	1	1
131	мы никогда не	1	1
132	этих двух групп	1	1
133	по этому вопросу	1	1
