N	3gram	Voloshinov_1	SlovoVZh
1	по отношению к	3	11
2	не может быть	4	7
3	в том что	2	4
4	и не может	1	3
5	тем не менее	1	3
6	может быть и	1	3
7	этой точки зрения	1	3
8	героя и слушателя	2	3
9	и то же	2	2
10	нет ничего пагубнее	1	2
11	на самом деле	1	2
12	с другой стороны	2	2
13	то же самое	1	2
14	с точки зрения	5	2
15	художественного произведения и	1	2
16	в зависимости от	2	2
17	но тем не	1	2
18	отношению к предмету	1	2
19	одно и то	3	2
20	в данном случае	2	2
21	с одной стороны	2	2
22	тех или иных	1	1
23	выбор слова и	1	1
24	том что в	1	1
25	один и тот	1	1
26	наметить хотя бы	1	1
27	автора героя и	2	1
28	является таким образом	1	1
29	жизненного высказывания и	1	1
30	их абстрактными моментами	1	1
31	и уж конечно	1	1
32	более или менее	1	1
33	в науке о	1	1
34	не должно быть	1	1
35	в самом деле	2	1
36	данной социальной группы	1	1
37	нам кажется что	1	1
38	между тем как	1	1
39	вступает в свои	1	1
40	в свои права	1	1
41	мы должны различать	1	1
42	равно как и	1	1
43	таким образом мы	1	1
44	на который опирается	1	1
45	группы как бы	1	1
46	здесь мы должны	1	1
47	только то что	1	1
48	ничего общего с	2	1
49	в этом отношении	1	1
50	с самого начала	2	1
51	в конечном счете	1	1
52	может идти только	1	1
53	взаимодействия творца и	1	1
54	можно было бы	1	1
55	то же время	1	1
56	подобно тому как	1	1
57	к слову в	1	1
58	включает в себя	1	1
59	в жизненной речи	2	1
60	ничего пагубнее для	1	1
61	структуру всего целого	1	1
62	в то же	1	1
63	и уже отсюда	1	1
64	творца и созерцателей	1	1
65	таким образом лишь	1	1
66	так же как	1	1
67	не только его	2	1
68	все эти три	1	1
69	как и в	1	1
70	далеко не всегда	1	1
71	быть понята и	1	1
72	но в то	1	1
73	едва ли кто-нибудь	1	1
74	и тот же	1	1
