N	2gram	Tiupa_Hudo_1	Tvorches
1	у достоевского	1	30
2	и в	19	20
3	в году	2	16
4	в романе	3	15
5	не только	16	13
6	никогда не	2	11
7	преступлении и	1	11
8	как бы	9	11
9	в преступлении	1	10
10	таким образом	3	10
11	в то	6	10
12	в его	9	10
13	и наказании	1	10
14	достоевского в	1	9
15	и его	12	9
16	и не	15	9
17	ивана карамазова	1	8
18	при этом	13	8
19	в том	18	8
20	может быть	14	8
21	в этом	11	8
22	прежде всего	4	8
23	но и	10	8
24	то же	10	7
25	это не	2	7
26	же время	5	7
27	потому что	3	7
28	не может	7	7
29	что в	6	7
30	в целом	3	6
31	как и	2	6
32	в своей	5	6
33	что он	3	6
34	так и	11	6
35	в конце	1	6
36	у него	1	6
37	именно в	2	6
38	а не	9	6
39	романе достоевского	1	6
40	все это	2	6
41	например в	3	5
42	еще не	3	5
43	и на	2	5
44	но не	11	5
45	в этой	2	5
46	если он	1	5
47	и сам	1	5
48	в творческом	1	5
49	в мире	21	5
50	то есть	18	5
51	о том	2	5
52	и даже	1	5
53	читателя в	3	5
54	так же	2	5
55	творческом процессе	1	4
56	все эти	2	4
57	что они	1	4
58	отнюдь не	2	4
59	как в	2	4
60	хотя и	3	4
61	но в	7	4
62	не в	7	4
63	на его	1	4
64	что она	2	4
65	первой части	2	4
66	в принципе	5	4
67	об этом	2	4
68	соответствии с	1	4
69	если бы	3	4
70	тем самым	4	4
71	в известной	1	4
72	в чем	2	4
73	мы видим	1	4
74	в душе	8	4
75	а в	12	4
76	в соответствии	1	4
77	если не	1	4
78	и потому	2	4
79	и от	1	4
80	героя в	1	4
81	том что	8	4
82	но у	1	4
83	одним из	1	3
84	же как	1	3
85	человека и	1	3
86	и через	1	3
87	что достоевский	1	3
88	а с	2	3
89	по отношению	9	3
90	тогда как	13	3
91	в одной	1	3
92	по сути	3	3
93	о жизни	1	3
94	отношению к	9	3
95	в себе	9	3
96	в нем	5	3
97	он не	4	3
98	а затем	1	3
99	его в	2	3
100	в самом	5	3
101	в котором	1	3
102	в их	5	3
103	место в	4	3
104	однако этот	1	3
105	своего рода	5	3
106	тем что	1	3
107	одна из	2	3
108	казалось бы	1	3
109	и это	2	3
110	быть может	1	3
111	с ним	2	3
112	князя с	1	3
113	между тем	4	3
114	уже не	4	3
115	для него	4	3
116	у нее	1	3
117	так как	1	3
118	то что	4	3
119	как у	1	3
120	и др	2	3
121	что не	1	3
122	превращается в	2	3
123	в рассказе	3	3
124	вместе с	1	3
125	сути дела	1	3
126	в область	1	3
127	главного героя	1	3
128	с этой	1	3
129	один из	2	3
130	не является	4	3
131	жизни в	2	3
132	одной из	2	3
133	в своих	1	3
134	в таком	1	3
135	неотделима от	1	2
136	таком случае	1	2
137	начинается с	1	2
138	и есть	1	2
139	по преимуществу	2	2
140	говорить о	3	2
141	я не	2	2
142	роман и	2	2
143	как правило	2	2
144	в ее	5	2
145	так что	1	2
146	в истории	1	2
147	и поэтому	1	2
148	писателя в	1	2
149	имеет в	1	2
150	для которого	2	2
151	в которой	2	2
152	из жизни	1	2
153	в литературном	1	2
154	бы не	1	2
155	тоже не	1	2
156	тому же	1	2
157	во многих	1	2
158	в статье	1	2
159	художников в	1	2
160	при виде	1	2
161	едва ли	1	2
162	у читателя	1	2
163	и по	2	2
164	том же	1	2
165	к миру	1	2
166	он же	1	2
167	в такой	1	2
168	не столько	3	2
169	в отличие	7	2
170	их в	3	2
171	не могли	1	2
172	между людьми	1	2
173	так он	1	2
174	не менее	3	2
175	из нас	1	2
176	в русской	3	2
177	он еще	1	2
178	другой стороны	5	2
179	трагизма и	1	2
180	однако это	1	2
181	у нас	1	2
182	личности в	4	2
183	могут быть	4	2
184	ли не	1	2
185	части романа	1	2
186	действия и	1	2
187	так в	4	2
188	приводит к	5	2
189	роль в	1	2
190	действующих лиц	1	2
191	сводится к	7	2
192	и что	3	2
193	что его	1	2
194	восходит к	1	2
195	в литературной	1	2
196	крайней мере	1	2
197	о своих	1	2
198	в которую	1	2
199	в литературе	1	2
200	к которому	4	2
201	не случайно	3	2
202	с ними	1	2
203	только в	5	2
204	и ее	3	2
205	себя в	7	2
206	или даже	3	2
207	из них	1	2
208	в одном	2	2
209	вовсе не	2	2
210	может служить	2	2
211	отличие от	7	2
212	рядом с	1	2
213	понимаем что	1	2
214	с другой	7	2
215	не было	1	2
216	не означает	1	2
217	зависит от	1	2
218	по крайней	1	2
219	в произведениях	1	2
220	в частности	13	2
221	начиная с	2	2
222	к жизни	2	2
223	только для	1	2
224	более того	1	2
225	для автора	2	2
226	в основе	4	2
227	ни к	2	2
228	с другими	4	2
229	видим в	2	2
230	но если	1	2
231	героя и	5	2
232	и без	1	2
233	из этого	2	2
234	в искусстве	7	2
235	ту же	1	1
236	можно говорить	1	1
237	кто бы	1	1
238	лишь ее	1	1
