N	3gram	Propp_Morf_1	Problemy
1	с точки зрения	2	8
2	в большинстве случаев	3	8
3	до сих пор	1	7
4	по отношению к	4	5
5	то перед нами	5	5
6	не может быть	9	4
7	друг с другом	1	4
8	и т д	39	4
9	более или менее	2	3
10	как мы увидим	4	3
11	с другой стороны	4	3
12	как и в	2	3
13	хотя и не	1	2
14	в настоящее время	3	2
15	том что он	1	2
16	здесь не место	1	2
17	мы переходим к	1	2
18	друг на друга	2	2
19	может быть и	2	2
20	в том или	1	2
21	том или другом	1	2
22	и то же	1	2
23	то время как	3	2
24	одно и то	1	2
25	друг к другу	2	2
26	тем не менее	4	2
27	в то время	3	2
28	двух точек зрения	1	2
29	но все же	3	2
30	на то что	2	2
31	в этих случаях	11	2
32	о том как	1	1
33	но кроме того	1	1
34	в форме диалога	1	1
35	нужно иметь в	1	1
36	иметь в виду	1	1
37	уже не может	1	1
38	а вовсе не	1	1
39	здесь перед нами	1	1
40	с большим количеством	1	1
41	для наших целей	1	1
42	героя может быть	1	1
43	точки зрения его	1	1
44	ко второму типу	1	1
45	то это совершенно	1	1
46	но для наших	1	1
47	сих пор не	1	1
48	если же он	1	1
49	в таком случае	1	1
50	и в других	1	1
51	является одним из	1	1
52	так как его	1	1
53	бы то ни	3	1
54	т д но	4	1
55	там где есть	1	1
56	в собственном смысле	3	1
57	иногда же она	1	1
58	еще мал и	1	1
59	мы увидим дальше	1	1
60	и пр он	2	1
61	героя а не	1	1
62	и заставляет его	1	1
63	то ни было	2	1
64	с одной стороны	1	1
65	относится ко второму	1	1
66	важное значение для	1	1
67	так же не	1	1
68	в связи с	8	1
69	а не первого	1	1
70	если мы не	3	1
71	не входит в	1	1
72	то мы не	1	1
73	то что он	1	1
74	перед нами в	1	1
75	собственном смысле слова	3	1
76	во всяком случае	2	1
77	в точном смысле	1	1
78	т д как	3	1
79	один из его	1	1
80	если же они	1	1
81	вместо того чтобы	1	1
82	самом деле в	1	1
83	о том что	1	1
84	это еще не	1	1
85	может быть разрешен	2	1
86	на самом деле	4	1
87	и как их	1	1
88	то что не	1	1
89	эта форма в	1	1
90	мы будем говорить	1	1
91	можно сказать что	1	1
92	сюда же относится	1	1
93	перед нами опять	1	1
94	в другом случае	1	1
95	после того как	1	1
96	типа а не	1	1
97	друг за другом	2	1
98	вовсе не с	1	1
99	в том что	3	1
100	остановимся лишь на	1	1
101	перед ним как	1	1
102	мы увидим что	1	1
103	следует за ней	1	1
