N	2gram	Medvedev_I_1	Formalny
1	и не	2	30
2	и в	1	27
3	так и	1	21
4	в этом	2	18
5	если бы	1	12
6	что в	2	8
7	все это	1	7
8	все эти	1	6
9	с другой	1	6
10	бы в	1	6
11	в художественном	1	5
12	того чтобы	1	5
13	никогда не	1	5
14	тем что	1	5
15	другой стороны	1	5
16	в целом	1	4
17	для того	1	4
18	жизни и	1	4
19	того же	1	3
20	и с	3	3
21	по отношению	1	3
22	в основе	1	3
23	в них	1	3
24	произведения и	1	3
25	того что	1	3
26	отношению к	1	3
27	говорить о	1	2
28	и со	1	2
29	очевидно что	1	2
30	от этого	1	2
31	нисколько не	1	2
32	в эту	1	2
33	художественного творчества	1	2
34	и очень	1	2
35	как о	1	2
36	ничего не	2	2
37	должен быть	2	2
38	автор и	1	2
39	и др	1	2
40	тех же	1	1
41	стали бы	1	1
42	нам в	1	1
43	а для	1	1
44	эти произведения	1	1
45	следующим образом	1	1
46	и тот	1	1
47	он не	2	1
48	по существу	1	1
49	дает и	1	1
50	его произведения	1	1
51	и творчества	1	1
52	автора и	1	1
53	в первую	1	1
54	могло бы	1	1
55	а отсюда	1	1
56	понимания жизни	1	1
57	произведения это	1	1
58	что при	1	1
59	для него	1	1
60	и та	1	1
61	в значительной	1	1
62	не так	1	1
63	себя в	1	1
64	это сам	1	1
65	то и	1	1
66	без этого	1	1
67	и литература	1	1
68	что для	1	1
69	и о	1	1
70	только для	1	1
71	а в	1	1
72	бы его	1	1
