N	3gram	Losev_Vlad_2	FransuaR
1	как мы уже	1	6
2	о том что	3	5
3	то же время	3	5
4	в то же	3	5
5	в самом деле	1	4
6	в той же	1	4
7	мы уже сказали	1	3
8	на первый план	2	3
9	в этом отношении	1	3
10	до сих пор	1	3
11	сказать что в	2	2
12	никак не может	1	2
13	с точки зрения	3	2
14	и то что	5	2
15	в данном случае	2	2
16	а также и	1	2
17	нужно сказать что	1	2
18	в том что	9	2
19	конечно не в	1	2
20	и прежде всего	1	2
21	в следующем году	1	1
22	с тем и	1	1
23	дело в том	3	1
24	более или менее	3	1
25	в настоящее время	2	1
26	и никак не	1	1
27	и до конца	2	1
28	что же касается	5	1
29	в эти годы	4	1
30	как мы сказали	2	1
31	не мог он	1	1
32	у него в	3	1
33	с ним в	1	1
34	в котором все	2	1
35	в первых двух	1	1
36	на этот вопрос	1	1
37	на первом плане	1	1
38	никогда не был	2	1
39	он сам а	1	1
40	было для него	1	1
41	вместе с тем	1	1
42	то в чем	1	1
43	именно здесь в	1	1
44	до известной степени	1	1
45	сам по себе	2	1
46	том что даже	1	1
47	только то что	1	1
48	но в то	1	1
49	и в ней	1	1
50	в конце концов	3	1
51	прежде всего его	1	1
52	него и в	2	1
53	и как бы	1	1
54	как и вообще	1	1
55	начала и до	2	1
56	в связи с	8	1
57	то что он	3	1
58	том как бы	1	1
59	ничего подобного не	1	1
60	в разной степени	1	1
61	так что не	1	1
62	это конечно не	1	1
63	для того чтобы	1	1
64	не может быть	1	1
65	в то время	6	1
66	также и о	1	1
67	заключается в том	2	1
68	и отчасти в	1	1
69	после того как	2	1
70	не забудем что	1	1
71	не только в	2	1
72	но все же	1	1
73	мы будем говорить	2	1
74	можно сказать что	1	1
75	за то что	1	1
76	с начала и	2	1
77	том что он	2	1
78	при всех его	1	1
79	а именно в	1	1
80	во всем и	1	1
