N	2gram	Berdyaev_V_1	Poddanst
1	не только	2	17
2	и в	16	14
3	и не	20	12
4	в этом	4	10
5	но в	3	9
6	то же	1	9
7	в том	3	9
8	хотя бы	3	8
9	только в	2	7
10	в ней	4	6
11	но и	5	6
12	быть может	1	6
13	в которых	1	5
14	с другой	1	5
15	может быть	1	5
16	не в	3	5
17	в своем	1	4
18	как бы	5	4
19	и если	1	4
20	том что	2	4
21	и потому	7	4
22	в котором	4	4
23	на пути	1	4
24	что в	3	4
25	а в	2	4
26	то что	9	4
27	и т	2	3
28	мы не	2	3
29	между тем	2	3
30	это не	2	3
31	вслед за	2	3
32	хотя и	5	3
33	тот же	3	3
34	с ними	1	3
35	в нем	4	3
36	для того	1	3
37	прежде всего	2	3
38	с тем	2	3
39	что мы	4	3
40	но не	2	3
41	могут быть	2	3
42	потому что	4	3
43	и это	2	2
44	света в	1	2
45	в ее	1	2
46	и есть	4	2
47	в мире	5	2
48	есть не	1	2
49	по сравнению	1	2
50	является в	2	2
51	только это	1	2
52	но к	1	2
53	во всех	3	2
54	в которую	1	2
55	говорить о	4	2
56	если в	1	2
57	в русском	1	2
58	русской революции	1	2
59	и пусть	1	2
60	пути в	1	2
61	того что	5	2
62	духа и	2	2
63	к чему	3	2
64	бы ни	1	2
65	теперь в	1	2
66	в его	4	2
67	в виде	1	2
68	не к	2	2
69	и вот	1	2
70	и с	1	2
71	может ли	1	2
72	и мы	3	2
73	мира с	1	2
74	и тем	1	2
75	в жизни	3	2
76	для них	2	2
77	в них	3	2
78	церкви и	1	2
79	не было	3	2
80	а не	7	2
81	должно быть	3	2
82	более чем	2	2
83	эта идея	1	2
84	в тот	1	2
85	все это	5	2
86	на этих	2	2
87	одна из	2	2
88	да и	2	2
89	для нас	2	2
90	может и	1	2
91	от этой	1	1
92	и то	2	1
93	пусть не	1	1
94	христианского мира	1	1
95	в себя	2	1
96	и осмыслить	1	1
97	есть путь	1	1
98	к жизни	1	1
99	должна быть	3	1
100	на нее	1	1
101	за то	3	1
102	не с	2	1
103	ибо к	1	1
104	что уже	1	1
105	идти в	1	1
106	ними как	1	1
107	находится в	1	1
108	на себя	5	1
109	злого начала	1	1
110	и ее	1	1
111	мы и	2	1
112	и что	3	1
113	еще не	8	1
114	и на	1	1
115	он был	1	1
116	вечности и	2	1
117	и который	1	1
118	оно ни	1	1
119	с его	3	1
120	это имеет	1	1
121	того света	1	1
122	что бога	2	1
123	что и	3	1
124	не просто	1	1
125	привести не	1	1
126	и ошибки	1	1
127	и чем	1	1
128	и неверием	1	1
129	мы хотим	4	1
130	в истории	8	1
131	что во	3	1
132	государства и	2	1
133	и мир	1	1
134	человеческого бытия	1	1
135	эти силы	1	1
136	известном смысле	1	1
137	все же	1	1
138	мы видим	1	1
139	духа в	1	1
140	в самом	1	1
141	но как	1	1
142	в которой	1	1
143	бы и	3	1
144	что это	1	1
145	их не	1	1
146	могли бы	1	1
147	в известном	1	1
148	и любви	2	1
149	и современная	1	1
150	уже в	1	1
151	в мир	1	1
152	т д	2	1
153	к миру	1	1
154	тем чтобы	1	1
155	подхватят и	1	1
156	в существе	2	1
157	и должна	1	1
158	к ним	1	1
159	и ныне	2	1
160	над личностью	1	1
161	и по	1	1
162	не хотим	1	1
163	бы это	1	1
164	в число	2	1
165	не были	1	1
166	ней и	1	1
167	живет в	1	1
168	и быть	1	1
169	весь мир	1	1
170	а с	2	1
171	о личности	1	1
172	были в	1	1
173	что не	4	1
174	с богом	4	1
175	них и	1	1
176	мир от	2	1
177	в этой	1	1
178	как и	4	1
179	и уже	1	1
180	с которым	1	1
181	во христе	3	1
182	и я	4	1
183	ведет к	1	1
184	в бытии	1	1
185	когда в	2	1
186	в одно	1	1
187	смысле на	1	1
188	всемирной истории	3	1
189	что истина	2	1
190	так же	1	1
191	ли они	1	1
192	вопрос о	1	1
193	сравнению с	1	1
194	к конечному	1	1
195	эта не	1	1
196	времени с	1	1
197	что было	2	1
198	в прошлом	2	1
199	богом и	1	1
200	и менее	1	1
201	и великого	1	1
202	но верим	1	1
203	и очень	1	1
204	есть знак	1	1
205	нет никакого	1	1
206	что есть	5	1
207	она не	1	1
208	не будут	1	1
209	есть прежде	1	1
210	только мы	1	1
211	миру в	1	1
212	того чтобы	2	1
213	ценности и	2	1
214	не имеет	3	1
215	никогда не	3	1
216	и всегда	1	1
217	в результате	1	1
218	этом мире	1	1
219	христа и	1	1
220	как она	1	1
221	другой стороны	1	1
222	духа а	1	1
223	и теперь	2	1
224	в этих	3	1
225	о смысле	4	1
226	давно уже	2	1
227	над ним	1	1
228	нет ничего	3	1
229	будет с	1	1
230	о духе	1	1
231	является и	1	1
232	первобытным и	1	1
233	и именно	1	1
234	что все	4	1
235	есть и	1	1
236	в трех	1	1
237	мы все	1	1
238	что оно	1	1
239	всего что	1	1
240	и другие	1	1
241	не есть	6	1
242	вместе с	1	1
243	это в	1	1
244	что от	2	1
245	во всяком	2	1
246	они не	1	1
