N	3gram	Vygotskiy__1	Tvorches
1	и т д	1	11
2	то же время	2	7
3	в то же	2	7
4	в соответствии с	1	4
5	по отношению к	7	3
6	до сих пор	4	3
7	не может быть	5	3
8	в самом деле	2	2
9	влечет за собой	2	2
10	и не может	1	2
11	и в то	1	2
12	в отличие от	1	2
13	на этот вопрос	2	2
14	по крайней мере	1	2
15	именно в этом	2	2
16	в известной мере	1	2
17	едва ли не	1	2
18	так же как	5	2
19	в том же	1	2
20	во всяком случае	3	2
21	с другой стороны	9	2
22	не в силах	1	2
23	о том что	6	2
24	в одном из	2	2
25	в целом и	5	2
26	в том что	15	2
27	в другом месте	6	1
28	том что в	2	1
29	приводит его к	1	1
30	в силах вывести	1	1
31	таким образом чтобы	1	1
32	хотя и не	1	1
33	в психологическом отношении	1	1
34	потому что в	1	1
35	если можно так	1	1
36	с первого взгляда	1	1
37	дело в том	1	1
38	и потому что	1	1
39	в том числе	1	1
40	играют большую роль	1	1
41	же как и	4	1
42	он приходит к	1	1
43	но и потому	1	1
44	на точку зрения	1	1
45	в первую очередь	3	1
46	можно так выразиться	1	1
47	можно было бы	3	1
48	точно так же	1	1
49	в этой связи	1	1
50	только то что	1	1
51	в чем же	1	1
52	в известном смысле	2	1
53	и в этом	1	1
54	а с другой	2	1
55	в свою очередь	3	1
56	той или иной	1	1
57	выводом из этой	1	1
58	являются как бы	1	1
59	ответ на этот	2	1
60	что у него	1	1
61	в целом ряде	1	1
62	потому что они	1	1
63	в то время	5	1
64	том что этот	1	1
65	мы не можем	1	1
66	не может служить	1	1
67	к которым приводит	1	1
68	и никогда не	1	1
69	с самого начала	8	1
70	в конечном счете	1	1
71	том числе и	1	1
72	или во всяком	1	1
73	содержит в себе	1	1
74	на всем протяжении	2	1
75	мы видим его	1	1
76	в высшей степени	4	1
77	того факта что	2	1
78	как и в	1	1
79	и если не	1	1
