N	3gram	Tiupa_Disk_2	formyVre
1	то же время	5	9
2	в то же	4	6
3	и того же	2	5
4	одного и того	2	5
5	и в то	1	5
6	к себе самому	1	4
7	в том числе	1	4
8	времени и пространства	1	4
9	по отношению к	4	3
10	в этом отношении	4	3
11	одно и то	2	3
12	в одно и	1	3
13	не может быть	3	3
14	и то же	2	3
15	одних и тех	1	2
16	в этом мире	2	2
17	в чем не	1	2
18	дело в том	2	2
19	равно как и	1	2
20	в соответствии с	2	2
21	одной стороны и	2	2
22	с точки зрения	2	2
23	в отличие от	12	2
24	друг на друга	1	2
25	ни в чем	1	2
26	том числе и	1	2
27	и тех же	1	2
28	и в частности	1	2
29	частной жизни и	1	2
30	человеческой жизни в	1	2
31	с одной стороны	4	2
32	по природе своей	2	2
33	все то что	1	2
34	а также и	1	2
35	жизни то есть	1	2
36	внешнее и внутреннее	1	2
37	с самого начала	1	2
38	существенную роль в	1	2
39	но все эти	1	2
40	и прежде всего	2	2
41	той или иной	3	2
42	в том что	6	2
43	как и в	5	2
44	в другом месте	1	1
45	по своей природе	1	1
46	и может быть	2	1
47	построенный образ человека	1	1
48	в той или	1	1
49	человека проходящего свой	1	1
50	том что в	1	1
51	одном и том	1	1
52	прежде всего на	1	1
53	прежде всего в	1	1
54	стал многослойным и	1	1
55	человека стал многослойным	1	1
56	образ человека стал	1	1
57	в самом деле	1	1
58	жанров в частности	1	1
59	так и во	1	1
60	так и его	1	1
61	разделились ядро и	1	1
62	немалую роль в	1	1
63	разносоставным в нем	1	1
64	свой жизненный путь	2	1
65	образ умершего сливаются	1	1
66	ни в мире	2	1
67	новый специфически построенный	1	1
68	и образ умершего	1	1
69	оболочка внешнее и	1	1
70	как и их	1	1
71	многослойным и разносоставным	1	1
72	включает в себя	1	1
73	в это время	1	1
74	до известной степени	1	1
75	в значительной степени	1	1
76	проходящего свой жизненный	1	1
77	в данном случае	6	1
78	историческое время в	1	1
79	не было в	2	1
80	в нем разделились	1	1
81	жизни но и	1	1
82	и том же	1	1
83	в себя и	1	1
84	так и в	3	1
85	предъявляемых к данному	1	1
86	приходит к выводу	1	1
87	не могут быть	1	1
88	и как бы	2	1
89	к данному положению	1	1
90	в таких произведениях	1	1
91	требований предъявляемых к	1	1
92	его жизненного пути	1	1
93	время становления и	1	1
94	во всяком случае	1	1
95	жизненной формы определенного	1	1
96	ядро и оболочка	1	1
97	весьма существенную роль	1	1
98	и все же	3	1
99	образ человека проходящего	1	1
100	та или иная	1	1
101	в этом случае	2	1
102	и т.п в	1	1
103	о том что	3	1
104	то есть в	1	1
105	становления и роста	1	1
106	но в этом	1	1
107	жизненный путь в	1	1
108	идеальный образ определенной	1	1
109	раскрывается не в	1	1
110	определенной жизненной формы	1	1
111	идеал и образ	1	1
112	нем разделились ядро	1	1
113	специфически построенный образ	1	1
114	и разносоставным в	1	1
115	и оболочка внешнее	1	1
116	здесь как и	1	1
117	в себе не	1	1
118	жизни но в	1	1
119	совокупность требований предъявляемых	1	1
120	формы определенного положения	1	1
121	образ определенной жизненной	1	1
