N	3gram	Berdyaev_V_1	Tvorches
1	и т д	2	11
2	о великом инквизиторе	4	3
3	легенда о великом	2	3
4	с другой стороны	1	2
5	в том что	2	2
6	так и в	1	2
7	не в силах	2	2
8	ивана карамазова и	1	2
9	но прежде всего	1	2
10	никогда не было	1	2
11	по крайней мере	1	2
12	с такой силой	1	1
13	в истории человечества	1	1
14	в мире и	1	1
15	это еще не	2	1
16	и в этом	1	1
17	это одна из	1	1
18	и никогда не	1	1
19	он говорит что	1	1
20	тем что они	1	1
21	как и в	1	1
22	знаешь ли что	1	1
23	д и т	1	1
24	в мистический смысл	1	1
25	в первый раз	3	1
26	т д и	1	1
27	что он был	1	1
28	не могут быть	1	1
29	в xx веке	1	1
30	в известном смысле	1	1
31	в нем нет	2	1
32	человека в его	1	1
33	в изображении достоевского	1	1
34	как это случилось	1	1
35	и что в	1	1
36	отпадения от бога	1	1
