N	2gram	Tiupa_Lite_1	Poddanst
1	не только	24	17
2	и в	8	14
3	и не	12	12
4	в области	3	11
5	в этом	12	10
6	в отношении	1	10
7	в качестве	17	9
8	но в	3	9
9	то же	5	9
10	в том	16	9
11	в пределах	3	8
12	хотя бы	2	8
13	только в	8	7
14	в то	5	7
15	же время	5	7
16	xix века	6	6
17	было бы	2	6
18	но и	17	6
19	быть может	1	6
20	отношении к	1	5
21	россии в	1	5
22	в которых	1	5
23	с другой	3	5
24	может быть	13	5
25	а я	1	5
26	не в	8	5
27	и о	1	5
28	если бы	1	4
29	а также	5	4
30	в своем	11	4
31	как бы	7	4
32	и если	1	4
33	и политического	1	4
34	том что	14	4
35	не может	5	4
36	в котором	1	4
37	в русской	10	4
38	что в	3	4
39	же в	5	4
40	а в	3	4
41	то что	10	4
42	мы не	1	3
43	сводится к	3	3
44	столь же	4	3
45	между тем	2	3
46	это не	4	3
47	вслед за	1	3
48	и как	1	3
49	тот же	1	3
50	с одной	2	3
51	в себе	7	3
52	в нем	2	3
53	в россии	2	3
54	прежде всего	11	3
55	одной стороны	2	3
56	с тем	1	3
57	россии как	2	3
58	с точки	2	3
59	но не	4	3
60	могут быть	2	3
61	тем самым	5	3
62	потому что	3	3
63	точки зрения	6	3
64	я и	7	3
65	например в	3	2
66	в сфере	3	2
67	в ее	1	2
68	и есть	3	2
69	в мире	2	2
70	есть не	1	2
71	есть нечто	1	2
72	которое в	1	2
73	никак не	1	2
74	в xix	1	2
75	в значительной	1	2
76	во всех	1	2
77	говорить о	1	2
78	в общем	1	2
79	во всей	1	2
80	со стороны	4	2
81	в е	2	2
82	отнюдь не	2	2
83	и пусть	1	2
84	того что	6	2
85	духа и	1	2
86	и весьма	2	2
87	бы ни	1	2
88	в начале	1	2
89	и других	1	2
90	в его	7	2
91	из них	4	2
92	где бы	1	2
93	в виде	1	2
94	не к	2	2
95	в силу	4	2
96	и вот	1	2
97	как раз	4	2
98	в статье	1	2
99	и с	1	2
100	полной мере	1	2
101	именно в	1	2
102	и мы	1	2
103	и тем	4	2
104	в жизни	6	2
105	xix веке	1	2
106	для них	2	2
107	в них	1	2
108	не было	3	2
