N	4gram	Vygotskiy__3	Marksizm
1	одно и то же	2	3
2	в точном смысле этого	1	3
3	точном смысле этого слова	1	3
4	и то же слово	1	2
5	все более и более	2	2
6	не имеют никакого отношения	1	1
7	уже с самого начала	1	1
8	в самом деле какой	1	1
9	мы уже говорили что	1	1
10	но они не могут	1	1
11	в той степени в	1	1
12	той степени в какой	1	1
13	ни в какой мере	1	1
14	имеют никакого отношения к	1	1
15	вступить в противоречие с	1	1
16	о которых мы упоминали	1	1
17	в какой мере не	1	1
18	в самом деле даже	1	1
