N	2gram	Voloshinov_1	ViktorSh
1	в книге	1	3
2	в том	4	2
3	и в	15	2
4	том что	5	2
5	дело в	2	1
6	речи и	1	1
7	как же	1	1
8	только в	6	1
9	и не	16	1
10	в другом	1	1
11	то же	7	1
12	и почти	1	1
13	по крайней	1	1
14	ясно что	1	1
15	так как	9	1
16	а только	1	1
17	все время	4	1
18	и его	15	1
19	к этому	7	1
20	для них	3	1
21	в этом	13	1
22	главным образом	4	1
23	крайней мере	1	1
24	сводится к	3	1
25	именно в	3	1
26	связанным с	1	1
27	и только	4	1
28	и то	2	1
29	сводится в	1	1
30	по поводу	2	1
31	полемизируя с	1	1
32	один пример	1	1
33	потому что	4	1
34	далеко не	4	1
35	хотя бы	7	1
36	в самом	6	1
37	говоря о	1	1
38	совершенно ясно	1	1
39	время в	2	1
40	все то	2	1
41	не будем	2	1
42	на одном	1	1
43	на заре	1	1
44	образом из	1	1
45	по существу	1	1
46	даже не	1	1
47	все это	5	1
48	гораздо более	1	1
49	но это	2	1
50	одно и	1	1
51	же с	2	1
52	от общего	1	1
53	самом деле	7	1
54	под влиянием	1	1
55	тем более	1	1
56	я не	3	1
