N	3gram	Savitsky_E_1	Literetu
1	то же время	14	9
2	в то же	15	9
3	не может быть	2	7
4	с одной стороны	8	6
5	в том что	6	5
6	с другой стороны	2	4
7	с точки зрения	16	3
8	в этом отношении	3	3
9	в данном случае	2	3
10	речь идет о	1	3
11	не говоря уже	2	2
12	говоря уже о	1	2
13	поскольку речь идет	1	2
14	в том числе	1	2
15	даже в столь	1	1
16	долгий путь наш	1	1
17	в соответствии с	1	1
18	древней воли пронзил	1	1
19	одной стороны и	6	1
20	что же касается	1	1
21	и для всех	1	1
22	в отличие от	1	1
23	в мире как	1	1
24	бы то ни	4	1
25	же время не	1	1
26	ясен долгий путь	1	1
27	не могут быть	1	1
28	из того что	2	1
29	и даже более	1	1
30	том числе и	1	1
31	нам ясен долгий	1	1
32	можно было бы	3	1
33	с этой точки	5	1
34	и в то	8	1
35	наш путь стрелой	1	1
36	путь наш путь	1	1
37	пронзил нам грудь	1	1
38	татарской древней воли	1	1
39	не более чем	2	1
40	по нашему мнению	2	1
41	и не было	1	1
42	во всех этих	1	1
43	прежде всего в	2	1
44	в последнем случае	1	1
45	этой точки зрения	5	1
46	как одной из	1	1
47	в частности в	2	1
48	мы не можем	1	1
49	путь стрелой татарской	1	1
50	в свою очередь	2	1
51	стрелой татарской древней	1	1
52	воли пронзил нам	1	1
53	в одном из	2	1
54	то есть в	1	1
55	и прежде всего	3	1
56	той или иной	4	1
57	то ни было	4	1
58	например с точки	2	1
59	к тому что	1	1
60	даже более того	1	1
61	и притом в	2	1
62	тех или иных	1	1
63	во многих отношениях	1	1
64	для того чтобы	5	1
65	в себе не	1	1
66	как мы видели	2	1
