N	2gram	Propp_Isto_3	Problemy
1	и в	22	46
2	и не	12	27
3	может быть	11	23
4	не может	4	19
5	как бы	1	19
6	в нем	9	17
7	в этом	17	16
8	не только	14	14
9	перед нами	1	12
10	как мы	8	12
11	но и	12	12
12	как и	3	12
13	и на	4	11
14	точки зрения	2	11
15	в одном	2	11
16	а не	6	11
17	в пределах	4	10
18	не в	4	10
19	и к	3	9
20	с точки	1	9
21	и все	3	9
22	в его	3	9
23	в том	9	9
24	в большинстве	1	9
25	вовсе не	2	9
26	прежде всего	3	9
27	до сих	5	8
28	конечно не	1	8
29	большинстве случаев	2	8
30	сих пор	5	8
31	или в	11	8
32	еще не	10	7
33	и с	4	7
34	по себе	1	7
35	то же	6	6
36	никогда не	3	6
37	и он	2	6
38	хотя и	2	6
39	но в	10	6
40	ни в	2	6
41	на фоне	1	6
42	но это	3	6
43	и его	4	6
44	живет на	1	6
45	в него	2	6
46	что он	9	6
47	только в	4	6
48	друг друга	6	6
49	и между	1	6
50	к себе	1	6
51	все это	1	6
52	мы увидим	3	6
53	в котором	2	5
54	по отношению	2	5
55	при этом	2	5
56	это не	6	5
57	в жизни	2	5
58	в то	2	5
59	если же	1	5
60	и сам	1	5
61	о том	3	5
62	к нему	5	5
63	мы находим	1	5
64	так как	7	5
65	у него	3	5
66	с другом	1	5
67	о себе	3	5
68	друг с	1	5
69	речи и	1	5
70	отношению к	2	5
71	жизни и	2	5
72	например в	2	4
73	самом деле	1	4
74	мы не	1	4
75	на себя	2	4
76	героя и	1	4
77	но не	7	4
78	как в	2	4
79	все же	5	4
80	кроме того	1	4
81	все эти	4	4
82	он не	5	4
83	таким образом	10	4
84	видеть и	1	4
85	он и	3	4
86	том что	8	4
87	в этих	11	4
88	своего рода	1	4
89	во всем	1	4
90	потому что	3	4
91	здесь не	3	4
92	типов и	1	4
93	в себя	1	4
94	так и	2	4
95	по мере	1	4
96	и здесь	7	4
97	можно сказать	2	4
98	уже не	7	4
99	уже в	1	4
100	к ним	1	4
101	мы можем	6	4
102	превращается в	3	4
103	очень часто	3	4
104	да и	2	4
105	то что	7	4
106	не знает	1	4
107	совершенно не	2	4
108	что в	15	4
109	но эти	1	4
110	том числе	1	4
111	одним из	4	3
112	также и	1	3
113	человека и	1	3
114	и это	2	3
115	в приведенном	1	3
116	здесь и	2	3
