N	3gram	Savitsky_P_1	Narrotol
1	в том что	4	8
2	с одной стороны	3	7
3	в том числе	2	6
4	в отличие от	1	5
5	не может быть	1	5
6	том числе и	1	4
7	с другой стороны	1	4
8	и тем самым	1	3
9	то же время	7	3
10	в то же	7	3
11	более или менее	1	2
12	с точки зрения	3	2
13	сами по себе	3	2
14	так же как	1	2
15	не только в	4	2
16	в известном смысле	1	2
17	было в прошлом	1	2
18	том что в	1	1
19	или хотя бы	1	1
20	что в этом	1	1
21	в этом смысле	1	1
22	начала и конца	1	1
23	тот или иной	1	1
24	и в то	2	1
25	и быть может	1	1
26	и то что	1	1
27	в ней не	2	1
28	же время в	1	1
29	в этом не	1	1
30	быть может не	1	1
31	именно в рамках	1	1
32	само по себе	1	1
33	и тем более	1	1
34	далеко не все	1	1
35	в рамках этого	1	1
36	тем более что	1	1
37	есть прежде всего	1	1
38	друг с другом	1	1
39	тех кто не	1	1
40	в отрыве от	1	1
41	на наш взгляд	1	1
