N	2gram	Tiupa_Narr_1	BTomashe
1	б.в томашевского	1	4
2	у нас	1	3
3	и не	20	2
4	в ней	3	2
5	можно было	2	2
6	видеть в	1	2
7	не то	2	2
8	говорить о	2	1
9	с другой	8	1
10	не все	5	1
11	контраста между	1	1
12	совершенно не	2	1
13	переходя к	1	1
14	в трактовке	1	1
15	по крайней	1	1
16	между ними	2	1
17	в области	2	1
18	и ее	2	1
19	более что	1	1
20	и в	19	1
21	будто бы	3	1
22	так и	9	1
23	крайней мере	1	1
24	не о	3	1
25	об этом	1	1
26	включать в	2	1
27	представляется нам	1	1
28	также не	1	1
29	точке зрения	1	1
30	что все	1	1
31	же не	4	1
32	не было	2	1
33	и во	1	1
34	должна быть	2	1
35	было бы	4	1
36	отнюдь не	5	1
37	одной из	4	1
38	было и	1	1
39	далеко не	5	1
40	и потому	2	1
41	в пределах	2	1
42	в значительной	2	1
43	все же	7	1
44	в книге	1	1
45	и более	1	1
46	прежде всего	4	1
47	свести к	1	1
48	что в	3	1
49	таким образом	1	1
50	к ней	1	1
51	всего в	1	1
52	а о	1	1
53	еще не	7	1
54	как будто	3	1
55	в речи	1	1
56	не только	32	1
57	в данном	5	1
58	и на	3	1
59	на самом	1	1
60	другой стороны	4	1
61	значительной степени	2	1
62	тем более	2	1
63	а не	12	1
