N	2gram	Bakhtin_Pr_3	Morfolog
1	может быть	12	52
2	таким образом	6	20
3	не может	2	17
4	в этих	5	16
5	могут быть	4	15
6	с этим	2	14
7	и в	53	13
8	в этом	8	13
9	так как	7	12
10	и др	14	12
11	перед нами	5	11
12	связи с	1	11
13	чаще всего	1	11
14	мы видим	2	11
15	видим что	1	10
16	заметить что	1	10
17	то же	6	9
18	мы имеем	1	9
19	так и	6	9
20	не всегда	1	9
21	прежде всего	15	9
22	а не	11	9
23	в связи	2	9
24	и не	15	9
25	а затем	4	8
26	что и	3	8
27	с другой	2	8
28	по существу	5	8
29	в результате	1	8
30	и этим	1	7
31	в качестве	1	7
32	в тех	1	7
33	но если	1	7
34	но не	5	6
35	это не	6	6
36	во время	1	6
37	и здесь	1	6
38	а также	4	6
39	в форме	6	6
40	в том	14	6
41	а в	2	6
42	мы не	4	5
43	во всех	12	5
44	не все	1	5
45	то что	9	5
46	в образе	3	5
47	далеко не	2	5
48	не менее	3	5
49	потому что	5	5
50	или в	1	5
51	иногда в	1	5
52	этот момент	1	5
53	один из	6	5
54	наряду с	5	5
55	как бы	14	5
56	и другие	9	5
57	также и	4	4
58	то это	1	4
59	как в	7	4
60	хотя и	4	4
61	не только	4	4
62	на его	3	4
63	на этом	1	4
64	об этом	1	4
65	его в	2	4
66	было бы	5	4
67	вовсе не	3	4
68	как и	11	4
69	несмотря на	2	4
70	точки зрения	4	4
71	с точки	2	4
72	тем не	2	4
73	ничего не	6	4
74	тем что	2	4
75	очень часто	1	4
76	в других	1	4
77	как мы	5	4
78	по отношению	2	4
79	в некоторых	4	4
80	другой стороны	1	4
81	там где	1	4
82	отношению к	1	4
83	героя в	1	4
84	что в	2	4
85	связана с	2	3
86	на самом	1	3
87	всего это	1	3
88	и для	4	3
89	о помощи	1	3
90	вступают в	2	3
91	независимо от	1	3
92	целый ряд	1	3
93	но в	5	3
94	в целом	1	3
95	к месту	1	3
96	и по	3	3
97	прежде чем	2	3
98	из них	4	3
99	в один	2	3
100	том что	5	3
101	в то	5	3
102	в сущности	10	3
103	на него	1	3
104	с собой	1	3
105	но и	7	3
106	он не	3	3
107	другие формы	1	3
108	и ее	6	3
109	в начале	2	3
110	друг друга	1	3
111	мы можем	5	3
112	что они	1	3
113	для этой	2	3
114	из которых	1	3
115	но это	3	3
116	кроме того	3	3
117	это уже	1	3
118	мы должны	4	3
119	в последнем	1	3
120	ее по	1	3
121	если же	1	3
122	можно назвать	2	3
123	обычно в	3	2
124	как это	2	2
125	по этим	1	2
126	собственном смысле	2	2
127	со смертью	2	2
128	есть нечто	1	2
129	время как	1	2
130	как уже	1	2
131	и к	5	2
132	более или	3	2
133	здесь имеется	1	2
134	иногда же	1	2
135	состоит в	1	2
136	чтобы овладеть	1	2
137	в нее	1	2
138	можно было	1	2
139	мы уже	5	2
140	большинстве случаев	4	2
141	это было	3	2
142	обоих случаях	1	2
143	этого не	1	2
144	и тогда	1	2
145	или менее	3	2
146	и более	2	2
147	все эти	9	2
148	в таких	1	2
149	в обоих	1	2
150	одна из	7	2
151	элемент в	1	2
152	и его	10	2
153	так например	2	2
154	к себе	6	2
155	они и	2	2
156	перейти к	2	2
157	для того	1	2
