N	2gram	Bakhtin_Fr_4	RusskieA
1	и в	29	36
2	новый год	1	25
3	не только	10	22
4	что в	1	19
5	том что	3	19
6	в том	7	17
7	но и	9	16
8	так как	7	15
9	во время	10	14
10	и другие	2	13
11	в этом	11	12
12	в других	2	11
13	как и	12	10
14	в этот	1	10
15	потому что	1	10
16	это не	5	10
17	как мы	10	10
18	и на	11	10
19	об этом	1	9
20	может быть	2	8
21	у нас	1	8
22	один из	4	8
23	мы увидим	2	8
24	о том	2	8
25	из них	6	8
26	и по	5	8
27	что они	2	7
28	так и	11	7
29	и других	3	7
30	что и	1	7
31	в них	7	6
32	для нас	1	6
33	при этом	3	6
34	таким образом	20	6
35	в виде	1	6
36	мы не	1	6
37	то что	4	6
38	и не	16	6
39	будто бы	1	6
40	уже не	2	6
41	с этого	1	6
42	все это	4	6
43	так например	1	6
44	все же	3	5
45	год и	1	5
46	там же	3	5
47	как в	2	5
48	с ними	3	5
49	и у	2	5
50	под окнами	1	5
51	как будто	2	5
52	как бы	8	5
53	что по	1	4
54	еще не	4	4
55	входит в	1	4
56	связи с	2	4
57	и их	3	4
58	в тех	1	4
59	в некоторых	1	4
60	так в	1	4
61	в их	2	4
62	того что	3	4
63	вплоть до	1	4
64	в связи	1	4
65	в первый	1	4
66	в россии	1	4
67	после этого	2	4
68	что на	1	4
69	г в	1	4
70	а с	1	4
71	тем что	4	4
72	только в	2	4
73	и др	4	4
74	животных и	3	4
75	к тому	2	4
76	и что	1	4
77	по улицам	2	4
78	изображается как	1	4
79	к этому	2	4
80	не может	2	4
81	сообщает что	1	4
82	еще в	1	4
83	но это	4	4
84	в разных	3	3
85	так же	7	3
86	этого праздника	3	3
87	думать что	1	3
88	этого слова	1	3
89	точки зрения	4	3
90	что это	5	3
91	тех местах	1	3
92	связанные с	4	3
93	то есть	21	3
94	если в	2	3
95	в уже	1	3
96	в одном	1	3
97	в это	1	3
98	но все	1	3
99	по этому	1	3
100	но они	4	3
101	то же	10	3
102	в этих	2	3
103	и к	2	3
104	в качестве	3	3
105	в праздник	6	3
106	улицам и	1	3
107	связаны с	2	3
108	своего рода	6	3
109	только на	1	3
110	ничего не	1	3
111	всякого рода	2	3
112	о чем	2	3
113	далеко не	5	3
114	этих праздников	1	3
115	на этом	2	3
116	их в	2	3
117	с точки	2	3
118	он же	1	3
119	от них	1	3
120	на дворе	1	3
121	а также	2	3
122	на этот	1	3
123	но эти	2	3
124	также в	2	3
125	в своем	3	3
126	в свою	1	3
127	все эти	9	2
128	в самих	1	2
129	борьбы с	1	2
130	главным образом	1	2
131	они были	3	2
132	сходство с	1	2
133	в отдельности	1	2
134	и здесь	3	2
135	не значит	1	2
136	тут же	1	2
137	но она	2	2
138	и с	9	2
139	в фольклоре	2	2
140	обстояло дело	1	2
141	в частности	3	2
142	за счет	3	2
143	год в	1	2
144	или в	2	2
145	в целом	1	2
146	в один	2	2
147	когда на	1	2
148	и для	2	2
149	нас не	1	2
150	народные праздники	1	2
151	как по	1	2
152	это время	1	2
153	праздники в	1	2
154	большинстве случаев	5	2
155	в доме	3	2
156	в жизни	2	2
157	всех этих	3	2
158	с ним	2	2
159	этого времени	1	2
160	что у	3	2
161	в нем	5	2
162	характер этого	4	2
163	его и	2	2
164	там где	3	2
165	он так	1	2
166	у него	5	2
167	между прочим	2	2
168	в нашем	4	2
169	его к	2	2
170	в образе	4	2
171	независимо от	1	2
172	в свете	1	2
173	но не	2	2
174	в году	3	2
175	же не	2	2
176	судить о	1	2
177	но в	12	2
178	с этим	1	2
179	на самом	4	2
180	хотя и	2	2
181	такой же	3	2
182	в его	8	2
183	в числе	2	2
184	как они	1	2
185	с праздником	1	2
186	в дальнейшем	3	2
187	они и	1	2
188	интерес к	1	2
189	именно с	1	2
190	после чего	1	2
191	на весь	5	2
192	не на	2	2
193	на свадьбах	1	2
194	как он	2	2
195	в силу	1	2
196	свою очередь	1	2
197	и другими	1	2
198	находится в	1	2
199	до конца	5	2
200	и потому	1	2
201	подойти к	1	2
202	были связаны	1	2
203	в народной	1	2
204	в особенности	2	2
205	и всей	1	2
206	но даже	1	2
207	в большинстве	6	2
208	том же	2	2
209	и до	5	2
210	как известно	2	2
211	мы видим	3	2
212	мы можем	3	2
213	местах где	1	2
214	них в	1	2
215	в различных	2	2
216	в своих	2	2
217	быть и	1	2
218	не случайно	3	2
219	нет надобности	1	2
220	в более	1	2
221	на этой	2	2
222	значения и	1	2
223	только для	4	2
224	в ней	3	2
225	что она	1	2
226	что ему	1	2
227	новым годом	1	2
228	и как	3	2
229	какие же	1	2
230	к празднику	1	2
231	он был	2	2
232	что каждый	1	1
233	весьма архаичны	1	1
234	связаны не	1	1
235	каждый из	1	1
236	и церковь	1	1
237	прежде чем	1	1
238	которые уже	1	1
239	в себе	3	1
240	почему и	1	1
241	например уже	1	1
242	весь этот	2	1
243	очень много	1	1
244	года и	2	1
245	можем судить	1	1
246	и каким	1	1
247	в форме	1	1
248	и того	1	1
249	с великим	1	1
250	и всюду	1	1
251	со своими	2	1
252	и наконец	2	1
253	самом же	2	1
254	его производные	1	1
255	тем временем	1	1
256	церкви и	3	1
257	его на	1	1
258	данном случае	1	1
259	этот праздник	1	1
260	некоторые из	3	1
261	говорить о	1	1
262	можно сказать	1	1
263	отличие от	1	1
264	место в	2	1
265	всякой меры	1	1
266	и его	8	1
267	всем этим	1	1
268	о котором	1	1
269	жизни и	4	1
270	и самый	1	1
271	против этих	1	1
272	говорит о	1	1
273	того же	5	1
274	на том	1	1
275	и свои	3	1
276	сам он	2	1
277	идет не	1	1
278	однако он	1	1
279	но оно	2	1
280	как на	2	1
281	уже знаем	1	1
282	по мере	1	1
283	из основных	1	1
284	еще и	7	1
285	уже в	2	1
286	был еще	2	1
287	и ее	1	1
288	нет правда	1	1
289	мы здесь	2	1
290	о характере	1	1
291	это как	1	1
292	в народном	1	1
293	и самой	1	1
294	должна быть	1	1
295	кроме того	2	1
296	эти праздники	1	1
297	видели в	1	1
298	и детей	2	1
299	относится также	1	1
300	и все	13	1
301	есть в	2	1
302	на то	1	1
303	не по	1	1
304	такое название	1	1
305	одного и	1	1
306	только о	1	1
307	к нему	3	1
308	в третьем	1	1
309	и так	3	1
310	время которого	2	1
311	и во	1	1
312	и вообще	1	1
313	но мы	2	1
314	и должны	1	1
315	к которому	2	1
