N	2gram	Tiupa_Hudo_2	formyVre
1	и в	28	50
2	то есть	1	33
3	в этом	13	25
4	в нем	3	24
5	человека в	4	17
6	и его	5	16
7	прежде всего	3	15
8	как мы	2	14
9	и не	18	14
10	в его	11	13
11	вовсе не	2	13
12	как раз	4	13
13	по существу	1	12
14	так и	8	12
15	человека и	3	11
16	то же	6	11
17	мы уже	3	11
18	может быть	8	11
19	но в	2	10
20	времени и	1	10
21	с его	5	9
22	все эти	1	9
23	роль в	2	9
24	не только	11	9
25	в то	6	9
26	ничего не	5	9
27	же время	4	9
28	в том	15	9
29	в конце	1	9
30	в других	4	9
31	и т	4	8
32	и на	3	8
33	в самом	5	8
34	т п	2	8
35	жизни в	7	8
36	его жизни	5	8
37	но и	9	8
38	как и	11	8
39	жизни и	6	8
40	это время	1	7
41	так сказать	1	7
42	характер и	2	7
43	для себя	6	7
44	времени в	1	7
45	не было	6	7
46	в условиях	1	7
47	героя и	3	7
48	например в	1	6
49	во всех	1	6
50	как в	5	6
51	все же	2	6
52	не оставляет	1	6
53	лишь в	2	6
54	это не	6	6
55	так как	1	6
56	с ее	5	6
57	в ее	18	6
58	в дальнейшем	1	6
59	в жизни	8	6
60	у него	5	6
61	то что	6	6
62	человеческой жизни	6	6
63	в частности	7	6
64	не может	4	6
65	так же	3	6
66	и все	7	6
67	образ человека	1	6
68	отношению к	7	5
69	время как	1	5
70	еще не	3	5
71	но не	4	5
72	отнюдь не	2	5
73	и у	2	5
74	не в	13	5
75	он не	4	5
76	с самим	2	5
77	жизни но	1	5
78	в основе	2	5
79	того чтобы	4	5
80	точки зрения	2	5
81	не могло	1	5
82	в разных	1	5
83	но все	1	5
84	в пределах	1	5
85	если бы	6	5
86	для того	4	5
87	наряду с	5	5
88	что в	5	5
89	и другие	5	5
90	и то	2	4
91	и это	3	4
92	в ней	3	4
93	для других	3	4
94	в своем	5	4
95	то время	1	4
96	раз в	3	4
97	и с	6	4
98	в них	3	4
99	том что	19	4
100	в котором	6	4
101	сны и	1	4
102	потому что	2	4
103	к себе	3	4
104	здесь не	2	4
105	жизнь и	1	4
106	могло быть	1	4
107	только в	4	4
108	характерно что	3	4
109	и т.п	1	4
110	до конца	1	4
111	нет ничего	2	4
112	в той	1	4
113	своей жизни	4	4
114	все это	3	4
115	между собой	1	4
116	и для	2	4
117	себе самому	1	4
118	том числе	1	4
119	отношения к	1	3
120	не меняется	1	3
121	по преимуществу	3	3
122	а как	2	3
123	мы не	1	3
124	время здесь	1	3
125	в сущности	1	3
126	по отношению	7	3
127	себе и	1	3
128	к концу	1	3
129	хотя и	1	3
130	со своей	2	3
131	в себе	9	3
132	его но	1	3
133	все ее	1	3
134	при этом	11	3
135	его в	2	3
136	и других	1	3
137	с другими	3	3
138	и уже	4	3
139	между ними	2	3
140	в этих	3	3
141	характер это	1	3
142	что было	3	3
143	их в	1	3
144	чем не	1	3
145	жизни не	2	3
146	чужой жизни	5	3
147	этом отношении	1	3
148	к тому	7	3
149	самим собою	2	3
150	амуре и	1	3
151	и внутреннее	1	3
152	все его	3	3
153	нас в	1	3
154	что и	4	3
155	один из	2	3
156	одной из	3	3
157	во времени	1	3
158	и ее	3	3
159	с одной	3	3
160	со всеми	1	3
161	в качестве	4	3
162	только на	5	3
163	же в	1	3
164	в начале	1	3
165	и психее	1	3
166	в частной	1	3
167	одно из	5	3
168	в одном	3	3
169	до сих	2	3
170	с мотивом	2	3
171	именно в	2	3
172	себя и	2	3
173	что не	2	3
174	об амуре	1	3
175	более того	1	3
176	быть только	1	3
177	а не	14	3
178	человек в	3	3
179	на фоне	3	3
180	вместе с	2	3
181	и потому	1	3
182	да и	5	3
183	сих пор	2	3
184	этого ряда	1	3
185	место для	1	3
186	или в	3	3
187	еще более	1	3
188	а в	6	3
189	не знает	1	3
190	сказать что	2	3
191	к этому	1	3
192	в таком	1	3
193	также и	1	2
194	же как	2	2
195	тех же	1	2
196	здесь и	1	2
197	к другому	1	2
198	в строгом	2	2
199	которыми он	1	2
200	той же	2	2
201	на материале	1	2
202	принадлежит к	1	2
203	на себя	3	2
204	они были	2	2
205	жизни это	1	2
206	на них	1	2
207	в различных	1	2
208	природы и	1	2
209	на другой	2	2
210	нет и	1	2
211	же и	2	2
212	для всех	1	2
213	и нет	1	2
214	никаких следов	1	2
215	и к	2	2
216	имеет в	1	2
217	от этого	1	2
218	тому же	2	2
219	в нашем	2	2
220	как бы	5	2
221	как он	3	2
222	всей его	1	2
223	и еще	1	2
224	не как	2	2
225	уже не	10	2
226	ее по	2	2
227	что все	3	2
228	об этом	7	2
229	самим собой	1	2
230	было бы	3	2
231	рядом с	5	2
232	жизни то	2	2
233	чем в	1	2
234	этого произведения	3	2
235	автора и	2	2
236	для него	5	2
237	в своей	6	2
238	с точки	2	2
239	место в	2	2
240	но он	1	2
241	том же	1	2
242	по себе	1	2
243	раз и	1	2
244	самого начала	1	2
245	дело в	1	2
246	никогда не	5	2
247	это то	1	2
248	в самой	1	2
249	к ней	2	2
250	всей жизни	1	2
251	не столь	1	2
252	есть только	1	2
253	во все	1	2
254	числе и	1	2
255	той или	1	2
256	оно не	2	2
257	во всякой	1	2
258	но по	1	2
259	с самого	1	2
260	те же	2	2
261	с ним	7	2
262	или иной	2	2
263	в глаза	1	2
264	а также	2	2
265	в значительной	1	2
266	во втором	2	2
267	борьбе с	1	2
268	внешнее и	1	2
269	там где	1	2
270	не зная	2	2
271	того что	1	2
272	быть и	1	2
273	на своей	1	2
274	уже в	1	2
275	его и	2	2
276	ни с	2	2
277	не для	1	2
278	отношение к	2	2
279	не о	1	2
280	жизни на	2	2
281	тем что	6	2
282	чувствует себя	1	2
283	и даже	1	2
284	и характер	1	2
285	о своей	1	2
286	с другой	3	2
287	и тех	3	2
288	еще и	2	2
289	одних и	1	2
290	соответствии с	3	2
291	в соответствии	3	2
292	одной стороны	3	2
293	и стал	1	2
294	жизнь в	2	2
295	вступает в	1	2
296	другой день	2	2
297	этого момента	1	2
298	в данном	2	2
299	к жизни	1	2
300	в течение	1	2
301	на минуту	1	2
302	в это	3	2
303	слова и	1	2
304	характера в	1	2
305	но для	1	2
306	не является	2	2
