1	в то же	4	7
2	то же время	5	7
3	в соответствии с	2	4
4	не может быть	3	3
5	по отношению к	4	3
6	по сути дела	1	3
7	в целом и	1	2
8	и не может	2	2
9	так и в	3	2
10	в отличие от	12	2
11	и в то	1	2
12	в самом деле	1	2
13	он сам в	1	2
14	по крайней мере	1	2
15	во всяком случае	1	2
16	именно в этом	1	2
17	в наше время	2	2
18	в том что	6	2
19	в одном из	1	2
20	но прежде всего	1	2
21	о том что	3	2
22	с другой стороны	1	2
23	только в мире	1	1
24	приходит в голову	1	1
25	как будто бы	1	1
26	в том числе	1	1
27	ни в чем	1	1
28	а с другой	1	1
29	дело в том	2	1
30	она отнюдь не	1	1
31	содержит в себе	2	1
32	с самого начала	1	1
33	не могут быть	1	1
34	в применении к	1	1
35	если можно так	1	1
36	отношению к самому	1	1
37	по справедливому замечанию	1	1
38	в русской литературе	2	1
39	как и в	5	1
40	что в них	1	1
41	но при этом	2	1
42	том что в	1	1
43	художественного произведения как	1	1
44	при всей их	1	1
45	это еще не	2	1
46	в чем не	1	1
47	это своего рода	1	1
48	потому что в	1	1
49	что приводит к	1	1
50	автором и читателем	1	1
51	в другом месте	1	1
52	той или иной	3	1
53	на всем протяжении	1	1
54	том числе и	1	1
55	жизни то есть	1	1
56	первую очередь по	1	1
57	очередь по отношению	1	1
58	в первую очередь	2	1
59	но это не	1	1
60	и прежде всего	2	1
61	в конечном счете	1	1
62	того или иного	1	1
63	решающую роль в	1	1
64	в ранний период	2	1
65	в мире и	2	1
66	только то что	1	1
67	между автором и	1	1
68	можно так выразиться	1	1
69	в этот период	1	1
70	не сводится к	2	1
71	тем что он	1	1
