N	3gram	Losev_Dial_3	Tvorches
1	в то же	1	13
2	то же время	1	12
3	в том что	3	6
4	о том что	5	5
5	в конечном счете	1	4
6	том что в	1	2
7	на первом плане	1	2
8	на самом деле	1	2
9	и та же	1	2
10	точно так же	2	2
11	по крайней мере	5	2
12	в данном случае	1	2
13	и в то	1	2
14	тем не менее	10	2
15	что иное как	6	1
16	хотя и не	2	1
17	но только не	1	1
18	мы никогда не	1	1
19	имеем в виду	1	1
20	если он хочет	1	1
21	значит что он	4	1
22	то же самое	1	1
23	до сих пор	1	1
24	исторического процесса в	1	1
25	сами по себе	3	1
26	друг на друга	1	1
27	не менее чем	1	1
28	не могут быть	2	1
29	бы то ни	1	1
30	он хочет быть	1	1
31	существует также и	1	1
32	это вовсе не	1	1
33	и тем не	2	1
34	и настоящее и	1	1
35	и что в	1	1
36	то ни было	1	1
37	с одной стороны	3	1
38	и как бы	1	1
39	в связи с	1	1
40	это не значит	1	1
41	души и тела	1	1
42	одна и та	1	1
43	что у него	1	1
44	я не могу	1	1
45	не может и	1	1
46	от живой жизни	1	1
47	так и от	1	1
48	имеет место в	1	1
49	жизнь для него	1	1
50	если же в	1	1
51	его движения и	1	1
52	это значит что	21	1
53	он не может	2	1
54	мы имеем в	1	1
55	с другой стороны	2	1
56	организации пространства и	1	1
57	себя но это	1	1
58	не значит что	1	1
59	не что иное	6	1
60	к тому что	2	1
61	как и в	3	1
62	не имеют для	1	1
63	к тому же	2	1
64	для него есть	1	1
65	в глубине души	1	1
66	и т д	23	1
