N	3gram	Berdyaev_O_1	FransuaR
1	в том что	1	6
2	как и в	1	4
3	в другом месте	1	3
4	в эпоху возрождения	1	2
5	о том что	1	2
6	для того чтобы	3	2
7	не может быть	2	2
8	искать не в	2	1
9	потому что в	1	1
10	прежде всего в	1	1
11	в самом деле	1	1
12	он не только	1	1
13	с разных сторон	2	1
14	но и в	2	1
15	в этом отношении	1	1
16	и то что	1	1
17	нужно отметить что	1	1
18	о том как	1	1
19	что это за	1	1
20	в самом начале	1	1
21	ни с какими	1	1
22	и не быть	1	1
23	и в этом	2	1
24	по сравнению с	1	1
25	не в том	1	1
26	в них раскрывается	1	1
27	друг к другу	1	1
28	как бы в	1	1
29	вместо того чтобы	1	1
30	не потому ли	1	1
31	между этими двумя	1	1
32	у него в	5	1
33	и в самом	1	1
34	и прежде всего	1	1
35	у него всегда	2	1
36	после того как	1	1
37	друг с другом	1	1
