N	2gram	Losev_Prob_1	RusskieA
1	и в	32	36
2	не только	17	22
3	том что	12	19
4	что в	12	19
5	в том	9	17
6	т е	1	17
7	но и	9	16
8	и п	1	16
9	так как	11	15
10	во время	1	14
11	в этом	19	12
12	в других	5	11
13	и т	11	10
14	и на	8	10
15	это не	6	10
16	как и	3	10
17	как мы	7	10
18	вместе с	2	10
19	потому что	16	10
20	т д	10	9
21	об этом	10	9
22	а в	4	9
23	с тем	5	8
24	у нас	14	8
25	о том	11	8
26	один из	4	8
27	мы увидим	3	8
28	из них	3	8
29	может быть	14	8
30	как это	6	8
31	что они	3	7
32	так и	12	7
33	между тем	2	7
34	и других	1	7
35	мы не	2	6
36	в виде	15	6
37	так например	1	6
38	таким образом	6	6
39	при этом	6	6
40	видно что	1	6
41	не имеет	2	6
42	уже не	3	6
43	в них	7	6
44	и не	31	6
45	все это	7	6
46	для нас	5	6
47	будто бы	1	6
48	то что	42	6
49	как в	4	5
50	все же	1	5
51	во многих	2	5
52	показывает что	1	5
53	в которых	3	5
54	того как	3	5
55	как будто	3	5
56	одно из	2	5
57	в течение	1	5
58	как бы	14	5
59	этом случае	2	5
60	г в	1	4
61	мы имеем	2	4
62	еще не	9	4
63	во всех	7	4
64	что по	1	4
65	после этого	4	4
66	в россии	1	4
67	с собой	2	4
68	входит в	4	4
69	их на	1	4
70	из этих	2	4
71	в их	4	4
72	что этот	2	4
73	тому что	4	4
74	вплоть до	1	4
75	одна из	1	4
76	связи с	5	4
77	что на	1	4
78	к тому	3	4
79	его с	1	4
80	и что	9	4
81	и их	1	4
82	тем что	7	4
83	в некоторых	1	4
84	того что	7	4
85	по существу	2	4
86	но это	8	4
87	в связи	4	4
88	петра i	2	4
89	не может	8	4
90	только в	7	4
91	к этому	1	4
92	то на	2	3
93	увидим ниже	2	3
94	представление о	1	3
95	если в	1	3
96	которые не	3	3
97	в своем	5	3
98	не можем	2	3
99	что это	3	3
100	думать что	1	3
101	и те	1	3
102	связанные с	1	3
103	в основном	1	3
104	на этом	1	3
105	то же	10	3
106	но все	3	3
107	для них	2	3
108	далеко не	5	3
109	несмотря на	3	3
110	в москве	1	3
111	в этих	3	3
112	точки зрения	3	3
113	с точки	3	3
114	тем не	18	3
115	на небо	1	3
116	их в	4	3
117	не менее	19	3
118	этого момента	1	3
119	ничего не	10	3
120	не с	1	3
121	начиная с	1	3
122	то есть	33	3
123	настоящее время	3	3
124	или на	3	3
125	а также	4	3
126	всякого рода	1	3
127	по этому	3	3
128	в качестве	2	3
129	только на	4	3
130	много и	1	3
131	в области	2	3
132	на этот	3	3
133	о чем	6	3
134	так же	9	3
135	других случаях	2	3
136	по содержанию	1	3
137	в уже	1	3
138	в это	2	3
139	и некоторые	1	3
140	не будем	2	3
141	в настоящее	3	3
142	в целях	2	3
143	и к	1	3
144	но эти	1	3
145	например в	2	2
146	переход от	1	2
147	еще до	1	2
148	но она	3	2
149	что иное	2	2
150	на себя	2	2
151	это время	1	2
152	он был	1	2
153	иное как	2	2
154	на самом	6	2
155	но не	9	2
156	не просто	23	2
157	отнюдь не	10	2
158	с этим	3	2
159	мы можем	4	2
160	хотя и	6	2
161	и как	6	2
