N	4gram	Vygotskiy__6	Freidism
1	одной и той же	3	3
2	один и тот же	1	3
3	но мы знаем что	1	2
4	и не может быть	1	2
5	в зависимости от того	1	2
6	чтобы ответить на этот	1	1
7	мы знаем что в	1	1
8	не исчерпывается мы должны	1	1
9	в собственном смысле слова	1	1
10	но этим дело не	1	1
11	дело не исчерпывается мы	1	1
12	с точки зрения обоих	1	1
13	в то время когда	1	1
14	и не могут быть	1	1
15	ответить на этот вопрос	1	1
16	на следующих ступенях развития	1	1
17	в том что в	1	1
18	что на первой стадии	1	1
19	как по отношению к	1	1
20	этим дело не исчерпывается	1	1
21	от того что он	2	1
22	нет и не может	1	1
23	и по отношению к	1	1
24	в гораздо большей степени	1	1
