N	3gram	Losev_Prob_1	VLabPisa
1	и т д	10	15
2	в этом отношении	1	13
3	и т п	1	9
4	с другой стороны	3	8
5	не может быть	2	8
6	по этому поводу	3	7
7	более или менее	3	6
8	в то же	4	5
9	не было бы	1	4
10	не могут быть	1	4
11	в связи с	4	4
12	можно сказать что	3	4
13	в том что	5	4
14	о том как	2	3
15	и в то	1	3
16	вместе с тем	1	3
17	в этой области	2	3
18	о том что	5	3
19	к тому что	1	3
20	по одному тому	1	2
21	в чем же	1	2
22	подобно тому как	2	2
23	также и в	1	2
24	до сих пор	3	2
25	что все эти	1	2
26	только то что	4	2
27	таким образом в	1	2
28	можно было бы	2	2
29	одному тому что	1	2
30	по крайней мере	2	2
31	вот что пишет	1	2
32	в том чтобы	1	2
33	в конце концов	4	2
34	ни один из	1	2
35	во всех этих	2	2
36	уже по одному	1	2
37	из них не	1	2
38	во всяком случае	3	2
39	не только не	3	2
40	в каждом отдельном	1	2
41	для того чтобы	8	2
42	и в другом	1	2
43	если бы он	1	1
44	оно и может	1	1
45	даже и в	1	1
46	и может быть	1	1
47	хотя и не	2	1
48	бы он был	1	1
49	и в результате	1	1
50	это то что	1	1
51	иметь в виду	3	1
52	то время как	1	1
53	как это мы	2	1
54	в самом деле	2	1
55	но даже и	1	1
56	в этом смысле	6	1
57	между собою и	1	1
58	если он не	1	1
59	в том же	1	1
60	же как и	1	1
61	том как он	1	1
62	и во всех	1	1
63	тот или иной	1	1
64	говоря уже о	1	1
65	именно в этом	2	1
66	в таком случае	6	1
67	как же в	1	1
68	сами по себе	3	1
69	сама по себе	4	1
70	где же в	1	1
71	то что в	3	1
72	не чувственное представление	1	1
73	но что она	1	1
74	это вовсе не	2	1
75	что в них	1	1
76	мышления в этом	1	1
77	может быть и	3	1
78	чем иным как	1	1
79	то или иное	1	1
80	одно и то	1	1
81	в этом же	1	1
82	даже и не	2	1
83	же в таком	1	1
84	так или иначе	2	1
85	познания объективной действительности	1	1
86	что ни один	1	1
87	не чем иным	1	1
88	того что мы	1	1
89	можно ли считать	1	1
90	в данном случае	8	1
91	один из них	1	1
92	может быть даже	2	1
93	но в то	1	1
94	не только в	1	1
95	и не быть	1	1
96	то же самое	9	1
97	и то же	1	1
98	так же как	2	1
99	имеет ничего общего	2	1
100	как будто бы	1	1
101	этом отношении ему	1	1
102	а между тем	1	1
103	не имеет ничего	2	1
104	а не только	2	1
105	того или иного	2	1
106	что а белый	1	1
107	в то время	1	1
108	в сознании а	1	1
109	не говоря уже	2	1
110	никогда не может	2	1
111	что его можно	1	1
112	ничего общего с	7	1
113	может охватить и	1	1
114	в вечном муже	1	1
115	идеи и образа	1	1
116	той или иной	4	1
117	ни одна из	1	1
118	что в процессе	1	1
119	в братьях карамазовых	1	1
120	мы встречаемся с	1	1
121	в художественном образе	1	1
122	мы имеем дело	1	1
123	в результате этого	1	1
124	все это не	1	1
125	крайней мере сам	1	1
126	к тому же	1	1
127	не значит что	1	1
128	и в искусстве	2	1
129	только тогда когда	1	1
130	этому поводу с	1	1
