N	3gram	Tiupa_Disk_2	Tvorches
1	в то же	4	13
2	то же время	5	12
3	в том что	6	6
4	о том что	3	5
5	в конечном счете	1	4
6	дело в том	2	3
7	и все же	3	3
8	в соответствии с	2	3
9	с самого начала	1	3
10	по сути дела	1	3
11	том что в	1	2
12	в наше время	2	2
13	по крайней мере	1	2
14	в данном случае	6	2
15	во главе с	1	2
16	добра и зла	1	2
17	можно сказать что	1	2
18	и в то	1	2
19	в русской литературе	2	2
20	тем не менее	1	2
21	место в творчестве	1	2
22	как и его	1	1
23	прежде всего на	1	1
24	и того же	2	1
25	равно как и	1	1
26	традиции все эти	1	1
27	что же касается	2	1
28	человеком и богом	1	1
29	по отношению к	4	1
30	одного из героев	1	1
31	в отличие от	12	1
32	друг на друга	1	1
33	что в одном	1	1
34	в первую очередь	2	1
35	было в том	1	1
36	только то что	1	1
37	не могут быть	1	1
38	то что в	1	1
39	бы то ни	1	1
40	заключает в себе	2	1
41	мысль о возможности	1	1
42	в своем творчестве	1	1
43	события но и	1	1
44	то ни было	1	1
45	с одной стороны	4	1
46	оставляя открытым вопрос	1	1
47	но при этом	2	1
48	и как бы	2	1
49	между человеком и	1	1
50	такой же как	1	1
51	что ведет к	1	1
52	то что может	1	1
53	только в качестве	1	1
54	одно из главных	1	1
55	русской литературе xix	1	1
56	между настоящим и	1	1
57	с другой стороны	1	1
58	и вследствие этого	1	1
59	одного и того	2	1
60	в творчестве чехова	2	1
61	человека в мире	1	1
62	но это не	1	1
63	как и в	5	1
64	на первый взгляд	2	1
