N	3gram	Propp_Isto_2	NovoeSre
1	в высшей степени	1	6
2	не может быть	2	4
3	подобно тому как	3	3
4	со всех сторон	4	3
5	вместе с тем	5	2
6	так же как	4	2
7	с одной стороны	3	2
8	с другой стороны	2	2
9	что она не	1	1
10	до сих пор	6	1
11	в зависимости от	1	1
12	в отличие от	1	1
13	в свою противоположность	1	1
14	эти слова в	1	1
15	наряду с этим	2	1
16	но и в	2	1
17	но наряду с	1	1
18	в то что	1	1
19	можно было бы	3	1
20	не только в	4	1
21	что в это	1	1
22	и не могут	1	1
23	то что он	1	1
24	есть вместе с	1	1
25	о том что	2	1
26	и пр в	1	1
27	и вместе с	2	1
28	это и есть	1	1
29	это значит что	1	1
30	но я не	1	1
31	а в более	1	1
32	в нее входит	1	1
33	не хочет его	1	1
34	в том что	5	1
