N	3gram	Medvedev_F_2	NovoeSre
1	в высшей степени	4	6
2	не может быть	10	4
3	во всех сферах	1	3
4	равно как и	1	2
5	в этом смысле	2	2
6	он не может	1	2
7	что в нем	2	2
8	вместе с тем	4	2
9	с одной стороны	1	2
10	с другой стороны	3	2
11	все эти формы	1	2
12	она не может	1	2
13	в своем развитии	1	1
14	а не в	1	1
15	и до сих	1	1
16	потому что не	1	1
17	не было и	2	1
18	как это было	2	1
19	до сих пор	1	1
20	и не может	3	1
21	смысле в каком	1	1
22	том случае если	1	1
23	в зависимости от	3	1
24	сами по себе	2	1
25	в отличие от	2	1
26	должно было быть	1	1
27	но и в	3	1
28	бы сказать что	1	1
29	и не в	2	1
30	в том случае	2	1
31	было бы сказать	1	1
32	том смысле в	1	1
33	в том чтобы	1	1
34	к вопросу о	1	1
35	не могут быть	4	1
36	в такой же	1	1
37	не в том	3	1
38	то что он	1	1
39	во всяком случае	5	1
40	лишь в том	1	1
41	значение все это	1	1
42	новые формы и	1	1
43	ни в чем	2	1
44	и пр в	1	1
45	в значительной степени	3	1
46	это и есть	1	1
47	мы говорим о	2	1
48	в большинстве случаев	3	1
49	в том смысле	3	1
50	в том что	2	1
51	как и в	1	1
52	прежде всего как	1	1
