N	3gram	Ircho_Kome_2	Problemy
1	то же время	3	10
2	в то же	3	10
3	с самого начала	1	8
4	по отношению к	3	6
5	в пределах одного	1	5
6	во всяком случае	2	4
7	на протяжении всего	1	4
8	той или иной	1	4
9	друг с другом	2	4
10	в этом смысле	2	3
11	и в самом	1	3
12	бы то ни	2	3
13	то ни было	2	3
14	и для себя	1	3
15	с другой стороны	1	3
16	не может быть	1	3
17	к тому же	10	3
18	сводится к тому	1	2
19	и к тому	1	2
20	с точки зрения	1	2
21	и в то	1	2
22	в отличие от	2	2
23	можно было бы	2	2
24	на этот раз	4	2
25	и та же	1	2
26	одна и та	1	2
27	так и в	1	2
28	мы можем сказать	1	2
29	но все же	1	2
30	в большинстве случаев	1	2
31	в том что	5	2
32	можем сказать что	1	2
33	как мы знаем	1	2
34	сплошь да рядом	1	1
35	одних и тех	2	1
36	и столь же	3	1
37	в чем же	1	1
38	потому что в	1	1
39	а затем и	2	1
40	сущности одна и	1	1
41	в самом деле	1	1
42	никак не может	1	1
43	в том же	1	1
44	так и не	1	1
45	же время он	1	1
46	до сих пор	2	1
47	вместе с тем	4	1
48	что он не	1	1
49	то что в	1	1
50	что в нем	1	1
51	за то что	4	1
52	благодаря тому что	1	1
53	и тех же	2	1
54	к тому что	2	1
55	то время как	2	1
56	то что у	1	1
57	в один из	1	1
58	время как в	1	1
59	как будто бы	1	1
60	в сущности одна	1	1
61	в нем не	2	1
62	так и для	1	1
63	то что он	2	1
64	и в том	1	1
65	и во всяком	1	1
66	в то время	3	1
67	и с этой	2	1
68	всяком случае в	1	1
69	в свою очередь	1	1
70	о том что	4	1
71	они и в	1	1
72	как и во	1	1
73	ни в одном	1	1
74	но все эти	1	1
75	но в этом	1	1
76	друг от друга	1	1
77	тем не менее	1	1
78	как можно более	1	1
79	как мы видели	1	1
80	для того чтобы	4	1
81	что и в	2	1
