N	3gram	Tiupa_Narr_1	Vladivir
1	в том что	5	10
2	тем не менее	3	9
3	о том что	2	8
4	с точки зрения	1	6
5	не может быть	4	6
6	более или менее	1	5
7	дело в том	2	5
8	к тому же	5	5
9	точно так же	1	4
10	и то что	1	4
11	содержит в себе	1	4
12	ничего не говорит	1	4
13	бы то ни	1	3
14	в том случае	1	3
15	во всяком случае	2	3
16	с одной стороны	1	3
17	в то же	4	3
18	в отличие от	2	3
19	само по себе	1	3
20	как мы видели	1	3
21	сам по себе	1	2
22	в этом отношении	3	2
23	и в то	1	2
24	а с другой	1	2
25	том случае если	1	2
26	в данном случае	8	2
27	и потому что	1	2
28	в связи с	2	2
29	еще и потому	1	2
30	на себя внимание	3	2
31	с другой стороны	1	2
32	бросается в глаза	1	2
33	обращает на себя	3	2
34	то же время	4	2
35	еще в году	1	2
36	на то что	2	2
37	к тому что	1	2
38	что иное как	1	1
39	не мог бы	1	1
40	в нашем сознании	1	1
41	это то что	1	1
42	потому что в	1	1
43	и не только	1	1
44	в этом последнем	1	1
45	не только с	1	1
46	внимание на то	2	1
47	за ее пределы	1	1
48	так и его	1	1
49	же как и	1	1
50	все та же	1	1
51	то что каждый	1	1
52	до сих пор	2	1
53	при этом что	1	1
54	но в данном	1	1
55	только то что	1	1
56	как это было	1	1
57	но и здесь	1	1
58	уже не только	1	1
59	у нас нет	1	1
60	перед нами не	2	1
61	одна из них	1	1
62	зависит не только	1	1
63	у него нет	1	1
64	одно и то	2	1
65	и в жизни	1	1
66	может быть и	1	1
67	не могло быть	1	1
68	при всей своей	1	1
69	уже не мог	2	1
70	не только в	6	1
71	то ни было	1	1
72	на этот раз	1	1
73	точки зрения но	1	1
74	и то же	2	1
75	однако тут же	1	1
76	в известном смысле	2	1
77	он уже не	1	1
78	но и не	1	1
79	всю свою жизнь	1	1
80	какой бы то	1	1
81	если бы не	1	1
82	в результате чего	1	1
83	той или другой	1	1
84	мы не можем	1	1
85	существует сам по	1	1
86	сказать и о	1	1
87	собственно говоря и	1	1
88	в самом деле	2	1
89	той или иной	4	1
90	не только на	2	1
91	в том числе	1	1
92	для всего мира	1	1
93	мы уже знаем	1	1
94	не только от	2	1
95	быть и не	1	1
96	для того чтобы	3	1
97	из них мы	1	1
98	лишь в том	1	1
99	и не могло	1	1
100	то же самое	2	1
