N	2gram	Medvedev_U_1	Hudozhes
1	в качестве	1	19
2	то есть	1	18
3	и не	8	16
4	не только	10	15
5	и в	14	15
6	в том	2	15
7	может быть	6	13
8	в частности	3	13
9	но не	2	11
10	в этом	7	11
11	в себе	2	11
12	то же	5	10
13	так и	1	10
14	а не	10	10
15	но и	4	10
16	литературного произведения	1	9
17	в его	2	9
18	сводится к	2	8
19	но в	3	7
20	в то	3	7
21	с другой	4	7
22	в искусстве	6	7
23	с его	2	6
24	том что	2	6
25	не в	2	6
26	же время	3	6
27	приводит к	1	6
28	не может	7	6
29	что в	1	6
30	в их	4	5
31	более или	1	5
32	в самом	2	5
33	то что	7	5
34	художественного творчества	5	5
35	могут быть	2	5
36	можно сказать	1	5
37	того что	1	5
38	только в	2	5
39	уже не	1	5
40	другой стороны	3	5
41	или менее	1	5
42	в нем	1	5
43	и то	3	4
44	мы имеем	1	4
45	он не	1	4
46	в своей	3	4
47	не столько	2	4
48	эстетический объект	1	4
49	эстетического объекта	6	4
50	и т.д	3	4
51	входит в	1	4
52	между тем	2	4
53	искусства в	1	4
54	художественного восприятия	1	4
55	для него	3	4
56	прежде всего	8	4
57	произведения искусства	3	4
58	сказать что	1	4
59	художественного произведения	2	3
60	в виду	1	3
61	конечном счете	4	3
62	в художественном	5	3
63	всего лишь	1	3
64	в которой	1	3
65	не следует	3	3
66	это не	3	3
67	этом смысле	2	3
68	к области	2	3
69	как и	3	3
70	иначе говоря	1	3
71	но он	1	3
72	их в	1	3
73	литературы как	1	3
74	как раз	2	3
75	объекта и	1	3
76	в произведении	1	3
77	в пределах	1	3
78	если бы	2	3
79	произведения как	1	3
80	и что	1	3
81	в конечном	4	3
82	что он	2	3
83	его эстетической	1	3
84	не случайно	2	3
85	в области	3	3
86	далеко не	1	3
87	о чем	2	3
88	в данном	1	3
89	в той	1	3
90	в эстетический	1	3
91	и для	2	3
92	таким образом	2	3
93	в таком	1	3
94	человека и	1	2
95	и это	1	2
96	противном случае	2	2
97	не вполне	1	2
98	этого термина	2	2
99	во мне	1	2
100	не входит	1	2
101	не все	2	2
102	художественного впечатления	1	2
103	за пределы	1	2
104	еще один	1	2
105	в своем	1	2
106	в противном	2	2
107	в этой	4	2
108	не как	3	2
109	об этом	1	2
110	по себе	2	2
111	в итоге	2	2
112	сводятся к	1	2
113	нас самих	1	2
114	эстетической реальности	1	2
115	а.н веселовского	1	2
116	для себя	1	2
117	для читателя	1	2
118	с самим	1	2
119	в порядке	1	2
120	о том	1	2
121	говоря иначе	2	2
122	в значительной	1	2
123	с одной	1	2
124	и др	1	2
125	или даже	1	2
126	одно из	1	2
127	и прежде	1	2
128	же художественное	1	2
129	у него	1	2
130	или иначе	1	2
131	превращается в	2	2
132	одной стороны	1	2
133	и эстетической	1	2
134	в сторону	2	2
135	и потому	1	2
136	из которых	1	2
137	так или	1	2
138	было и	1	2
139	художественное произведение	5	2
140	искусства как	2	2
141	художественное впечатление	1	2
142	тем более	1	2
143	истории литературы	3	2
144	художественном произведении	2	1
145	единицы и	1	1
146	в сфере	1	1
147	же как	1	1
148	и через	2	1
149	художественных произведений	2	1
150	свое место	1	1
151	той же	1	1
152	смысле можно	1	1
153	содержания в	1	1
154	частности все	1	1
