1	у нас	2	3
2	все это	2	2
3	в ней	2	2
4	больше чем	3	2
5	и не	12	2
6	не то	4	2
7	можно было	5	2
8	и в	16	1
9	все же	3	1
10	только одной	1	1
11	на самом	1	1
12	должна быть	5	1
13	не только	16	1
14	сейчас в	1	1
15	таким образом	19	1
16	только более	1	1
17	об этом	1	1
18	в данном	1	1
19	а не	10	1
20	было бы	10	1
21	и более	3	1
22	по нашему	1	1
23	и о	1	1
24	чем на	1	1
25	представляется нам	1	1
26	прежде всего	3	1
27	чтобы можно	1	1
28	кроме того	1	1
29	и во	1	1
30	как часть	1	1
31	в пределах	4	1
32	то как	3	1
33	и на	6	1
34	так и	7	1
35	в речи	1	1
36	говорить о	3	1
37	к ней	1	1
38	и потому	2	1
39	между ними	1	1
40	одной из	3	1
41	никак не	3	1
42	во всяком	2	1
43	и ее	1	1
44	является только	1	1
45	как будто	2	1
46	еще не	4	1
47	не было	1	1
48	совершенно не	2	1
49	с другой	4	1
50	в научном	3	1
51	в своей	2	1
52	нашему мнению	1	1
53	функцией в	1	1
54	меньше чем	1	1
55	значительной степени	1	1
56	всяком случае	1	1
57	до конца	3	1
58	тем более	4	1
59	что все	6	1
60	вопрос о	12	1
61	в области	12	1
62	за пределы	4	1
63	систематизации и	1	1
64	что в	16	1
65	другой стороны	2	1
