N	3gram	Medvedev_F_1	Analitik
1	не может быть	5	16
2	в том что	1	9
3	в то же	8	8
4	в том чтобы	2	7
5	в отличие от	1	6
6	то же время	8	6
7	литературного произведения как	1	5
8	по отношению к	4	5
9	литературного произведения в	1	5
10	с точки зрения	13	4
11	и не может	2	4
12	и не в	2	4
13	состоит в том	1	3
14	в том числе	1	3
15	того или иного	2	3
16	бы то ни	3	3
17	и т п	4	3
18	то ни было	1	3
19	с одной стороны	4	3
20	нет и не	2	2
21	в том и	1	2
22	сами по себе	2	2
23	но и в	1	2
24	в этом отношении	1	2
25	литературное произведение не	1	2
26	в данном случае	1	2
27	но в то	2	2
28	не сводится к	2	2
29	с другой стороны	1	2
30	во внешнем мире	1	2
31	в широком смысле	1	2
32	литературного произведения с	1	2
33	науки о литературе	2	2
34	произведения в его	1	2
35	тех или иных	1	2
36	в отрыве от	1	2
37	самом деле в	1	1
38	по своей природе	1	1
39	или хотя бы	1	1
40	а вовсе не	2	1
41	с художественной идеологемой	1	1
42	более или менее	6	1
43	как и во	1	1
44	выходит за пределы	1	1
45	познания и поступка	1	1
46	что литературное произведение	1	1
47	как раз и	1	1
48	что как бы	1	1
49	до сих пор	6	1
50	говоря уже о	1	1
51	в зависимости от	2	1
52	учение о художественном	1	1
53	своего предмета и	1	1
54	соединении с художественной	2	1
55	как мы увидим	2	1
56	между тем как	1	1
57	на самом же	1	1
58	бы мы ни	1	1
59	том числе и	1	1
60	в то что	1	1
61	и заключается что	1	1
62	в противном случае	1	1
63	с этой точки	1	1
64	как если бы	2	1
65	вместе с тем	1	1
66	художественного восприятия в	1	1
67	и в частности	2	1
68	химическом соединении с	2	1
69	в художественном произведении	2	1
70	смысле этого слова	3	1
71	в свою очередь	6	1
72	не столько в	1	1
73	и в пределах	1	1
74	конечно может быть	1	1
75	в литературном произведении	2	1
76	и как бы	1	1
77	так и не	1	1
78	прежде всего в	3	1
79	во всяком случае	4	1
80	художественного творчества в	1	1
81	во внутренней речи	1	1
82	самом же деле	1	1
83	том и заключается	1	1
84	этой точки зрения	1	1
85	в той же	1	1
86	произведение искусства есть	1	1
87	во всех своих	1	1
88	существует независимо от	1	1
89	один из возможных	1	1
90	до тех пор	1	1
91	по аналогии с	3	1
92	науке о литературе	1	1
93	что в литературе	1	1
94	у разных авторов	1	1
95	и тем самым	1	1
96	в химическом соединении	2	1
97	литературное произведение в	2	1
98	произведение в его	2	1
99	в этом смысле	1	1
100	в связи с	2	1
101	но отнюдь не	1	1
102	к тому что	1	1
103	в его художественной	2	1
104	всего может быть	1	1
105	произведение искусства является	1	1
106	при изучении литературы	1	1
107	не говоря уже	1	1
