N	2gram	Vygotskiy__2	RusskieA
1	и в	32	36
2	не только	12	22
3	что в	20	19
4	том что	21	19
5	в том	37	17
6	в и	1	17
7	но и	10	16
8	так как	12	15
9	п в	1	13
10	и другие	1	13
11	в этом	13	12
12	в других	2	11
13	как и	10	10
14	а потебня	1	10
15	вместе с	2	10
16	потому что	21	10
17	и т	10	10
18	это не	2	10
19	как мы	1	10
20	и на	5	10
21	т д	2	9
22	об этом	3	9
23	а в	4	9
24	как это	4	8
25	с тем	11	8
26	может быть	18	8
27	один из	3	8
28	мы увидим	1	8
29	о том	6	8
30	из них	4	8
31	состоит в	3	8
32	и по	4	8
33	что они	7	7
34	так и	3	7
35	между тем	4	7
36	и других	3	7
37	что и	17	7
38	в них	2	6
39	для нас	2	6
40	при этом	13	6
41	таким образом	21	6
42	в виде	1	6
43	мы не	3	6
44	то что	21	6
45	не имеет	4	6
46	и не	10	6
47	будто бы	1	6
48	полагает что	2	6
49	уже не	1	6
50	с этого	1	6
51	все это	5	6
52	в день	2	6
53	так например	1	6
54	все же	4	5
55	иногда и	1	5
56	показывает что	3	5
57	этом случае	1	5
58	как в	9	5
59	а и	1	5
60	с ними	1	5
61	в которых	3	5
62	того как	4	5
63	и у	2	5
64	как будто	7	5
65	как бы	6	5
66	что по	2	4
67	еще не	2	4
68	в русском	2	4
69	с в	2	4
70	связи с	1	4
71	и их	3	4
72	в тех	1	4
73	в некоторых	1	4
74	во всех	3	4
75	так в	2	4
76	в их	3	4
77	того что	8	4
78	вплоть до	2	4
79	в связи	1	4
80	в первый	2	4
81	в россии	1	4
82	что этот	2	4
83	из этих	1	4
84	что на	4	4
85	его с	2	4
86	а с	2	4
87	тем что	9	4
88	только в	7	4
89	одна из	1	4
90	животных и	1	4
91	тому что	4	4
92	к тому	7	4
93	и что	22	4
94	с собой	1	4
95	по существу	3	4
96	следующим образом	1	4
97	к этому	1	4
98	мы имеем	4	4
99	не может	17	4
100	еще в	1	4
101	но это	2	4
102	и из	6	3
103	приводит к	1	3
104	вывод что	2	3
105	по происхождению	2	3
106	в разных	1	3
107	так же	18	3
108	и другой	3	3
109	думать что	3	3
110	этого слова	1	3
111	не менее	8	3
112	точки зрения	17	3
113	что это	8	3
114	то есть	21	3
115	если в	2	3
116	и те	4	3
117	в одном	2	3
118	совпадают с	1	3
119	но все	1	3
120	по этому	1	3
121	не с	1	3
122	то же	13	3
123	в этих	2	3
124	и к	3	3
125	в качестве	1	3
126	только на	5	3
127	ничего не	4	3
128	к ним	2	3
129	тем не	4	3
130	на каждом	1	3
131	далеко не	5	3
132	слова в	2	3
133	на этом	3	3
134	их в	2	3
135	с точки	10	3
136	несмотря на	4	3
137	представление о	3	3
138	их и	1	3
139	он же	1	3
140	на этот	2	3
141	в области	1	3
142	которые не	3	3
143	таким же	1	3
144	так называемой	1	3
145	в свою	3	3
146	все эти	7	2
147	его от	2	2
148	главным образом	3	2
149	сходство с	1	2
150	и здесь	2	2
151	не значит	2	2
152	и с	4	2
153	в частности	3	2
154	в первые	1	2
155	на что	1	2
156	или в	1	2
157	в целом	4	2
158	значение и	2	2
159	и для	4	2
160	нас не	1	2
161	и многие	2	2
162	с целью	1	2
163	разница между	1	2
164	не было	2	2
165	после того	2	2
166	этому поводу	1	2
167	относящиеся к	1	2
168	на тех	3	2
169	в жизни	4	2
170	как можно	2	2
171	в каждом	2	2
172	происхождению своему	1	2
173	в какой	2	2
174	что у	5	2
175	стоит в	1	2
176	в нем	4	2
177	на новый	1	2
178	характер этого	1	2
179	его и	1	2
180	иное как	1	2
181	там где	2	2
182	та же	3	2
183	он так	1	2
184	что именно	3	2
185	в нашем	1	2
186	такое же	2	2
187	его к	1	2
188	независимо от	1	2
189	когда он	10	2
190	в свете	2	2
191	но не	2	2
192	же не	1	2
193	состоят из	1	2
194	тем и	2	2
195	например в	3	2
196	это имеет	1	2
197	но в	3	2
198	которого в	1	2
199	как не	2	2
200	какой степени	1	2
201	должны были	1	2
202	с этим	4	2
203	на самом	5	2
204	к ней	1	2
205	что иное	1	2
206	такой же	7	2
207	в его	2	2
208	на все	5	2
209	так что	3	2
210	привело к	1	2
211	они и	1	2
212	интерес к	2	2
213	именно с	1	2
214	чтобы лучше	1	2
215	не на	2	2
216	мы должны	3	2
217	как он	2	2
218	в силу	1	2
219	свою очередь	2	2
220	и другими	1	2
221	начиналось с	1	2
222	в круг	1	2
223	до конца	3	2
224	и поэтому	4	2
225	ничего общего	1	2
226	не просто	1	2
227	в особенности	2	2
228	и другим	1	2
229	которые можно	1	2
230	предположить что	1	2
231	для этого	3	2
232	но даже	2	2
233	в большинстве	1	2
234	выводу что	1	2
235	могут быть	4	2
236	том же	2	2
237	и до	4	2
238	как известно	1	2
239	не что	1	2
240	мы видим	4	2
241	себя и	1	2
242	мы можем	3	2
243	она не	2	2
244	в своих	9	2
245	к другому	1	2
246	в более	1	2
247	так называемый	1	2
248	но что	2	2
249	значит что	3	2
250	чем в	1	2
251	а не	7	2
252	к материалу	1	2
253	это сходство	1	2
254	в ней	5	2
255	что она	16	2
256	показывают что	2	2
257	что ему	1	2
258	означает что	1	2
259	отнюдь не	5	2
260	к выводу	1	2
261	этот вопрос	3	2
262	и как	7	2
263	должна была	1	2
264	связь между	1	2
265	и более	4	2
266	что каждый	1	1
267	такие же	2	1
268	совершенно другой	1	1
269	что между	1	1
270	каждый из	2	1
271	не прием	1	1
272	какие-либо выводы	1	1
273	все свои	1	1
274	на более	1	1
275	часто в	1	1
276	в себе	2	1
277	из своей	1	1
278	и каким	1	1
279	что чем	2	1
280	в несколько	1	1
281	и того	1	1
282	смысл и	2	1
283	исходя из	1	1
284	поэзии и	7	1
285	жизни человека	1	1
286	и всюду	1	1
287	и наконец	1	1
288	во всяком	2	1
289	его на	1	1
290	данном случае	4	1
291	что их	1	1
292	в собственном	1	1
293	должны быть	3	1
294	можно сказать	1	1
295	отличие от	2	1
296	это на	1	1
297	что следовательно	1	1
298	место в	2	1
299	одни и	2	1
300	и его	7	1
301	но эта	2	1
302	власть над	1	1
303	только как	3	1
304	даже к	1	1
305	когда по	1	1
306	всем этим	1	1
307	на природу	1	1
308	жизни и	4	1
309	говорит о	2	1
310	в двух	1	1
311	того же	2	1
312	на том	2	1
313	идет не	2	1
314	однако он	2	1
315	случае не	1	1
316	ее на	1	1
317	для себя	1	1
318	только тогда	1	1
319	может служить	3	1
320	как на	5	1
321	в область	1	1
322	земли и	1	1
323	не умели	1	1
324	из основных	1	1
325	не к	3	1
326	и ее	3	1
327	на такой	1	1
328	т п	8	1
329	всех народов	1	1
330	того общего	1	1
331	кроме того	1	1
332	и просто	1	1
333	к числу	1	1
334	что не	3	1
335	только при	1	1
336	при такой	1	1
337	и все	4	1
338	сюда же	1	1
339	с понятием	1	1
