N	2gram	Tiupa_Narr_1	RusskieA
1	и в	11	29
2	том что	7	22
3	в том	8	22
4	что в	3	22
5	в поле	3	19
6	как бы	6	18
7	состоит в	10	15
8	так как	1	13
9	может быть	15	13
10	во время	1	12
11	в этом	12	11
12	как и	13	11
13	одна из	4	11
14	не только	31	10
15	и с	3	10
16	в лесу	1	10
17	все это	1	10
18	во многих	1	9
19	а на	2	9
20	о том	4	9
21	а в	13	9
22	его в	1	8
23	но и	27	8
24	как в	4	7
25	данном случае	8	7
26	мы видели	1	7
27	представляют собой	3	7
28	или в	6	7
29	мы имеем	3	6
30	мы не	3	6
31	еще не	4	6
32	и на	5	6
33	при этом	19	6
34	таким образом	1	6
35	того чтобы	4	6
36	на нее	1	6
37	для нас	1	6
38	для того	3	6
39	с тем	1	6
40	вместе с	2	6
41	в данном	11	6
42	же в	2	6
43	и т	1	5
44	но не	4	5
45	следующим образом	1	5
46	но в	7	5
47	на земле	1	5
48	это не	3	5
49	т д	1	5
50	не может	8	5
51	потому что	5	5
52	для этого	1	5
53	будто бы	1	5
54	на святках	2	5
55	к жизни	2	5
56	то что	9	5
57	к этому	1	5
58	же как	1	4
59	то же	8	4
60	не все	1	4
61	уже не	8	4
62	их в	3	4
63	после обеда	1	4
64	далеко не	1	4
65	а за	2	4
66	в которых	1	4
67	не в	6	4
68	по полю	2	4
69	у нас	3	4
70	а также	6	4
71	к нему	4	4
72	то и	1	4
73	из них	4	4
74	именно в	3	4
75	а не	13	4
76	о чем	4	4
77	так же	1	4
78	как это	3	4
79	этих случаях	1	4
80	и все	3	4
81	в таком	2	4
82	и через	2	3
83	в году	2	3
84	и о	3	3
85	в ее	1	3
86	что ее	1	3
87	что это	1	3
88	в этой	6	3
89	что она	1	3
90	главным образом	1	3
91	подобно тому	3	3
92	и по	1	3
93	с другими	1	3
94	живет в	1	3
95	не всегда	3	3
96	в этих	2	3
97	в котором	1	3
98	в отличие	2	3
99	она не	2	3
100	и смех	1	3
101	не имеет	2	3
102	и после	2	3
103	как мы	2	3
104	о воскресении	3	3
105	нас к	1	3
106	под именем	1	3
107	во всех	1	3
108	а именно	1	3
109	того что	4	3
110	между тем	3	3
111	в качестве	14	3
112	связь с	1	3
113	или даже	1	3
114	друг друга	2	3
115	отличие от	2	3
116	ставят на	1	3
117	тем что	1	3
118	что для	1	3
119	до конца	2	3
