N	3gram	Nazirov_Tv_1	Tragedij
1	униженных и оскорбленных	4	16
2	униженные и оскорбленные	2	9
3	в униженных и	1	6
4	то же время	12	5
5	в то же	13	5
6	в романе идиот	4	3
7	в записках из	3	2
8	преступлении и наказании	3	2
9	в отличие от	1	2
10	точно так же	2	2
11	и оскорбленных в	1	2
12	в преступлении и	4	2
13	в данном случае	2	2
14	но в то	4	2
15	в году в	2	2
16	и как бы	1	2
17	записках из мертвого	1	2
18	сам достоевский не	1	2
19	бросается в глаза	1	2
20	по сей день	1	2
21	о том что	5	2
22	и в самом	1	2
23	из мертвого дома	1	2
24	в том что	6	2
25	неточка незванова прошедшая	1	1
26	из белых ночей	1	1
27	как и его	1	1
28	не так ли	1	1
29	и сам автор	1	1
30	мертвого дома и	1	1
31	в бесах с	1	1
32	романе униженные и	1	1
33	петербургские сновидения в	1	1
34	стихах и прозе	1	1
35	в больших романах	1	1
36	и добро и	1	1
37	имеет исключительное значение	1	1
38	в неточке незвановой	1	1
39	у достоевского в	3	1
40	же время он	2	1
41	в своей книге	1	1
42	ненависть к обществу	1	1
43	в эпилоге романа	1	1
44	хотя бы и	1	1
45	что он не	1	1
46	из униженных и	1	1
47	и т п	2	1
48	за то что	1	1
49	прошедшая через каторгу	1	1
50	прекрасное и высокое	2	1
51	из подполья это	1	1
52	что все это	3	1
53	это как бы	3	1
54	сновидения в стихах	1	1
55	записках из подполья	2	1
56	в этом романе	2	1
57	мечтателя из белых	1	1
58	бы и в	1	1
59	в этой связи	2	1
60	свидригайлов перед раскольниковым	1	1
61	в двух больших	1	1
62	не способен на	1	1
63	возникший в недрах	1	1
64	он перестает быть	1	1
65	в конце концов	1	1
66	объясняется тем что	1	1
67	с ним она	1	1
68	но при этом	1	1
69	по нашему мнению	5	1
70	это тот самый	1	1
71	в году и	1	1
72	тем не менее	2	1
73	как бы неточка	1	1
74	не могут быть	1	1
75	у достоевского не	1	1
76	в xix веке	1	1
77	в связи с	1	1
78	в мире достоевского	1	1
79	к этой теме	1	1
80	петр александрович валковский	1	1
81	творчество молодого достоевского	1	1
82	он сам сознает	1	1
83	и все же	3	1
84	незванова прошедшая через	1	1
85	так можно выразиться	1	1
86	в романе униженные	1	1
87	у него есть	1	1
88	который в своей	1	1
89	с самого начала	3	1
90	отнюдь не был	1	1
91	что достоевский стремился	1	1
92	достоевский и в	1	1
93	отметить что в	1	1
94	году в петербурге	1	1
95	бы неточка незванова	1	1
96	к тому что	1	1
97	этой теме в	1	1
98	ведет к тому	1	1
99	иваном петровичем как	1	1
100	в стихах и	1	1
101	добро и зло	1	1
102	из неточки незвановой	1	1
103	как и в	1	1
104	бессмысленной и ненормальной	2	1
105	если так можно	1	1
106	с потрясающей силой	1	1
107	бедных людей достоевский	1	1
