N	2gram	Tiupa_Lite_2	Hudozhes
1	том что	7	16
2	и в	19	14
3	так и	7	13
4	не только	8	12
5	при этом	6	12
6	о том	2	12
7	в том	10	12
8	а не	20	12
9	и т	2	11
10	в себе	6	11
11	в этом	9	11
12	прежде всего	4	11
13	в своей	1	10
14	для него	4	10
15	то же	12	9
16	как и	10	9
17	что он	3	9
18	в качестве	5	9
19	у него	2	9
20	по отношению	4	8
21	в этой	3	8
22	как в	1	8
23	то что	7	8
24	т п	2	8
25	же время	9	8
26	ничего не	3	8
27	в его	4	8
28	отношению к	3	8
29	в то	9	8
30	еще не	2	7
31	тогда как	9	7
32	это не	1	7
33	своего рода	13	7
34	не в	4	7
35	казалось бы	1	7
36	личности в	3	7
37	к тому	1	7
38	быть может	3	7
39	уже не	2	7
40	не случайно	4	7
41	именно в	1	7
42	не может	9	7
43	как бы	2	7
44	а в	3	7
45	как правило	3	6
46	в концовке	1	6
47	художественного мышления	5	6
48	человека в	4	6
49	в глазах	3	6
50	было бы	2	6
51	читателя в	1	6
52	никогда не	3	6
53	жизни в	4	6
54	что в	4	6
55	самом деле	1	5
56	но в	2	5
57	точки зрения	4	5
58	не менее	6	5
59	и его	3	5
60	потому что	2	5
61	и он	3	5
62	можно было	1	5
63	во второй	1	5
64	друг друга	2	5
65	может быть	17	5
66	но и	10	5
67	в частности	4	5
68	к жизни	2	5
69	в этих	1	5
70	героя и	1	5
71	жизни и	4	5
72	художественного целого	1	4
73	и о	1	4
74	в ней	4	4
75	столь же	5	4
76	в своем	1	4
77	и к	2	4
78	в действительности	1	4
79	то в	2	4
80	в самом	1	4
81	всего лишь	3	4
82	на то	1	4
83	он не	5	4
84	и читателя	2	4
85	и с	3	4
86	тем не	2	4
87	тому что	1	4
88	с ним	2	4
89	в русской	4	4
90	по своей	1	4
91	связи с	1	4
92	картина мира	2	4
93	можно сказать	1	4
94	того что	5	4
95	один из	4	4
96	уединенного сознания	5	4
97	себя в	6	4
98	из них	2	4
99	в конце	2	4
100	как раз	2	4
101	не было	2	4
102	и все	1	4
103	бытия и	1	4
104	и от	1	4
105	речь идет	3	3
106	по преимуществу	2	3
107	с точки	3	3
108	едва ли	4	3
109	в мире	9	3
110	и на	6	3
111	видения жизни	1	3
112	в ее	2	3
113	на рассвете	1	3
114	отнюдь не	4	3
115	идет о	3	3
116	как к	3	3
117	все же	2	3
118	но он	1	3
119	в нем	3	3
120	в творческом	1	3
121	и по	1	3
122	на этом	2	3
123	его в	1	3
124	даже в	4	3
125	в своих	2	3
126	такой же	3	3
127	в ходе	1	3
128	все эти	1	3
129	из нас	2	3
130	в тексте	1	3
131	тем что	4	3
132	этом отношении	3	3
133	своего я	1	3
134	для себя	2	3
135	как мы	1	3
136	того чтобы	1	3
137	в пределах	1	3
138	приводит к	1	3
139	в финале	1	3
140	и когда	1	3
141	еще в	4	3
142	а также	2	3
143	русской литературе	2	3
144	же в	2	3
145	в литературе	1	3
146	но не	5	3
147	и даже	8	3
148	со стороны	3	3
149	то и	3	3
150	однако и	1	3
151	в творчестве	1	3
152	такого рода	9	3
153	и для	3	3
154	но одновременно	1	3
155	от него	1	3
156	в равной	3	3
157	в таком	1	3
158	к этой	2	3
159	я и	4	2
160	от личности	1	2
161	же как	2	2
162	начинается с	1	2
163	на самом	1	2
164	случайно в	1	2
165	в их	3	2
166	той же	2	2
167	мы не	4	2
168	изучение поэтики	1	2
169	равной мере	1	2
170	жизни как	2	2
171	слово не	2	2
172	к своему	2	2
173	же мере	1	2
174	и личность	1	2
175	но как	2	2
176	в противовес	3	2
177	если в	2	2
178	конечном счете	5	2
179	к творчеству	1	2
180	себе и	3	2
181	в е	2	2
182	в произведениях	1	2
183	в рамках	4	2
184	в художественном	2	2
185	как нам	1	2
186	к художественному	1	2
187	лежит на	1	2
188	в литературном	1	2
189	в целом	2	2
190	так в	5	2
191	только на	1	2
192	было видно	1	2
193	как он	2	2
194	наш взгляд	3	2
195	не следует	1	2
196	на наш	3	2
197	однако в	6	2
198	не бывает	2	2
199	речь в	2	2
200	же касается	1	2
201	в другом	3	2
202	его личности	1	2
203	одной из	2	2
204	все равно	2	2
205	впервые в	1	2
206	иначе говоря	1	2
207	автора и	1	2
208	ни единого	1	2
209	индивидуальной жизни	1	2
210	в такой	2	2
211	состоит в	9	2
212	с позиции	1	2
213	не столько	3	2
214	в первый	2	2
215	от себя	1	2
216	что я	2	2
217	художественного мира	2	2
218	как от	1	2
219	они не	1	2
220	не раз	2	2
221	не имеет	1	2
222	одна из	5	2
223	на себе	1	2
224	концепция личности	1	2
225	мышления и	1	2
226	социальной адаптации	1	2
227	жизни на	2	2
228	тех кто	4	2
229	со своим	1	2
230	что на	1	2
231	самоактуализация личности	1	2
232	по нашему	1	2
233	об одном	1	2
234	которым в	1	2
235	личность не	1	2
236	все еще	2	2
237	с ее	2	2
238	здесь не	1	2
239	на основе	1	2
240	в землю	1	2
241	при котором	1	2
242	как по	1	2
243	в себя	3	2
244	и каждый	2	2
245	сторону жизни	1	2
246	никак не	1	2
247	и что	2	2
248	в конечном	5	2
249	действительности же	1	2
250	в него	2	2
251	художественного письма	2	2
252	но с	3	2
253	автора героя	1	2
254	от лица	1	2
255	и потому	1	2
256	с другим	2	2
257	так что	4	2
258	слова в	1	2
259	в начале	3	2
260	по выражению	1	2
261	а то	1	2
262	при всей	2	2
263	способ существования	2	2
264	на том	1	2
265	это прежде	2	2
266	а с	1	2
267	себя и	2	2
268	что не	2	2
269	до конца	2	2
270	человек в	1	2
271	и ты	3	2
272	на фоне	5	2
273	эти слова	1	2
