N	2gram	Bakhtin_Fr_6	DiskursI
1	в себе	5	19
2	при этом	3	17
3	в этом	12	16
4	как и	7	16
5	и в	41	16
6	может быть	2	16
7	и не	3	15
8	а не	2	14
9	то есть	24	12
10	и т.п	19	12
11	в частности	2	12
12	но в	8	11
13	но и	13	11
14	не только	10	10
15	том что	7	10
16	своего рода	1	10
17	так и	5	9
18	не может	4	9
19	как в	4	8
20	в том	2	8
21	а также	5	8
22	но не	2	7
23	в данном	3	7
24	в нем	16	7
25	ни в	1	7
26	не менее	1	7
27	прежде всего	10	7
28	то же	5	6
29	еще не	1	6
30	с его	5	6
31	данном случае	2	6
32	себя в	2	6
33	все же	4	6
34	в своей	2	6
35	и на	9	5
36	в своем	5	5
37	в противоположность	1	5
38	в то	6	5
39	нового времени	4	5
40	с другой	4	5
41	же время	5	5
42	что в	7	5
43	для него	1	5
44	то что	10	5
45	а с	1	5
46	героя в	1	5
47	и то	2	4
48	по отношению	1	4
49	в этой	8	4
50	роль в	4	4
51	человека в	1	4
52	в основе	4	4
53	потому что	3	4
54	этом отношении	3	4
55	о том	9	4
56	в пределах	1	4
57	одного из	1	4
58	времени в	1	4
59	с одной	4	4
60	одно из	1	4
61	в одном	5	4
62	картину мира	1	4
63	одной стороны	4	4
64	как бы	7	4
65	не является	1	4
66	мира и	2	4
67	точки зрения	2	4
68	к его	1	4
69	отношению к	1	4
70	также и	6	3
71	например в	6	3
72	в строгом	1	3
73	принадлежит к	1	3
74	перед нами	3	3
75	и как	4	3
76	и наконец	4	3
77	все эти	11	3
78	из этих	2	3
79	он не	2	3
80	из виду	1	3
81	в другом	4	3
82	его в	1	3
83	это не	1	3
84	одного и	2	3
85	в этих	2	3
86	в котором	4	3
87	не столько	1	3
88	одном из	1	3
89	не в	4	3
90	могут быть	1	3
91	той или	1	3
92	еще в	5	3
93	в его	7	3
94	восходит к	1	3
95	только в	3	3
96	и его	13	3
97	уже не	1	3
98	из них	5	3
99	в них	7	3
100	или иной	1	3
101	здесь в	9	3
102	не было	1	3
103	не знает	1	3
104	мира в	2	3
105	как будто	1	3
106	можно сказать	1	3
107	но это	3	3
108	и того	1	3
109	в пределе	2	3
110	и все	9	3
111	жизни а	1	3
112	жизни и	3	3
113	как на	1	3
114	того же	4	2
115	и это	1	2
116	той же	5	2
117	потом и	1	2
118	место в	1	2
119	совпадает с	1	2
120	говорить о	2	2
121	жизни как	1	2
122	в ней	4	2
123	к своему	1	2
124	время в	1	2
125	всякий раз	1	2
126	отношение к	1	2
127	из важнейших	1	2
128	стороны и	2	2
129	в целом	1	2
130	рассказ о	1	2
131	должна быть	2	2
132	с таким	1	2
133	является не	1	2
134	же касается	1	2
135	и с	16	2
136	обоих случаях	1	2
137	но уже	2	2
138	все это	11	2
139	на первый	3	2
140	с точки	2	2
141	их в	2	2
142	в обоих	1	2
143	дело в	1	2
144	между жизнью	1	2
145	никогда не	8	2
146	и другого	1	2
147	в области	2	2
148	и смертью	1	2
149	жизнью и	1	2
150	здесь не	1	2
151	в себя	1	2
152	времени и	2	2
153	в результате	4	2
154	но здесь	2	2
155	основе своей	1	2
156	там же	1	2
157	между тем	2	2
158	в языке	1	2
159	что и	1	2
160	и одновременно	1	2
161	по свидетельству	1	2
162	есть в	3	2
163	в большинстве	4	2
164	момент в	1	2
165	не подлежит	1	2
166	именно в	4	2
167	далеко не	1	2
168	и прежде	2	2
169	не на	2	2
170	вместе с	6	2
171	о чем	1	2
172	в той	5	2
173	что же	1	2
174	мира с	1	2
175	и творит	1	2
176	и для	3	2
177	а к	1	2
178	на языке	3	2
179	а в	4	2
