N	3gram	Vinokur_Vv_1	EvropaiE
1	с точки зрения	2	16
2	в то же	5	15
3	то же время	5	14
4	с одной стороны	4	8
5	одной стороны и	3	6
6	в том что	12	6
7	с этой точки	1	5
8	так же как	1	5
9	этой точки зрения	1	5
10	для того чтобы	21	5
11	бы то ни	1	4
12	не только в	4	4
13	то ни было	1	4
14	и в этом	3	4
15	того или иного	1	4
16	само по себе	3	4
17	той или иной	1	4
18	в этом смысле	10	3
19	хотя бы и	2	3
20	в этом отношении	3	3
21	можно было бы	3	3
22	ту или иную	1	3
23	в применении к	6	3
24	в известном смысле	3	3
25	во всяком случае	3	3
26	и прежде всего	1	3
27	можно сказать что	3	3
28	заключает в себе	1	3
29	сказать что в	1	2
30	того что в	1	2
31	прежде всего в	1	2
32	не говоря уже	2	2
33	только в том	2	2
34	и со стороны	1	2
35	из того что	1	2
36	в определенном смысле	1	2
37	с течением времени	6	2
38	по своему характеру	1	2
39	в данном случае	4	2
40	но в то	3	2
41	заключается в том	3	2
42	по сравнению с	3	2
43	в известных пределах	1	2
44	с другой стороны	5	2
45	не может быть	8	2
46	по себе не	1	2
47	в частности в	1	2
48	в свою очередь	1	2
49	прежде всего к	1	2
50	между ними и	1	2
51	во второй половине	2	2
52	как мы видели	2	2
53	и того же	2	1
54	что в этом	2	1
55	можно представить себе	2	1
56	прошлом и настоящем	1	1
57	о том насколько	1	1
58	которая как мы	1	1
59	дело в том	2	1
60	в разных отраслях	1	1
61	ответить на этот	1	1
62	большей или меньшей	2	1
63	том что обе	1	1
64	также и в	2	1
65	что из числа	1	1
66	имеют дело с	1	1
67	во многих случаях	1	1
68	в соответствии с	2	1
69	в том же	1	1
70	что же касается	2	1
71	он мог бы	1	1
72	тот же язык	1	1
73	и не в	1	1
74	в лучшем случае	1	1
75	говоря уже о	1	1
76	же время в	1	1
77	представление о том	1	1
78	в отличие от	3	1
79	но и в	1	1
80	с тем что	3	1
81	и для того	1	1
82	в гораздо большей	1	1
83	на этот вопрос	3	1
84	в духовной жизни	1	1
85	в ряде случаев	1	1
86	в значительной мере	1	1
87	то или иное	1	1
88	может быть и	2	1
89	это может быть	1	1
90	своих потребностей в	1	1
91	в самом процессе	1	1
92	в качестве примера	1	1
93	смысле этого слова	2	1
94	в значительной степени	1	1
95	его историческом и	1	1
96	а также и	2	1
97	все эти области	1	1
98	науки с этой	1	1
99	не могут быть	2	1
100	в большей или	1	1
101	или меньшей степени	1	1
102	несомненно представляет собой	1	1
103	в связи с	2	1
104	уже и сейчас	1	1
105	о котором мы	1	1
106	этот вопрос мы	1	1
107	но какой бы	1	1
108	вовсе не в	2	1
109	но также и	9	1
110	значение только в	1	1
111	говорить о том	1	1
112	человеческой культуры в	1	1
113	что наряду с	1	1
114	но от этого	1	1
115	со стороны тех	1	1
116	связи с этим	1	1
117	на то или	1	1
118	при известных условиях	1	1
119	в их развитии	1	1
120	одного и того	2	1
121	следует толковать в	1	1
122	в европе и	1	1
123	сильнее чем в	2	1
124	к тому что	1	1
125	или иных областей	1	1
126	тех или иных	3	1
127	т е не	2	1
128	при помощи которого	1	1
129	а именно в	1	1
130	только тогда когда	1	1
131	и т д	37	1
