N	3gram	Potebnia_M_3	DiskursI
1	в том что	16	13
2	по отношению к	5	9
3	с одной стороны	3	9
4	о том что	1	5
5	то же время	5	4
6	к тому же	1	4
7	не в том	5	3
8	не может быть	3	3
9	в свою очередь	3	3
10	с другой стороны	4	3
11	в то же	5	3
12	по себе не	1	2
13	а не в	1	2
14	не говоря уже	1	2
15	подобно тому как	2	2
16	то же самое	1	2
17	а в том	5	2
18	одной стороны и	1	2
19	говоря уже о	1	2
20	сами по себе	1	2
21	по крайней мере	5	2
22	в данном случае	1	2
23	в том чтобы	2	2
24	не только в	4	2
25	более или менее	3	2
26	можно сказать что	2	2
27	только в том	3	2
28	то все же	1	1
29	здесь как и	1	1
30	и может быть	2	1
31	а не за	1	1
32	как одного из	1	1
33	и вообще в	1	1
34	не только по	3	1
35	а потому и	1	1
36	одним и тем	3	1
37	далеко не все	3	1
38	на самом деле	1	1
39	в этом последнем	2	1
40	без которой нет	1	1
41	в их отношении	1	1
42	значении этого слова	1	1
43	то есть к	3	1
44	тем же словом	3	1
45	именно в том	2	1
46	и представляет себе	1	1
47	между тем слово	1	1
48	тому как мы	1	1
49	себе не может	1	1
50	до сих пор	3	1
51	принадлежит ему в	1	1
52	сам по себе	5	1
53	что он не	3	1
54	в строгом смысле	1	1
55	в котором нет	1	1
56	только то что	1	1
57	из того что	1	1
58	в таком случае	2	1
59	в противном случае	1	1
60	к мысли о	1	1
61	вместе с тем	4	1
62	потому что к	1	1
63	одно и то	5	1
64	еще не знает	1	1
65	только потому что	2	1
66	в целом и	1	1
67	как мы видели	1	1
68	в нераздельное единство	1	1
69	что не есть	1	1
70	далеко не всегда	1	1
71	однако в силу	1	1
72	и тем же	3	1
73	и в том	2	1
74	из виду что	1	1
75	можно сказать и	1	1
76	того о ком	1	1
77	эстетическом значении этого	1	1
78	природу то есть	1	1
79	в том случае	1	1
80	предмет о котором	1	1
81	потому что в	1	1
82	лично для себя	1	1
83	а не как	1	1
84	том что он	2	1
85	их отношении к	1	1
86	в свое время	1	1
87	в этом отношении	2	1
88	в каком находится	1	1
89	первобытный человек не	1	1
90	так и в	2	1
91	имея в виду	1	1
92	там же с	6	1
93	состоит не только	1	1
94	упускать из виду	2	1
95	заключается в том	1	1
96	не может стать	1	1
97	же время и	1	1
98	на то что	1	1
99	может и не	1	1
100	и то же	5	1
101	тем не менее	3	1
102	заключать в себе	1	1
103	как и в	2	1
104	в себе не	2	1
105	что не только	1	1
