N	3gram	Tiupa_Teor_1	DiskursI
1	в том что	8	13
2	по отношению к	4	9
3	с одной стороны	2	9
4	тогда как в	2	5
5	о том что	1	5
6	в отличие от	6	4
7	то же время	5	4
8	а с другой	2	3
9	той или иной	1	3
10	не может быть	4	3
11	в свою очередь	2	3
12	с другой стороны	5	3
13	в то же	5	3
14	по своей природе	2	2
15	в первом значении	1	2
16	мы имеем дело	2	2
17	и того же	3	2
18	том что в	1	2
19	подобно тому как	1	2
20	в том числе	2	2
21	в соответствии с	2	2
22	то же самое	1	2
23	а в том	1	2
24	в одной из	1	2
25	тот или иной	2	2
26	значении этого термина	1	2
27	том числе и	1	2
28	в основе своей	1	2
29	по крайней мере	1	2
30	в значительной степени	1	2
31	прибавить ни убавить	1	2
32	в данном случае	5	2
33	по сути своей	1	2
34	не сводится к	4	2
35	по своему происхождению	1	2
36	состоит в том	5	2
37	не более чем	1	2
38	ни прибавить ни	1	2
39	более или менее	2	2
40	по сути дела	1	2
41	можно сказать что	2	2
42	одного и того	3	2
43	в силу своей	1	2
44	только раскрывают содержание	1	1
45	раскрывают содержание судьбы	1	1
46	отделен от своей	1	1
47	в хх веке	1	1
48	как ценностного центра	1	1
49	дело в том	1	1
50	в его составе	1	1
51	формах внутренней речи	1	1
52	в этом смысле	2	1
53	судьба выражает внеличную	1	1
54	может быть признано	1	1
55	значении этого слова	2	1
56	причастной вненаходимости бахтин	1	1
57	выготским и н.и	1	1
58	своей природе суть	1	1
59	смысле можно говорить	1	1
60	с точки зрения	3	1
61	не было и	1	1
62	полностью совпадает с	1	1
63	объектной и субъектной	1	1
64	том случае если	1	1
65	и в то	1	1
66	мира вокруг я	1	1
67	имеем дело не	1	1
68	только то что	1	1
69	выражает внеличную сторону	1	1
70	из того что	1	1
71	убавить ни изменить	1	1
72	внеличную сторону индивида	1	1
73	диада личности и	1	1
74	том или ином	1	1
75	состоит в придании	1	1
76	между собой и	1	1
77	они хотят и	1	1
78	в противном случае	1	1
79	целом ряде произведений	1	1
80	ту или иную	1	1
81	одно и то	1	1
82	не могло быть	2	1
83	как уже говорилось	1	1
84	таким же образом	1	1
85	содержит в себе	1	1
86	можно даже сказать	1	1
87	не несет в	1	1
88	л.с выготским и	1	1
89	и т.д эта	1	1
90	изменить ничего нельзя	1	1
91	несут в себе	1	1
92	язык представляет собой	1	1
93	являет собой некоторую	1	1
94	автора и читателей	1	1
95	представляет собой некий	1	1
96	и потому что	1	1
97	в равной степени	3	1
98	в известном смысле	1	1
99	в том случае	1	1
100	в евгении онегине	1	1
101	имеем дело с	1	1
102	суть то что	1	1
103	от воспринимающего сознания	1	1
104	что представляет собой	1	1
105	своей судьбы они	1	1
106	не утрачивает своей	1	1
107	в связи с	1	1
108	в рассказе чехова	1	1
109	и не могло	2	1
110	несет в себе	2	1
111	тем или иным	1	1
112	в следующей главе	1	1
113	не отделен от	1	1
114	форм высказывания в	1	1
115	в целом ряде	1	1
116	когда ни прибавить	1	1
117	поступки только раскрывают	1	1
118	но в равной	1	1
119	и его поступки	1	1
120	сторону индивида и	1	1
121	было и не	1	1
122	что они хотят	1	1
123	судьбы они едины	1	1
124	в рамках которого	2	1
125	она могла бы	1	1
126	того или иного	3	1
127	нельзя не сделав	1	1
128	ничего нельзя не	1	1
129	индивида и его	1	1
130	и н.и жинкиным	1	1
131	по слову бахтина	1	1
132	не в качестве	1	1
133	в исходном значении	1	1
134	в эстетический объект	2	1
135	до известной степени	2	1
136	даже сказать что	1	1
137	к чему не	1	1
138	имея в виду	1	1
139	ни к чему	1	1
140	от своей судьбы	1	1
141	вокруг я героя	1	1
142	хотят и свершают	1	1
143	в конечном счете	6	1
144	не сводятся к	1	1
145	далеко не сводится	1	1
146	не сделав хуже	1	1
147	природе суть то	1	1
148	заключается в том	1	1
149	в известной степени	1	1
150	в данном отношении	1	1
151	в полной мере	1	1
152	об отсутствии в	1	1
153	едины судьба выражает	1	1
154	его поступки только	1	1
155	и то же	1	1
156	тех или иных	3	1
157	кто говорит и	1	1
158	тем не менее	3	1
159	ни убавить ни	1	1
160	то что они	1	1
161	дело не в	1	1
162	евгении онегине но	1	1
163	заключать в себе	1	1
164	в большинстве случаев	1	1
165	как и в	2	1
166	в том или	1	1
167	они едины судьба	1	1
168	ни изменить ничего	1	1
