N	2gram	Tiupa_Narr_2	VerxiiNi
1	и в	13	26
2	таким образом	5	22
3	в этом	13	15
4	вместе с	1	15
5	точки зрения	5	13
6	как бы	6	12
7	в том	14	11
8	из этих	2	10
9	не только	26	10
10	и с	1	10
11	может быть	10	10
12	связи с	1	9
13	в области	2	9
14	но и	15	9
15	что в	4	9
16	но не	3	8
17	в общем	1	8
18	и у	4	8
19	с другой	5	8
20	и не	14	8
21	как на	2	8
22	но в	6	7
23	том что	13	7
24	потому что	2	7
25	к нему	1	7
26	с одной	5	7
27	то что	8	7
28	а с	2	7
29	одной стороны	5	7
30	того же	1	6
31	все же	6	6
32	все эти	3	6
33	в себе	8	6
34	всяком случае	1	6
35	с точки	2	6
36	в отношении	1	6
37	к тому	9	6
38	так и	9	6
39	и т.д	4	6
40	о том	5	6
41	в конце	4	6
42	что и	2	6
43	несмотря на	2	6
44	и потому	1	6
45	все это	1	6
46	мы должны	1	6
47	во всяком	1	6
48	отношение к	1	5
49	сих пор	1	5
50	и к	6	5
51	тому же	4	5
52	в силу	4	5
53	в мире	4	5
54	или менее	1	5
55	не имеет	2	5
56	того чтобы	3	5
57	никогда не	6	5
58	для того	1	5
59	в его	6	5
60	до сих	1	5
61	а не	17	5
62	к жизни	1	5
63	и для	3	5
64	так же	2	5
65	одной из	1	5
66	более или	1	5
67	в котором	5	4
68	то же	4	4
69	в течение	2	4
70	в самом	2	4
71	в этой	4	4
72	и по	3	4
73	что все	1	4
74	то есть	9	4
75	должен был	2	4
76	он не	5	4
77	далеко не	5	4
78	в которых	1	4
79	в то	5	4
80	в нем	5	4
81	а в	9	4
82	и потому-то	1	4
83	и что	2	4
84	только в	11	4
85	на этот	1	4
86	ничем не	1	4
87	не может	8	4
88	и от	1	4
89	в этих	1	4
90	во время	2	4
91	что он	5	4
92	в виде	2	4
93	же как	2	3
94	не вполне	2	3
95	так называемые	1	3
96	в своем	6	3
97	и нет	1	3
98	когда он	1	3
99	и как	1	3
100	за собой	1	3
101	в которой	1	3
102	что это	4	3
103	так или	1	3
104	при этом	14	3
105	тем не	5	3
106	если бы	4	3
107	не менее	4	3
108	как о	2	3
109	представляет собой	16	3
110	в других	2	3
111	и о	1	3
112	но по	1	3
113	на нее	1	3
114	ясно что	1	3
115	можно сказать	6	3
116	душ и	1	3
117	того что	6	3
118	но с	1	3
119	хотя бы	2	3
120	в качестве	14	3
121	так что	1	3
122	уже не	4	3
123	для него	4	3
124	в одном	1	3
125	и даже	3	3
126	или иначе	2	3
127	в связи	1	3
128	в рамках	6	3
129	с этой	3	3
130	в результате	2	3
131	отношению к	5	3
132	к этому	1	3
133	в таком	3	3
134	точно так	2	3
135	не должны	1	2
136	одним из	1	2
137	его не	1	2
138	мы имеем	3	2
139	ни у	1	2
140	грань между	1	2
141	еще не	2	2
142	с его	3	2
143	во всех	1	2
144	в новом	1	2
145	относится к	1	2
146	что именно	1	2
147	некоторые из	1	2
148	и наконец	1	2
149	на то	2	2
150	не могла	1	2
151	не к	4	2
152	из него	1	2
153	состоит в	12	2
154	его можно	1	2
155	людей и	1	2
156	те же	2	2
157	в глазах	4	2
158	к которым	1	2
159	не всегда	1	2
160	и сейчас	1	2
161	признать что	1	2
162	не в	8	2
163	иной раз	1	2
164	вплоть до	1	2
165	и молитвы	1	2
166	не могло	2	2
167	только не	2	2
168	в самой	1	2
169	же время	3	2
170	с одним	1	2
171	и после	1	2
172	этом отношении	3	2
173	ему в	2	2
174	ли это	1	2
175	и здесь	2	2
176	не могут	1	2
177	той или	3	2
178	но при	4	2
179	и сами	1	2
180	приводит к	1	2
181	не с	1	2
182	особенно в	1	2
183	по сравнению	1	2
184	мысль о	2	2
185	в виду	1	2
186	к одной	1	2
187	с того	1	2
188	а также	6	2
189	между тем	3	2
190	вслед за	6	2
191	наконец в	1	2
192	быть и	1	2
193	по своей	3	2
194	один из	3	2
195	большею частью	1	2
196	очень много	1	2
197	со всеми	2	2
198	в начале	2	2
199	свидетельствует о	4	2
200	одно из	2	2
201	и люди	1	2
202	или иной	3	2
203	именно в	2	2
204	к которому	2	2
205	прежде всего	6	2
206	выступает в	1	2
207	связано с	1	2
208	превращается в	2	2
209	его смерти	1	2
210	и все	4	2
211	когда же	2	2
212	если не	2	2
213	виде в	1	2
214	уже давно	1	2
215	и особенно	1	2
216	по своему	2	2
217	сравнению с	1	2
218	благодаря этому	1	2
219	что мы	1	2
220	же самое	1	2
221	тем и	1	2
222	том виде	1	2
223	о котором	3	2
224	в другое	1	2
225	совершенно иной	1	2
226	только что	2	2
227	в свою	2	2
228	в процессе	2	2
229	сказать что	3	2
230	к его	3	2
231	одновременно и	1	2
232	из этого	1	2
233	жизни и	4	2
234	можно назвать	2	2
235	все что	4	2
236	этой точки	1	2
237	эта новая	1	1
238	к их	1	1
239	таком случае	1	1
240	рассматривается как	1	1
241	начинается с	1	1
242	которого в	1	1
243	а между	1	1
244	самом деле	3	1
245	он может	2	1
246	это и	1	1
247	другому человеку	1	1
248	мере в	2	1
249	который можно	1	1
250	тем же	1	1
251	определенной категории	1	1
252	все те	2	1
253	этом направлении	1	1
254	той же	2	1
255	а как	3	1
256	мы не	2	1
257	мир не	1	1
258	нам в	3	1
259	именно к	1	1
260	бы и	1	1
261	это всегда	1	1
262	время как	1	1
