1	вместе с тем	3	5
2	у достоевского нет	1	4
3	это и есть	1	4
4	и вместе с	1	4
5	о великом инквизиторе	1	4
6	добра и зла	1	4
7	это значит что	7	3
8	в братьях карамазовых	1	3
9	как будто бы	2	2
10	не только в	4	2
11	и зла и	1	2
12	в том смысле	2	2
13	хотя бы и	2	2
14	что он не	1	2
15	и не может	1	2
16	то время как	2	2
17	для того чтобы	2	2
18	прежде всего в	1	2
19	это не значит	1	2
20	к учению о	1	2
21	в то время	2	2
22	по своему значению	1	2
23	достоевский прежде всего	1	2
24	в конце концов	1	2
25	до сих пор	1	2
26	не только для	2	1
27	чтобы все эти	1	1
28	и потому в	1	1
29	что иное как	2	1
30	в самой жизни	1	1
31	не значит что	1	1
32	и когда мы	1	1
33	порождает из себя	1	1
34	или лучше сказать	1	1
35	бросается в глаза	1	1
36	и т п	1	1
37	ни к какому	1	1
38	мира сего в	1	1
39	друг к другу	1	1
40	вообще не существует	1	1
41	в зависимости от	3	1
42	по сравнению с	1	1
43	своему значению и	1	1
44	потому что он	2	1
45	можно было бы	4	1
46	имеем в виду	3	1
47	и не было	2	1
48	в ней точно	1	1
49	xix века не	1	1
50	человеческого сознания и	1	1
51	не в том	1	1
52	во всяком случае	4	1
53	мы имеем в	1	1
54	хотя бы даже	2	1
55	в самом темном	1	1
56	в том что	8	1
57	не что иное	2	1
58	том смысле что	1	1
59	униженных и оскорбленных	1	1
60	исторического процесса в	1	1
61	в романах достоевского	1	1
62	не в той	3	1
63	вовсе не так	1	1
64	есть то что	1	1
65	сохранить за собой	1	1
66	на том что	1	1
67	не хотел видеть	1	1
68	и кажется что	1	1
69	выходит за пределы	1	1
70	о том что	3	1
71	лучше сказать с	1	1
72	в себе и	2	1
73	жизни и в	2	1
74	смысле что он	1	1
