N	4gram	Vygotskiy__7	RusskieA
1	состоит в том что	3	8
2	в том что в	1	5
3	привело к тому что	1	2
4	не что иное как	1	2
5	ни одно из этих	1	2
6	что в этом случае	2	2
7	как это имеет место	1	2
8	о том что в	1	1
9	не оставляют сомнения в	1	1
10	оставляют сомнения в том	1	1
11	самом же деле это	1	1
12	только по отношению к	1	1
13	приводит к тому что	2	1
14	это имеет место на	1	1
15	одном и том же	1	1
16	только о том что	1	1
17	и состоит в том	1	1
18	той только разницей что	1	1
19	с той только разницей	1	1
20	на самом же деле	1	1
21	сомнений в том что	1	1
22	в этом случае он	1	1
23	в том что это	1	1
24	так же как и	1	1
25	как мы увидим ниже	1	1
26	но вместе с тем	1	1
27	сомнения в том что	1	1
