N	2gram	Kanaev_Sov_1	Vladivir
1	и в	7	40
2	не только	4	25
3	и не	6	25
4	у него	2	24
5	том что	1	18
6	в том	4	18
7	что в	2	17
8	в этом	7	16
9	в его	2	14
10	не может	17	14
11	в виде	2	13
12	точки зрения	12	13
13	вовсе не	1	13
14	только в	1	13
15	в конце	3	12
16	сказать что	1	12
17	никогда не	1	11
18	таким образом	11	11
19	о том	1	11
20	ни в	1	10
21	тем не	2	10
22	и его	1	10
23	прежде всего	5	10
24	и потому	3	10
25	уже не	2	9
26	что это	2	9
27	в себе	3	9
28	не менее	2	9
29	что же	5	9
30	как мы	2	8
31	в своем	1	8
32	в этой	3	8
33	он не	1	8
34	и что	2	8
35	раз и	1	8
36	может быть	12	8
37	а не	3	8
38	так же	1	8
39	хотя и	1	7
40	и если	1	7
41	что все	2	7
42	как и	6	7
43	несмотря на	1	7
44	необходимо сказать	1	7
45	в то	1	7
46	так как	4	7
47	вместе с	4	7
48	а в	4	7
49	в своих	1	7
50	№ с	2	6
51	кроме того	1	6
52	не будет	1	6
53	с точки	5	6
54	по себе	1	6
55	и это	1	6
56	и от	1	6
57	значит что	1	6
58	и даже	2	6
59	xix века	1	6
60	это значит	1	6
61	но это	1	6
62	мы уже	1	5
63	в ней	1	5
64	совсем не	1	5
65	отнюдь не	3	5
66	все эти	5	5
67	можно было	1	5
68	должно быть	1	5
69	но если	1	5
70	дело в	1	5
71	для нас	3	5
72	ничего не	6	5
73	только и	1	5
74	эти три	1	5
75	у нас	3	5
76	ничего общего	1	5
77	еще в	1	5
78	с другой	1	5
79	только на	1	5
80	в одном	3	5
81	не было	1	5
82	в данном	1	5
83	в самом	2	4
84	то же	3	4
85	вопрос о	4	4
86	еще не	3	4
87	но не	1	4
88	то он	1	4
89	все же	3	4
90	но в	3	4
91	было бы	3	4
92	ведь если	1	4
93	чем в	1	4
94	такой же	2	4
95	не имеет	1	4
96	или как	1	4
97	в дальнейшем	4	4
98	утверждает что	1	4
99	по мнению	2	4
100	если мы	4	4
101	здесь в	1	4
102	и все	3	4
103	в течение	1	4
104	такого рода	2	4
105	по существу	1	4
106	указать на	1	4
107	в результате	6	4
108	мы должны	4	4
109	же как	1	3
110	на самом	1	3
111	мы имеем	1	3
112	его работы	1	3
113	бы то	1	3
114	отличие от	2	3
115	независимо от	1	3
116	и у	1	3
117	уже в	3	3
118	из этих	2	3
119	в нем	3	3
120	при этом	3	3
121	но все	2	3
122	то ни	2	3
123	том случае	1	3
124	это не	4	3
125	этом смысле	1	3
126	этого не	1	3
127	в отличие	2	3
128	не в	3	3
129	если нет	1	3
130	в духе	1	3
131	отличается от	3	3
132	если бы	1	3
133	и вообще	1	3
134	настоящее время	2	3
135	к нему	1	3
136	с одной	2	3
137	и чисто	1	3
138	мы знаем	2	3
139	всяком случае	2	3
140	и только	1	3
141	человека и	1	3
142	именно в	1	3
143	в связи	1	3
144	мы видели	4	3
145	одной стороны	1	3
146	как бы	4	3
147	же самое	2	3
148	но для	1	3
149	и для	1	3
150	нельзя сказать	1	3
151	в настоящее	2	3
152	же в	1	3
153	только о	1	3
154	и эта	1	3
155	в таком	2	3
156	во всяком	2	3
157	в этот	1	2
158	по преимуществу	1	2
159	не имеют	1	2
160	по его	1	2
161	есть не	1	2
162	и само	1	2
163	мы не	9	2
164	совершенно так	1	2
165	он сам	1	2
166	быть в	1	2
167	что его	1	2
168	данном случае	1	2
169	но как	1	2
170	и речи	1	2
171	всю эту	1	2
172	с этим	2	2
173	и наконец	5	2
174	и к	3	2
175	в которой	2	2
176	в целом	4	2
177	в нашем	2	2
178	остановиться на	1	2
179	что она	3	2
180	и еще	1	2
181	же это	4	2
182	и по	2	2
183	в другом	1	2
184	те или	1	2
185	должен был	1	2
186	но уже	1	2
187	знаем что	2	2
188	и более	1	2
189	о значении	2	2
190	что эта	1	2
191	она не	1	2
192	но что	1	2
193	но только	1	2
194	и всегда	1	2
195	же время	1	2
196	ровно ничего	1	2
197	связи с	1	2
198	он называет	1	2
199	не могут	2	2
200	той или	1	2
201	роль в	2	2
202	в мире	1	2
203	здесь нет	1	2
204	во многом	1	2
205	и вся	1	2
206	но мы	3	2
207	что каждый	1	2
208	его в	1	2
209	или иные	1	2
210	где у	1	2
211	другого для	1	2
212	быть и	2	2
213	одной из	1	2
214	в какой	1	2
215	он уже	1	2
216	мы будем	1	2
217	не можем	7	2
218	то и	2	2
219	в начале	1	2
220	из них	4	2
221	себе в	1	2
222	здесь и	1	2
223	живой жизни	1	2
224	только к	1	2
225	декарта и	1	2
226	и красота	1	2
227	стороны и	1	2
228	еще раз	1	2
229	как например	1	2
230	при условии	1	2
231	это последнее	1	2
232	не является	1	2
233	которых он	1	2
234	и ни	1	2
235	все они	1	2
236	а о	1	2
237	но можно	1	2
238	совершенно не	2	2
239	сколько угодно	1	2
240	того же	1	2
241	с его	1	2
242	но еще	1	2
243	к этому	1	2
244	новое время	1	1
245	как известно	2	1
246	можно говорить	1	1
247	живое существо	1	1
248	необходимо отметить	2	1
249	системы но	1	1
250	это и	1	1
251	и есть	2	1
252	и философ	1	1
253	от всяких	1	1
254	все те	2	1
255	из всех	1	1
256	для своего	1	1
257	это совершенно	1	1
258	путь для	1	1
259	теперь мы	1	1
260	как особого	1	1
261	та же	1	1
262	другую и	1	1
263	что иное	1	1
264	представление о	1	1
265	для нашей	1	1
266	мы ее	1	1
267	из одной	1	1
268	то конечно	1	1
269	чем отличается	1	1
270	иное как	1	1
271	во всех	1	1
272	живых существ	1	1
273	точка зрения	1	1
274	если в	1	1
275	с совершенно	2	1
276	и будет	2	1
277	нет и	4	1
278	один и	1	1
279	под руководством	1	1
280	угодно и	1	1
281	это просто	1	1
282	и свою	1	1
283	для ее	1	1
284	не быть	1	1
285	к чему	2	1
286	точку зрения	4	1
287	он в	3	1
288	которые в	1	1
289	а может	1	1
290	в известном	1	1
291	мира но	1	1
292	как он	3	1
293	так сказать	2	1
294	к одному	1	1
295	в корне	1	1
296	их в	4	1
297	поскольку она	1	1
298	конечно в	2	1
299	на этой	3	1
300	и навсегда	1	1
301	образом если	1	1
302	уже знаем	1	1
303	возможности то	1	1
304	ведь в	1	1
305	в новое	1	1
306	живом организме	1	1
307	само собою	3	1
308	рядом с	1	1
309	все равно	1	1
310	которой он	2	1
311	жизни но	1	1
312	оно имеет	1	1
313	носит название	2	1
314	обратимся к	1	1
315	в один	2	1
316	в западной	1	1
317	действительно если	1	1
318	и при	1	1
319	и их	1	1
320	работы в	1	1
321	сказать так	1	1
322	в такой	1	1
323	она в	1	1
324	что вся	1	1
325	никакому сомнению	1	1
326	всего только	2	1
327	природы но	1	1
328	является только	1	1
329	против него	1	1
330	может развиваться	1	1
331	но эта	1	1
332	не будем	2	1
333	без всяких	1	1
334	важную роль	1	1
335	ни было	1	1
336	общего и	1	1
337	в древней	1	1
338	же мы	2	1
339	этой области	1	1
340	что с	1	1
341	дальнейшем увидим	1	1
342	самого начала	3	1
343	одна из	3	1
344	в науке	2	1
345	какой бы	1	1
346	не составляют	1	1
347	это то	1	1
348	только из	1	1
349	но очень	2	1
350	очень мало	1	1
351	базируется на	1	1
352	в процессе	1	1
353	в будущем	1	1
354	ли это	1	1
355	очень часто	1	1
356	если у	1	1
