N	3gram	Potebnia_M_1	UchenyiS
1	не может быть	9	4
2	с другой стороны	5	3
3	то же время	3	3
4	бы то ни	2	3
5	в то же	3	3
6	то ни было	1	3
7	а между тем	3	2
8	не могут быть	2	2
9	и в этой	1	2
10	в этом смысле	4	2
11	до сих пор	1	2
12	в этом отношении	1	2
13	в том что	13	2
14	в противном случае	3	2
15	по крайней мере	2	2
16	чем то что	1	1
17	противном случае пришлось	1	1
18	или по крайней	1	1
19	не в том	4	1
20	по себе еще	1	1
21	не только к	1	1
22	это было бы	1	1
23	более или менее	1	1
24	есть язык в	1	1
25	группы и в	1	1
26	и не только	1	1
27	между тем в	1	1
28	сам по себе	1	1
29	само по себе	4	1
30	же время не	1	1
31	и независимо от	1	1
32	не было бы	1	1
33	с тем что	3	1
34	но это не	1	1
35	в данное время	1	1
36	творчества то и	1	1
37	на то что	1	1
38	в ней не	1	1
39	случае пришлось бы	1	1
40	быть не может	2	1
41	что все они	1	1
42	не только в	3	1
43	с одной стороны	3	1
