N	2gram	Losev_Vlad_1	Sotsiolo
1	все это	5	7
2	в том	11	5
3	в этом	14	5
4	и только	1	3
5	для нас	4	3
6	не только	24	3
7	и в	31	3
8	не в	5	3
9	в его	12	3
10	за пределы	3	2
11	но и	19	2
12	конце концов	3	2
13	и мы	2	2
14	было бы	2	2
15	только в	9	2
16	дело не	2	2
17	далеко не	1	2
18	в результате	2	2
19	тем более	2	2
20	том что	14	2
21	в частности	2	2
22	то что	18	2
23	главным образом	4	2
24	и что	6	2
25	литературы и	1	2
26	еще не	2	2
27	таким образом	3	2
28	это и	2	2
29	в конце	9	2
30	что в	14	2
31	может быть	6	2
32	по отношению	1	2
33	по существу	2	2
34	то же	6	2
35	не из	2	1
36	в свои	2	1
37	что все	2	1
38	быть не	1	1
39	даже в	2	1
40	а вот	1	1
41	будучи сторонником	1	1
42	в этой	4	1
43	тому что	1	1
44	отнюдь не	3	1
45	даже не	2	1
46	этой области	2	1
47	но одно	1	1
48	которая должна	1	1
49	на все	2	1
50	же этот	1	1
51	с другой	3	1
52	дает нам	1	1
53	с ним	5	1
54	это не	1	1
55	на этот	6	1
56	именно в	1	1
57	в чем	2	1
58	все же	3	1
59	один из	4	1
60	и есть	1	1
61	в то	8	1
62	его собственная	1	1
63	кто не	2	1
64	даже больше	1	1
65	еще и	7	1
66	только то	1	1
67	а с	5	1
68	тем что	2	1
69	и как	4	1
70	и затем	2	1
71	что он	12	1
72	не пошел	1	1
73	выдвигает на	1	1
74	прежде всего	1	1
75	в них	2	1
76	так и	6	1
77	не было	5	1
78	время пишет	1	1
79	одной стороны	1	1
80	те же	1	1
81	но только	3	1
82	и не	17	1
83	существу дела	2	1
84	никогда не	9	1
85	на основании	2	1
86	мы не	1	1
87	со своими	3	1
88	же время	4	1
89	ничего не	3	1
90	мы еще	1	1
91	его слишком	1	1
92	и самым	1	1
93	не мешает	1	1
94	и о	2	1
95	связь между	1	1
96	все эти	3	1
97	это же	1	1
98	как и	4	1
99	бы в	1	1
100	с помощью	1	1
101	этом не	2	1
102	в настоящее	1	1
103	мы должны	2	1
104	первый план	2	1
105	остается в	1	1
106	в таких	1	1
107	но она	3	1
108	против этого	1	1
109	образом в	2	1
110	конечно не	2	1
111	в связи	3	1
112	в те	8	1
113	на первый	2	1
114	и его	7	1
115	в этих	1	1
116	место в	2	1
117	связи с	1	1
118	или не	1	1
119	хотя бы	2	1
120	и научно	1	1
121	в целом	3	1
122	для наших	1	1
123	не может	6	1
124	в своей	4	1
125	а в	9	1
126	работы в	1	1
127	тех кто	1	1
128	не способен	1	1
129	что она	2	1
130	о том	11	1
131	в области	1	1
132	к изучению	2	1
133	и потому	6	1
134	настоящее время	1	1
135	больше того	1	1
136	в котором	6	1
137	никак не	4	1
138	между ними	1	1
139	из тех	1	1
140	на что	2	1
141	все то	1	1
142	столь же	1	1
143	всяком случае	2	1
144	где же	2	1
145	в силу	1	1
146	своей специальности	1	1
147	он говорит	2	1
148	не без	6	1
149	вовсе не	5	1
150	новое и	1	1
151	же самое	1	1
152	с одной	1	1
153	далеки от	1	1
154	в заключение	1	1
155	но не	3	1
156	у него	15	1
157	для изучения	1	1
158	правда он	1	1
159	в виде	3	1
160	этого и	1	1
161	в данном	1	1
162	потому его	1	1
163	но как	5	1
164	и по	8	1
165	что на	2	1
166	не меняет	1	1
167	не один	1	1
168	и более	1	1
169	том и	1	1
170	во всяком	2	1
171	в каждом	1	1
