N	2gram	Nazirov_Tv_2	DiskursI
1	не только	13	28
2	в том	8	23
3	а не	6	22
4	то есть	5	20
5	тогда как	3	19
6	том что	4	19
7	представляет собой	1	17
8	может быть	8	17
9	как и	6	16
10	и в	20	16
11	в этом	8	15
12	еще не	5	14
13	но и	8	14
14	при этом	8	13
15	но не	5	11
16	прежде всего	8	11
17	и не	9	11
18	как в	4	10
19	с другой	2	10
20	по отношению	3	9
21	в нем	3	9
22	не может	7	9
23	с одной	1	9
24	в частности	2	9
25	отношению к	3	9
26	отнюдь не	4	8
27	но в	4	8
28	своего рода	3	8
29	о том	5	8
30	так и	6	8
31	не было	2	7
32	в себе	3	7
33	то же	7	7
34	не в	4	7
35	в основе	2	7
36	роль в	2	7
37	со стороны	1	7
38	в его	10	7
39	только в	2	7
40	пока еще	1	6
41	и как	1	6
42	ни к	2	6
43	и на	5	5
44	во всех	1	5
45	отличие от	2	5
46	в рамках	1	5
47	тому же	2	5
48	в силу	1	5
49	в котором	3	5
50	в их	3	5
51	в отличие	2	5
52	в процессе	2	5
53	в себя	1	5
54	сводится к	2	5
55	или иной	1	5
56	а с	3	5
57	как бы	11	5
58	к тому	1	5
59	а в	4	5
60	то что	3	5
61	в своей	6	5
62	и о	1	4
63	в которых	3	4
64	с его	1	4
65	отношение к	1	4
66	в истории	2	4
67	и к	1	4
68	уже не	3	4
69	в целом	6	4
70	на его	4	4
71	лишь в	1	4
72	в них	1	4
73	потому что	7	4
74	могут быть	2	4
75	для себя	1	4
76	по сути	3	4
77	же время	7	4
78	между тем	3	4
79	как правило	2	4
80	одной из	3	4
81	что он	6	4
82	для него	3	4
83	что не	3	4
84	связи с	1	4
85	такого рода	1	4
86	не является	3	4
87	что в	7	4
88	по бахтину	1	4
89	и потому	4	3
90	в первом	1	3
91	в основании	1	3
92	столь же	1	3
93	той или	1	3
94	в одной	3	3
95	с этим	1	3
96	перед нами	1	3
97	в самом	3	3
98	из жизни	2	3
99	заключается в	1	3
100	это не	7	3
101	ведет к	1	3
102	в ходе	1	3
103	в своих	3	3
104	однако в	1	3
105	по себе	1	3
106	в то	10	3
107	литературной традиции	4	3
108	таким образом	10	3
109	ли не	2	3
110	анекдот в	1	3
111	свою очередь	1	3
112	но при	1	3
113	в ее	2	3
114	не с	1	3
115	еще в	1	3
116	и даже	5	3
117	что и	1	3
118	не сводится	1	3
119	в сферу	1	3
120	из них	2	3
121	тем что	3	3
122	именно в	6	3
123	при всей	1	3
124	это прежде	2	3
125	себе не	1	3
126	один из	3	3
127	все же	5	3
128	как уже	1	3
129	в свою	1	3
130	сказать что	1	3
131	другой стороны	2	3
132	это понятие	1	3
133	одним из	3	2
134	например в	5	2
135	и есть	2	2
136	он всегда	2	2
137	едва ли	2	2
138	в году	16	2
139	на себя	1	2
140	в виду	1	2
141	между собой	1	2
142	в различных	1	2
143	действующее лицо	1	2
144	но как	1	2
145	себя в	2	2
146	писателя в	2	2
147	справедливому замечанию	1	2
148	стороны и	1	2
149	хотя и	4	2
150	когда он	4	2
151	в противоположность	1	2
152	в этой	5	2
153	и анекдот	1	2
154	так сказать	2	2
155	по словам	2	2
156	он ни	1	2
157	в принципе	4	2
158	том чтобы	1	2
159	и по	2	2
160	так например	3	2
161	человека в	3	2
162	в каждом	1	2
163	об этом	4	2
164	того или	1	2
165	соответствии с	4	2
166	с человеком	1	2
167	в литературные	1	2
168	в г	1	2
169	и без	2	2
170	мысли и	1	2
171	направлен на	1	2
172	по крайней	2	2
173	и относительно	1	2
174	по мере	1	2
175	не менее	2	2
176	что с	1	2
177	текста и	1	2
178	а о	1	2
179	в наше	2	2
180	х годов	3	2
181	в тексте	1	2
182	и его	9	2
183	однако это	2	2
184	в момент	1	2
185	крайней мере	2	2
186	к себе	1	2
187	мифа не	1	2
188	отличается от	1	2
189	числе и	1	2
190	бахтина о	2	2
191	не есть	1	2
192	и он	2	2
193	как мы	1	2
194	по справедливому	1	2
195	характер и	1	2
196	в пределах	1	2
197	приводит к	2	2
198	но зато	3	2
199	в другом	1	2
200	и вообще	2	2
201	но отнюдь	1	2
202	в построении	1	2
203	а по	1	2
204	о нем	1	2
205	во всяком	2	2
206	и что	2	2
207	одного из	1	2
208	самому себе	1	2
209	и требует	1	2
210	в античной	3	2
211	в литературе	2	2
212	и одновременно	1	2
213	к различным	1	2
214	наше время	2	2
215	в литературу	1	2
216	и ее	2	2
217	точка зрения	2	2
218	литературы в	1	2
219	уже в	2	2
220	или даже	2	2
221	по выражению	1	2
222	в одном	2	2
223	сами по	1	2
224	в современном	3	2
225	как его	1	2
226	следует признать	1	2
227	никогда не	11	2
228	говорили о	1	2
229	к которому	2	2
230	и др	3	2
231	героя и	2	2
232	более того	2	2
233	в соответствии	4	2
234	а сам	1	2
235	в рассказе	3	2
236	зависит от	2	2
237	одну из	1	2
238	сути дела	3	2
239	автора в	1	2
240	что же	1	2
241	своего времени	1	2
242	жизни в	3	2
243	на ранних	2	2
244	в начале	3	2
245	к другим	1	2
246	частности в	1	2
247	своей собственной	1	2
248	будто бы	1	2
249	указывает на	1	2
250	может и	1	2
251	героя в	4	2
252	к этому	3	2
253	том числе	1	2
254	как известно	2	1
255	нем нет	1	1
256	можно говорить	1	1
257	речь идет	1	1
258	нами было	1	1
259	таком случае	2	1
260	не остается	1	1
261	бытия а	1	1
262	самом деле	2	1
263	переход от	1	1
264	это и	1	1
265	литературным или	1	1
266	и до	1	1
267	из его	1	1
268	видеть в	1	1
269	и за	1	1
270	той же	1	1
271	текста как	1	1
272	из своих	1	1
273	говорить о	2	1
274	я не	2	1
275	но уже	3	1
276	событий и	1	1
277	мы и	1	1
278	предстает как	1	1
279	в xix	2	1
280	он сам	3	1
281	истории в	1	1
282	иного рода	1	1
283	этих миров	1	1
284	и читателей	1	1
285	они имеют	2	1
286	а только	1	1
287	не то	1	1
288	только потому	1	1
289	и всякий	1	1
290	в противовес	1	1
291	конечном счете	1	1
292	его характером	1	1
293	тут же	2	1
294	нет и	2	1
295	что они	4	1
296	же с	9	1
297	опыта к	1	1
298	сострадания и	1	1
299	с их	1	1
300	о жизни	3	1
301	и нет	1	1
302	там же	9	1
303	основное внимание	1	1
304	в меру	1	1
305	есть его	1	1
306	определен как	1	1
307	в которой	2	1
308	что это	1	1
309	образом и	1	1
310	не был	1	1
311	из этих	1	1
312	по преимуществу	2	1
313	но его	1	1
314	на то	1	1
315	к эстетическому	1	1
316	в случае	1	1
317	что она	4	1
318	он не	3	1
319	анекдоты и	1	1
320	с ней	1	1
321	в первую	1	1
322	в предыстории	1	1
323	чем у	1	1
324	к одному	1	1
325	не к	1	1
326	уже говорилось	1	1
327	содержит в	1	1
328	на земле	1	1
329	любой из	1	1
330	литературе в	1	1
331	совпадают с	1	1
332	то чтобы	1	1
333	где нет	2	1
334	значение в	1	1
335	в мире	5	1
336	входящие в	1	1
337	можно принять	2	1
338	людей своего	1	1
339	при помощи	2	1
340	и других	2	1
341	первую очередь	1	1
342	с другими	2	1
343	на бумаге	1	1
344	то все	1	1
345	приходит в	1	1
346	в жизни	1	1
347	как литературный	1	1
348	который по	1	1
349	в бытовом	1	1
350	для них	1	1
351	с большей	1	1
352	он из	1	1
353	с этой	3	1
354	героями в	1	1
355	со своими	2	1
356	которой он	2	1
357	более не	2	1
358	мы видели	1	1
359	мы не	4	1
360	потому и	1	1
361	автора и	1	1
362	не мог	1	1
363	в этих	1	1
364	письма и	1	1
365	о ком	1	1
366	во время	1	1
367	таким же	1	1
368	это делает	1	1
369	если можно	1	1
370	не столько	2	1
371	в первый	1	1
372	отошел от	1	1
373	в дневнике	3	1
374	претендующего на	1	1
375	должны были	1	1
376	вплоть до	1	1
377	поэтому в	1	1
378	в философии	1	1
379	в россии	2	1
380	его к	1	1
381	и эти	1	1
382	и более	1	1
383	не могли	2	1
384	которой является	1	1
385	характер в	2	1
386	лицо к	1	1
387	тем самым	4	1
388	даже не	1	1
389	виду что	1	1
390	самого начала	1	1
391	истории с	1	1
392	не имеет	1	1
393	дело в	1	1
394	в центр	1	1
395	в русской	2	1
396	образом в	1	1
397	но только	1	1
398	в структуре	1	1
399	жизненной позиции	1	1
400	не полностью	1	1
401	не вполне	1	1
402	и приводит	1	1
403	не все	1	1
404	и является	1	1
405	xix веке	2	1
406	на него	2	1
407	здесь же	1	1
408	целом и	2	1
409	слова говорящий	1	1
410	как будто	1	1
411	героя а	1	1
412	что на	2	1
413	явно не	1	1
414	перед ним	1	1
415	личности в	2	1
416	ни о	1	1
417	не могут	1	1
418	встречается в	1	1
419	и должно	1	1
420	во все	1	1
421	и вполне	1	1
422	глубокое и	1	1
423	он стал	1	1
424	этой книги	1	1
425	его с	1	1
426	объекта и	1	1
427	активности в	1	1
428	отказаться от	2	1
429	говоря словами	1	1
430	если же	1	1
431	однако по	1	1
432	в работе	1	1
433	и это	3	1
434	и кому	1	1
435	своего развития	1	1
436	не делает	1	1
437	чем не	1	1
438	уклонение от	1	1
439	его поступки	1	1
440	и от	4	1
441	мысль о	1	1
442	только то	1	1
443	с самого	1	1
444	и сам	5	1
445	только через	2	1
446	он говорит	1	1
447	особенно в	2	1
448	живет в	1	1
449	мог бы	1	1
450	во второй	1	1
451	том как	1	1
452	если бы	4	1
453	его времени	2	1
454	быту и	1	1
455	развития в	1	1
456	быть в	1	1
457	иные способы	1	1
458	себя не	1	1
459	в подобном	1	1
460	и читателем	1	1
461	при котором	1	1
462	утверждает что	1	1
463	что его	2	1
464	как наиболее	1	1
465	жанрах в	1	1
466	в конечном	1	1
467	и вследствие	1	1
468	а напротив	1	1
469	повести и	1	1
470	а потому	1	1
471	в саду	1	1
472	романа в	1	1
473	в середине	1	1
474	а его	1	1
475	вообще в	1	1
476	и мы	3	1
477	герой в	1	1
478	известном смысле	1	1
479	в формах	1	1
480	с ними	2	1
481	пришел к	1	1
482	трагедии и	1	1
483	по мнению	3	1
484	или же	1	1
485	времени как	1	1
486	романа еще	1	1
487	в большинстве	1	1
488	в виде	2	1
489	если в	1	1
490	слова не	1	1
491	в известном	1	1
492	присутствует в	1	1
493	его и	2	1
494	и их	1	1
495	всяком случае	2	1
496	в известной	4	1
497	в конце	6	1
498	у этих	1	1
499	не о	1	1
500	может служить	2	1
501	друг друга	2	1
502	самоопределение личности	1	1
503	не случайно	2	1
504	как раз	1	1
505	автора как	1	1
506	таков был	1	1
507	представляют собой	1	1
508	для реализации	1	1
509	представление о	7	1
510	но эти	2	1
511	в области	1	1
512	с другим	2	1
513	до сих	3	1
514	фабулы и	2	1
515	уходит в	1	1
516	и прежде	1	1
517	было бы	1	1
518	представляет собою	1	1
519	же о	1	1
520	его из	1	1
521	связано с	1	1
522	в любой	1	1
523	за год	1	1
524	художественного целого	1	1
525	несмотря на	1	1
526	в связи	1	1
527	к сознанию	1	1
528	действия в	1	1
529	является его	1	1
530	в творчестве	5	1
531	вместе с	3	1
532	как это	1	1
533	человека к	1	1
534	только его	1	1
535	мифа в	3	1
536	восходит к	2	1
537	требует от	1	1
538	в область	3	1
539	целом ряде	1	1
540	герой далеко	1	1
541	наряду с	7	1
542	однако эти	2	1
543	двух сыновей	1	1
544	восходят к	1	1
545	в италии	1	1
546	романе достоевского	6	1
547	кто из	1	1
548	в современной	1	1
549	героическом эпосе	1	1
550	этого слова	1	1
551	по просьбе	1	1
552	сих пор	3	1
553	в основном	6	1
554	в чем	4	1
555	человеческого характера	1	1
556	ранних стадиях	3	1
557	это явление	1	1
558	при всем	1	1
559	без которой	1	1
560	писал в	1	1
561	под названием	1	1
562	в книге	1	1
563	это уже	2	1
564	из сыновей	1	1
565	он направлен	1	1
566	в результате	1	1
567	это как	1	1
568	а к	1	1
569	себя самого	1	1
570	или нет	1	1
571	у достоевского	30	1
572	но это	5	1
573	можно так	1	1
574	лежит в	1	1
575	так выразиться	1	1
576	отношении к	1	1
577	не являются	1	1
578	не знает	1	1
579	как нечто	1	1
580	или иного	1	1
581	имеют дело	1	1
582	читателя и	1	1
583	в голову	1	1
584	собой лишь	1	1
585	и другие	1	1
586	или во	1	1
587	по причине	2	1
588	событий в	1	1
589	в таком	3	1
