N	2gram	Vygotskiy__7	ViktorSh
1	конце концов	1	2
2	и в	26	2
3	том что	17	2
4	в том	18	2
5	в конце	4	2
6	и только	4	1
7	и почти	1	1
8	под влиянием	1	1
9	ни к	1	1
10	и том	1	1
11	в другом	1	1
12	и не	18	1
13	все время	1	1
14	и зависят	1	1
15	и его	12	1
16	потому что	16	1
17	я не	3	1
18	хотел сказать	3	1
19	не хочу	1	1
20	и то	7	1
21	теснейшим образом	1	1
22	самом деле	6	1
23	и т.д	1	1
24	все это	3	1
25	от других	1	1
26	по поводу	1	1
27	значит и	1	1
28	именно в	6	1
29	этом и	2	1
30	вещь и	1	1
31	по своим	2	1
32	в их	2	1
33	как же	1	1
34	но разве	1	1
35	их как	1	1
36	в частности	1	1
37	речи и	30	1
38	одно и	3	1
39	столь же	2	1
40	время в	2	1
41	ведь это	2	1
42	в которых	2	1
43	заключается что	1	1
44	разве это	1	1
45	в самом	9	1
46	для них	1	1
47	зависят от	1	1
48	только в	8	1
49	то же	8	1
50	говорится в	4	1
51	других и	1	1
52	ясно что	1	1
53	так как	14	1
54	что слово	2	1
55	чем к	1	1
56	к чему	1	1
57	но это	3	1
58	в этом	29	1
59	одном и	1	1
60	и самым	2	1
61	чем больше	1	1
62	а только	1	1
63	и заключается	3	1
64	по существу	1	1
65	к этому	2	1
66	гораздо более	4	1
67	том же	2	1
