N	3gram	Nazirov_Vr_1	StatiiOP
1	в том что	2	11
2	не может быть	2	5
3	в этом смысле	1	4
4	по крайней мере	1	4
5	с точки зрения	2	4
6	в этом отношении	1	4
7	во всяком случае	1	4
8	с другой стороны	1	4
9	о том что	1	4
10	в то время	1	4
11	в мировой литературе	1	3
12	в конце концов	1	3
13	в связи с	3	3
14	то же время	4	3
15	на то что	1	3
16	в то же	4	3
17	но это не	1	3
18	то что я	1	2
19	до сих пор	1	2
20	что это за	1	2
21	тем что он	1	2
22	и в этом	1	2
23	что в этой	1	2
24	заключается в том	1	2
25	тем более что	1	2
26	а с другой	1	2
27	тем не менее	1	2
28	независимо от того	1	2
29	у целого ряда	1	1
30	между прочим и	1	1
31	связи с этим	1	1
32	период работы над	1	1
33	в конце х	1	1
34	но и это	1	1
35	как раз в	2	1
36	в этой сцене	1	1
37	в период работы	1	1
38	и что он	1	1
39	но в целом	1	1
40	к вопросу о	1	1
41	все же он	1	1
42	с которым он	1	1
43	в том же	1	1
44	в году в	2	1
45	в известном смысле	1	1
46	вдаваясь в детальный	1	1
47	конце х годов	1	1
48	молодой человек в	1	1
49	он хочет сделать	1	1
50	что из всех	1	1
51	его отношение к	1	1
52	в свою очередь	1	1
53	что у него	1	1
54	и в самом	1	1
55	не только не	1	1
56	уже в году	1	1
57	речь идет о	1	1
58	это сказалось в	1	1
59	что этот человек	1	1
60	не вдаваясь в	1	1
61	интересно в этом	1	1
62	что в ней	1	1
63	ответ на это	1	1
64	в русской литературе	3	1
