N	3gram	Propp_Russ_1	Dialekti
1	и т д	9	19
2	с точки зрения	3	12
3	в том что	15	7
4	можно было бы	1	4
5	на то что	1	4
6	потому что он	1	3
7	только потому что	1	3
8	имеет ничего общего	1	3
9	может быть и	2	3
10	не значит что	2	3
11	и в этом	1	3
12	иметь в виду	1	3
13	ничего общего с	1	3
14	можно сказать что	1	3
15	не имеет ничего	1	3
16	т д и	1	2
17	на самом деле	1	2
18	в этом отношении	1	2
19	и т п	1	2
20	точно так же	1	2
21	так как он	1	2
22	друг к другу	2	2
23	во всяком случае	1	2
24	одна и та	1	2
25	о том что	4	2
26	к тому что	4	2
27	и та же	1	2
28	хотя и не	1	1
29	сказать что в	1	1
30	что в основе	1	1
31	в виду что	1	1
32	мы уже знаем	1	1
33	можно говорить о	1	1
34	как мы увидим	5	1
35	на самом же	1	1
36	но это не	2	1
37	нечто совсем другое	1	1
38	это не имеет	1	1
39	даже если бы	1	1
40	не потому что	1	1
41	смысл и назначение	1	1
42	в то время	1	1
43	ничего общего не	1	1
44	это та же	1	1
45	во всех этих	1	1
46	мы еще увидим	1	1
47	в связи с	4	1
48	это не значит	2	1
49	самом же деле	1	1
50	к нему а	1	1
51	и с ней	1	1
52	в своем значении	1	1
53	же с точки	1	1
54	к выводу что	2	1
55	что иное как	2	1
56	но все же	2	1
57	смерти и воскресения	1	1
58	в этих случаях	1	1
59	не что иное	2	1
60	тем не менее	3	1
61	друг с другом	1	1
62	привело к тому	2	1
63	не имеет смысла	1	1
