N	3gram	Berdyaev_V_1	Problemy
1	бы то ни	1	4
2	а между тем	2	3
3	по крайней мере	1	3
4	в конце концов	1	3
5	и все это	1	3
6	с другой стороны	1	3
7	то что я	2	2
8	хотя бы и	1	2
9	вместе с тем	1	2
10	того что он	1	2
11	и в этом	1	2
12	так и в	1	2
13	не в силах	2	2
14	и т д	2	2
15	не верит что	1	1
16	легенда о великом	2	1
17	если б и	1	1
18	т д и	1	1
19	да и то	1	1
20	за то что	3	1
21	то что ты	1	1
22	к тому что	3	1
23	с ними как	1	1
24	реакция на нее	1	1
25	и не было	1	1
26	и во всяком	1	1
27	в нем нет	2	1
28	раз и навсегда	1	1
29	о великом инквизиторе	4	1
30	всех людей он	1	1
31	и вместе с	1	1
32	как и в	1	1
33	и сам это	1	1
34	но все же	1	1
35	как бы в	1	1
36	в том что	2	1
