N	3gram	Tiupa_Narr_1	Formalny
1	с точки зрения	2	14
2	не может быть	5	14
3	на самом деле	1	12
4	в то же	3	7
5	то же время	3	7
6	с другой стороны	4	5
7	в самом деле	1	4
8	подобно тому как	2	4
9	в данном случае	4	4
10	в связи с	2	4
11	бы то ни	3	4
12	то ни было	3	4
13	а не в	2	3
14	по отношению к	6	3
15	то же самое	1	3
16	все без исключения	1	3
17	в этом отношении	3	3
18	в том что	8	3
19	с таким же	1	2
20	но уже в	1	2
21	в этом смысле	1	2
22	то или иное	2	2
23	и в то	1	2
24	до известной степени	1	2
25	сами по себе	2	2
26	в отличие от	5	2
27	лишь одним из	1	2
28	может быть только	1	2
29	в какой это	1	2
30	только то что	1	2
31	дело в том	1	2
32	так и в	1	2
33	в отвлечении от	2	2
34	тем не менее	3	2
35	так и от	1	2
36	как мы видели	1	2
37	и того же	1	1
38	так и не	2	1
39	не распадается на	1	1
40	что в этом	1	1
41	и столь же	1	1
42	дело здесь не	1	1
43	к сыну а	1	1
44	же обстоит дело	1	1
45	в действительности и	1	1
46	иметь в виду	1	1
47	какой бы то	1	1
48	но не самой	1	1
49	а иногда и	1	1
50	в том же	1	1
51	один и тот	1	1
52	жанр есть типическая	1	1
53	так и его	1	1
54	не имеем никакого	1	1
55	в том или	2	1
56	тот или иной	1	1
57	сам по себе	1	1
58	не может заменить	1	1
59	в чистом виде	1	1
60	к тому чтобы	1	1
61	в той мере	1	1
62	его смысла но	1	1
63	том или ином	2	1
64	здесь не в	2	1
65	а то и	1	1
66	с этой точки	1	1
67	до сих пор	1	1
68	сыну а от	1	1
69	ту или иную	2	1
70	так или иначе	2	1
71	но в таком	1	1
72	в значительной степени	2	1
73	так же как	2	1
74	есть типическая форма	1	1
75	между ними не	1	1
76	события но и	1	1
77	не только в	2	1
78	с одной стороны	7	1
79	и тот же	1	1
80	всех без исключения	1	1
81	и не было	1	1
82	это не так	1	1
83	связаны между собой	1	1
84	отца к сыну	1	1
85	а не как	1	1
86	событие самого рассказывания	1	1
87	в таком случае	2	1
88	а не только	1	1
89	мере в какой	1	1
90	все то что	1	1
91	этой точки зрения	2	1
92	о том что	6	1
93	того или иного	2	1
94	она могла стать	1	1
95	от отца к	1	1
96	не от отца	1	1
97	может и не	1	1
98	можно было бы	2	1
99	той или иной	4	1
100	героя в этом	1	1
101	но все же	4	1
102	можно сказать что	4	1
103	между жизнью и	1	1
104	одного и того	1	1
105	совершенно очевидно что	1	1
106	неотделимо от его	1	1
107	не сводится к	2	1
108	в данном контексте	1	1
109	в том числе	6	1
110	тех или иных	1	1
111	друг с другом	1	1
112	той мере в	1	1
113	как и в	1	1
114	том числе и	4	1
115	автора с читателем	1	1
