N	2gram	Trubetskoy_1	ViktorSh
1	конце концов	3	2
2	и в	26	2
3	том что	7	2
4	в том	11	2
5	в конце	6	2
6	и только	4	1
7	крайней мере	5	1
8	тем более	1	1
9	ни к	1	1
10	и том	1	1
11	сказать чтобы	1	1
12	хотя бы	3	1
13	и не	8	1
14	и его	1	1
15	потому что	7	1
16	а отсюда	1	1
17	самом деле	1	1
18	и т.д	6	1
19	все это	6	1
20	совершенно ясно	1	1
21	именно в	2	1
22	главным образом	8	1
23	по своим	2	1
24	в их	1	1
25	в которых	4	1
26	в значительной	3	1
27	в самом	4	1
28	только в	4	1
29	то же	4	1
30	ясно что	3	1
31	так как	9	1
32	далеко не	4	1
33	к чему	1	1
34	но это	1	1
35	в этом	15	1
36	одном и	1	1
37	да и	1	1
38	по крайней	5	1
39	ибо никакой	1	1
40	на одном	1	1
41	по существу	2	1
42	к этому	3	1
43	за свою	1	1
44	том же	1	1
