N	2gram	Trubetskoy_1	Mirosoze
1	может быть	16	30
2	не только	7	29
3	и в	23	28
4	не может	17	28
5	но и	9	25
6	а не	1	25
7	он не	3	24
8	в этом	12	20
9	не было	2	18
10	у него	5	17
11	не в	8	16
12	потому что	9	16
13	в ней	3	15
14	в своей	1	15
15	никогда не	4	14
16	до конца	1	14
17	в нем	3	13
18	и это	3	12
19	в самом	8	11
20	для него	2	11
21	и не	8	11
22	во имя	3	10
23	в своем	10	10
24	было бы	3	10
25	что в	8	10
26	в мире	6	10
27	прежде всего	3	10
28	что он	7	10
29	и потому	3	10
30	и все	7	10
31	те которые	1	9
32	с тем	2	9
33	и его	1	9
34	не есть	2	9
35	в его	5	9
36	из самых	1	8
37	в котором	2	8
38	но не	2	8
39	в человеке	1	8
40	но в	4	7
41	в себе	5	7
42	быть может	1	7
43	в конце	4	7
44	в самой	2	7
45	к нему	2	7
46	того что	6	7
47	нет ничего	1	7
48	должна быть	5	6
49	и на	6	6
50	он сам	1	6
51	в которой	5	6
52	лишь в	5	6
53	в этой	6	6
54	все в	2	6
55	только в	6	6
56	вместе с	6	6
57	все это	11	6
58	в том	30	6
59	нет и	1	5
60	если он	2	5
61	от нее	2	5
62	это не	3	5
63	как и	9	5
64	у нас	3	5
65	не могут	4	5
66	то что	18	5
67	и я	1	5
68	смысле слова	1	4
69	это и	1	4
70	есть не	1	4
71	отношение к	4	4
72	увидим что	1	4
73	веру в	1	4
74	чем у	8	4
75	не к	1	4
76	и по	3	4
77	в них	2	4
78	в этих	3	4
79	точки зрения	13	4
80	в их	4	4
81	в которых	2	4
82	человека но	1	4
83	к ней	1	4
84	она не	2	4
85	что и	7	4
86	один из	1	4
87	уже не	1	4
88	уже в	1	4
89	а в	3	4
90	тем что	1	4
91	нет в	2	4
92	и там	1	4
93	его миросозерцание	1	4
94	с этой	3	4
95	на пути	1	4
96	от него	3	4
97	не знает	2	4
98	с его	1	3
99	с этим	11	3
100	и еще	1	3
101	на том	2	3
102	этот процесс	2	3
103	и вот	1	3
104	на этом	2	3
105	заключает в	2	3
106	и с	5	3
107	то есть	2	3
108	его в	5	3
109	в жизни	3	3
110	только одно	2	3
111	том что	19	3
112	но если	2	3
113	не имеет	1	3
114	ничего не	1	3
115	к тому	8	3
116	этот путь	1	3
117	все его	2	3
118	социальной среды	1	3
119	конечно не	3	3
120	одно из	3	3
121	не так	4	3
122	и их	5	3
123	так как	7	3
124	себя и	2	3
125	людьми и	1	3
126	ко всем	3	3
127	это есть	4	3
128	должно быть	4	3
129	он должен	2	3
130	потому не	1	3
131	для нас	3	3
132	хотя бы	4	3
133	будто бы	1	3
134	одним из	4	2
135	также и	2	2
136	в этот	1	2
137	высшей степени	1	2
138	а как	1	2
139	вопрос о	3	2
140	время как	1	2
141	в виду	2	2
142	по отношению	9	2
143	себе и	1	2
144	в истории	3	2
145	в центре	1	2
146	как в	1	2
147	все же	13	2
148	и как	1	2
149	и к	5	2
150	от этого	1	2
151	и у	4	2
152	он в	1	2
153	все эти	19	2
154	бы не	1	2
155	приводит к	1	2
156	самого себя	4	2
157	только один	2	2
158	если бы	8	2
159	раз когда	1	2
160	с ней	1	2
161	людей и	1	2
162	входит в	1	2
163	который и	1	2
164	истории и	1	2
165	в ином	1	2
166	чем в	3	2
167	которую он	2	2
168	оказывается что	5	2
169	ближе чем	1	2
170	мысли и	1	2
171	сих пор	8	2
172	с которой	1	2
173	на земле	3	2
174	в то	6	2
175	к этим	1	2
176	в основе	2	2
177	того чтобы	8	2
178	по своей	7	2
179	на природу	1	2
180	и сама	1	2
181	есть только	1	2
182	могут быть	1	2
183	отличается от	6	2
184	всего в	1	2
185	как для	3	2
186	должен быть	1	2
187	и от	5	2
188	то время	2	2
189	и что	8	2
190	различие между	1	2
191	по сравнению	5	2
192	с ним	6	2
193	и нужно	1	2
194	о своей	1	2
195	о том	7	2
196	может не	3	2
197	и те	2	2
198	у всех	1	2
199	мы видим	1	2
200	нем не	1	2
201	жизни и	2	2
202	никто не	2	2
203	отношению к	9	2
204	как будто	5	2
205	даже и	1	2
206	для того	8	2
207	в высшей	1	2
208	до сих	8	2
209	долгое время	1	2
210	его собственной	4	2
211	он и	1	2
212	есть одно	1	2
213	по своему	5	2
214	как бы	10	2
215	сам не	1	2
216	быть не	1	2
217	в начале	2	2
218	душевной жизни	1	2
219	делает человека	1	2
220	в более	1	2
221	и для	6	2
222	его природы	1	2
223	всего что	1	2
224	бы в	3	2
225	конце концов	4	2
226	жизни в	1	2
227	вере в	1	2
228	в свою	2	2
229	сказать что	1	2
230	эти слова	1	2
231	к этому	5	2
232	все что	9	2
233	я и	1	1
234	ту же	2	1
235	чувствовать себя	1	1
236	каждый должен	1	1
237	и то	4	1
238	на самом	7	1
239	сил и	2	1
240	между двумя	5	1
241	и до	3	1
242	жизни ее	1	1
243	но те	1	1
244	в зависимости	1	1
245	разные стороны	1	1
246	и греческой	1	1
247	из всех	5	1
248	и вырождения	1	1
249	мы не	1	1
250	не во	1	1
251	уже более	2	1
252	имеет свою	1	1
253	не вполне	3	1
254	я не	2	1
255	бы ни	1	1
256	то это	1	1
257	зависимости от	1	1
258	начало и	6	1
259	и состоит	2	1
260	стороны его	1	1
261	сомнения и	1	1
262	меньше чем	2	1
263	еще не	5	1
264	иное как	1	1
265	себя а	1	1
266	смотрят на	1	1
267	сознании это	1	1
268	во всех	10	1
269	тем как	1	1
270	не без	2	1
271	самом деле	12	1
272	друг к	2	1
273	к которой	3	1
274	в сторону	2	1
275	тех же	2	1
276	если в	1	1
277	него все	1	1
278	культуру и	4	1
279	с психологической	1	1
280	отличие от	3	1
281	человеческая порода	1	1
282	что они	2	1
283	которые не	3	1
284	государство не	1	1
285	же мало	2	1
286	мира в	1	1
287	что во	1	1
288	как к	5	1
289	его к	1	1
290	к культуре	14	1
291	не очень	2	1
292	всегда был	1	1
293	жизни к	1	1
294	со своей	1	1
295	и идет	1	1
296	отказывается от	1	1
297	что составляет	1	1
298	почему русский	1	1
299	что же	2	1
300	приведет к	1	1
301	является лишь	1	1
302	культуры для	2	1
303	и кто	1	1
304	роль в	1	1
305	во многих	1	1
306	в мышлении	1	1
307	можно лишь	2	1
308	весь свой	1	1
309	видит и	1	1
310	неизбежно должны	1	1
311	он все	2	1
312	силой и	1	1
313	всех этих	4	1
314	нее и	1	1
315	к одному	1	1
316	в силу	7	1
317	европейской культуры	6	1
318	общество и	1	1
319	из него	2	1
320	лишь с	1	1
321	и заключается	1	1
322	в каждом	1	1
323	которые уже	2	1
324	же не	3	1
325	в состоянии	4	1
326	указывали на	1	1
327	они должны	3	1
328	том случае	4	1
329	к другу	2	1
330	из самой	1	1
331	на все	5	1
332	знает что	1	1
333	это было	1	1
334	чтобы все	3	1
335	всю свою	1	1
336	чтобы узнать	1	1
337	после этого	1	1
338	кажется что	1	1
339	культурных ценностей	20	1
340	которой он	1	1
341	с такой	1	1
342	и различие	1	1
343	смысл и	1	1
344	же я	1	1
345	лучше всего	1	1
346	к тем	2	1
347	что такое	1	1
348	еще менее	1	1
349	можно найти	1	1
350	в такой	4	1
351	и без	5	1
352	что до	1	1
353	не от	1	1
354	стоит в	1	1
355	что я	1	1
356	ответить на	2	1
357	ее он	1	1
358	для многих	1	1
359	точку зрения	2	1
360	делает его	1	1
361	и эти	1	1
362	и более	2	1
363	только те	2	1
364	как от	1	1
365	культурной среды	1	1
366	вовсе не	2	1
367	есть всегда	1	1
368	сам он	1	1
369	почти все	2	1
370	и истории	5	1
371	в отношении	1	1
372	между людьми	2	1
373	а от	1	1
374	не менее	7	1
375	психологии к	1	1
376	человек принадлежит	2	1
377	на два	1	1
