N	4gram	Tiupa_Narr_1	KulturaY
1	и в самом деле	1	3
2	до сих пор еще	1	3
3	в той или иной	1	2
4	одного и того же	1	2
5	один и тот же	1	2
6	лишь в том случае	1	2
7	обращает на себя внимание	3	1
8	в первом случае мы	1	1
9	если бы не было	1	1
10	и не может быть	1	1
11	мы тем не менее	1	1
12	который в данном случае	1	1
13	но для того чтобы	1	1
14	в рамках одного и	1	1
15	и в то же	1	1
16	рамках одного и того	1	1
17	в войне и мире	2	1
18	той или иной степени	1	1
19	в то же время	4	1
20	в том что на	1	1
