N	3gram	Medvedev_V_1	Marksizm
1	не может быть	8	13
2	в самом деле	1	9
3	и не может	2	9
4	до сих пор	1	8
5	в связи с	3	7
6	как мы знаем	1	5
7	с другой стороны	8	5
8	то же самое	1	3
9	в этом отношении	13	3
10	на этот вопрос	1	3
11	может быть и	1	3
12	в конце концов	2	3
13	то же время	5	3
14	можно сказать что	4	3
15	в то же	5	3
16	для того чтобы	3	3
17	в том что	5	3
18	нет и не	1	2
19	же как и	1	2
20	в чем же	2	2
21	в том числе	2	2
22	как и все	1	2
23	в таком случае	1	2
24	сама по себе	1	2
25	том числе и	2	2
26	можно было бы	2	2
27	со всех сторон	1	2
28	как если бы	1	2
29	что во всех	1	2
30	так же как	1	2
31	но в то	1	2
32	во всяком случае	1	2
33	не могут быть	1	2
34	вопрос о том	1	2
35	по отношению к	7	2
36	между этими двумя	1	2
37	от того что	2	2
38	в свою очередь	1	2
39	это и есть	3	2
40	быть и речи	1	2
41	в этом смысле	1	2
42	ничего общего с	1	2
43	то все же	1	1
44	к этому же	1	1
45	этой проблемы в	1	1
46	оно может быть	1	1
47	чуть ли не	2	1
48	имеет свою историю	1	1
49	равно как и	4	1
50	большей или меньшей	3	1
51	подобно тому как	2	1
52	а между тем	1	1
53	как это делает	3	1
54	тот или иной	1	1
55	хотя бы и	5	1
56	сами по себе	1	1
57	но и в	1	1
58	не было бы	4	1
59	по аналогии с	1	1
60	это вовсе не	1	1
61	к этому сводится	2	1
62	чем иным как	1	1
63	с этой точки	1	1
64	является не чем	1	1
65	ни в какой	1	1
66	ту или иную	1	1
67	так или иначе	1	1
68	в едином и	1	1
69	как и самый	1	1
70	мы полагаем что	1	1
71	и ту же	1	1
72	в образе в	1	1
73	не чем иным	1	1
74	а не только	1	1
75	или как говорит	1	1
76	на эти вопросы	2	1
77	лежит в основе	1	1
78	с одной стороны	2	1
79	идеологического творчества не	1	1
80	всего может быть	1	1
81	имеют громадное значение	1	1
82	в результате чего	2	1
83	прежде всего необходимо	1	1
84	в большей или	2	1
85	все же не	1	1
86	так и от	2	1
87	а в том	1	1
88	в основном в	1	1
89	именно в том	1	1
90	между ними может	1	1
91	сих пор не	1	1
92	более или менее	6	1
93	таким образом в	2	1
94	из которых каждая	1	1
95	в точном смысле	2	1
96	этой точки зрения	2	1
97	и без того	1	1
98	не только не	2	1
99	не только в	2	1
100	и в результате	1	1
101	в новое время	1	1
102	таким образом не	3	1
103	этого в каждом	1	1
104	что в процессе	1	1
105	в применении к	1	1
106	таким образом и	1	1
107	к тому что	3	1
108	и к этим	1	1
109	и в науке	1	1
110	одну и ту	1	1
111	в последнем счете	1	1
112	и речи о	1	1
113	может быть в	1	1
114	имеются в виду	1	1
115	во всех других	1	1
116	таким образом по	2	1
117	той или иной	1	1
118	и в другом	2	1
