N	2gram	Voloshinov_1	Poddanst
1	не только	5	17
2	и в	15	14
3	и не	16	12
4	в области	3	11
5	в этом	13	10
6	в отношении	2	10
7	в качестве	2	9
8	но в	9	9
9	то же	7	9
10	в том	4	9
11	хотя бы	7	8
12	только в	6	7
13	в то	6	7
14	же время	5	7
15	в ней	5	6
16	было бы	6	6
17	но и	4	6
18	быть может	1	6
19	в смысле	1	6
20	с другой	1	5
21	может быть	13	5
22	и пр	9	5
23	не в	4	5
24	и о	3	5
25	на путях	1	4
26	если бы	3	4
27	а также	1	4
28	в своем	2	4
29	и к	7	4
30	как бы	11	4
31	том что	5	4
32	не может	13	4
33	и потому	8	4
34	в котором	1	4
35	по себе	2	4
36	в русской	1	4
37	что в	6	4
38	мы должны	7	4
39	а в	6	4
40	то что	10	4
41	и временами	1	3
42	и т	1	3
43	мы не	4	3
44	сводится к	3	3
45	между тем	2	3
46	это не	2	3
47	хотя и	1	3
48	и как	1	3
49	тот же	5	3
50	с ними	4	3
51	с одной	1	3
52	в себе	4	3
53	в нем	4	3
54	для того	1	3
55	заключается в	1	3
56	прежде всего	11	3
57	одной стороны	1	3
58	что мы	2	3
59	и без	1	3
60	с точки	10	3
61	но не	5	3
62	могут быть	6	3
63	потому что	4	3
64	точки зрения	13	3
65	я и	6	3
66	нужно помнить	1	2
67	и это	1	2
68	отношения к	2	2
69	например в	1	2
70	в ее	4	2
71	и есть	2	2
72	в мире	1	2
73	было в	1	2
74	начала и	1	2
75	осуществляется в	1	2
76	которую мы	1	2
77	по сравнению	1	2
78	в глубинах	1	2
79	только это	1	2
80	надстройка над	1	2
81	время в	2	2
82	во всех	8	2
83	в которую	1	2
84	в общем	1	2
85	во всей	1	2
86	со стороны	2	2
87	из важнейших	2	2
88	отнюдь не	2	2
89	с этим	6	2
90	пути в	1	2
91	того что	2	2
92	теперь в	1	2
93	думать что	2	2
94	в начале	1	2
95	главным образом	4	2
96	в его	9	2
97	из них	1	2
98	не к	1	2
99	и вот	6	2
100	как раз	2	2
101	по-видимому не	1	2
102	и с	7	2
103	именно в	3	2
104	мира с	1	2
105	и тем	1	2
106	в жизни	5	2
107	для них	3	2
108	не было	4	2
109	а не	2	2
110	в ряду	1	2
111	должно быть	2	2
112	хх века	2	2
113	в эту	2	2
114	не будем	2	2
115	друг другу	1	2
116	не менее	3	2
117	все это	5	2
118	одна из	3	2
119	мира нового	1	2
120	мысль о	1	2
121	еще более	2	2
122	тем более	1	2
123	исключительно в	1	2
124	как на	3	2
125	также и	1	1
126	же как	1	1
127	и через	2	1
128	связана с	1	1
129	и то	2	1
130	взять на	1	1
131	на основе	1	1
132	и вслед	1	1
133	как по	2	1
134	тем же	1	1
135	и этим	3	1
136	в себя	5	1
137	культуры и	1	1
138	так было	1	1
139	учреждения мы	1	1
140	на две	3	1
141	культуры на	1	1
142	к смерти	4	1
143	должна быть	1	1
144	собственном смысле	1	1
145	целому ряду	1	1
146	на заре	1	1
147	те же	4	1
148	особенно в	1	1
149	в борьбе	1	1
150	еще в	1	1
151	в эпоху	3	1
152	два направления	2	1
153	для этого	4	1
154	в собственном	2	1
155	что некоторая	1	1
156	находится в	3	1
157	оно есть	1	1
158	на себя	2	1
159	с ее	3	1
160	и ее	3	1
161	мы и	4	1
162	и здесь	1	1
163	характер этого	1	1
164	настоящее время	1	1
165	и что	3	1
166	государство и	1	1
167	притом в	1	1
168	еще не	7	1
169	и на	3	1
170	он был	3	1
171	в различных	2	1
172	с его	8	1
173	этого отношения	1	1
174	жить и	1	1
175	не все	1	1
176	борьбе с	1	1
177	что и	2	1
178	отличие от	1	1
179	в стадии	1	1
180	и чем	1	1
181	также в	1	1
182	в истории	3	1
183	вот как	1	1
184	– но	1	1
185	в современной	1	1
186	все же	5	1
187	наше сознание	1	1
188	мы видим	1	1
189	два основных	1	1
190	она касается	1	1
191	в какой	1	1
192	должен быть	2	1
193	может оказаться	1	1
194	в самом	6	1
195	только то	3	1
196	в условиях	3	1
197	но как	1	1
198	в которой	1	1
199	бы и	2	1
200	что это	3	1
201	и культурного	1	1
202	из этих	4	1
203	тот или	1	1
204	если мы	5	1
205	именно на	1	1
206	и мудрости	1	1
207	человека с	2	1
208	себя в	2	1
209	что его	1	1
210	и чувствуем	1	1
211	и современная	2	1
212	уже в	1	1
213	во многих	1	1
214	в большинстве	4	1
215	только на	2	1
216	этот вывод	1	1
217	на то	1	1
218	если он	5	1
219	в наших	1	1
220	философской и	1	1
221	в мир	3	1
222	т д	1	1
223	кульминационный пункт	1	1
224	с основной	1	1
225	из этой	2	1
226	мы знаем	7	1
227	мир в	2	1
228	одно из	3	1
229	есть та	1	1
230	идеи и	2	1
231	европы и	1	1
232	не как	1	1
233	сохранению и	1	1
234	последние годы	1	1
235	мы можем	12	1
236	чтобы это	1	1
237	века в	2	1
238	и только	4	1
239	и по	5	1
240	прежде чем	1	1
241	с собой	1	1
242	одно и	1	1
243	основные черты	2	1
244	не хотим	1	1
245	а затем	1	1
246	связанные с	2	1
247	без того	1	1
248	она оказывается	1	1
249	или иной	1	1
250	на этой	2	1
251	большинстве случаев	5	1
252	ясно что	1	1
253	его в	8	1
254	в душе	13	1
255	и тех	2	1
256	совершенно ясно	1	1
257	и быть	1	1
258	а с	1	1
259	были в	1	1
260	области и	1	1
261	или хотя	1	1
262	по всему	2	1
263	далеко не	4	1
264	в этой	5	1
265	на основании	2	1
266	как и	6	1
267	и уже	1	1
268	и некоторых	1	1
269	относящиеся к	1	1
270	в развитии	4	1
271	рождается и	1	1
272	эту эпоху	1	1
273	эти пути	1	1
274	и при	3	1
275	в которые	1	1
276	так же	1	1
277	и особенно	1	1
278	из мира	1	1
279	всяком случае	3	1
280	все основные	4	1
281	в отличие	1	1
282	мысли и	4	1
283	знаем что	3	1
284	по широте	1	1
285	в данном	3	1
286	вопрос о	1	1
287	к сохранению	1	1
288	сравнению с	1	1
289	существует но	1	1
290	любовь и	1	1
291	что было	1	1
292	и эти	1	1
293	в прошлом	1	1
294	этого сделать	1	1
295	распадается на	1	1
296	к следующему	1	1
297	и очень	2	1
298	этой области	3	1
299	нет никакого	2	1
300	сохранить и	1	1
301	в основном	2	1
302	стремление к	2	1
303	она не	2	1
304	что с	1	1
305	иной раз	1	1
306	есть прежде	1	1
307	и философской	1	1
308	к другим	2	1
309	тогда когда	1	1
310	своего существования	1	1
311	и образы	3	1
312	того чтобы	2	1
313	– все	4	1
314	рассматривать как	1	1
315	никогда не	7	1
316	то главным	1	1
317	наука и	2	1
318	в настоящее	1	1
319	находятся в	1	1
320	этих двух	2	1
321	они являются	1	1
322	это сделать	1	1
323	не более	1	1
324	и притом	1	1
325	и которая	1	1
326	как высшее	1	1
327	разрыва между	1	1
328	что по	1	1
329	есть область	1	1
330	в г	3	1
331	и теперь	1	1
332	в этих	2	1
333	в случаях	1	1
334	помимо воли	1	1
335	нет ничего	1	1
336	в каком	3	1
337	конечно и	3	1
338	в психологии	2	1
339	из тех	1	1
340	в философии	1	1
341	только как	1	1
342	именно о	1	1
343	в момент	1	1
344	знаем и	1	1
345	и страсти	1	1
346	что все	5	1
347	есть и	2	1
348	мы все	1	1
349	что оно	2	1
350	к сожалению	1	1
351	к этой	1	1
352	ни на	2	1
353	и другие	2	1
354	вместе с	4	1
355	что при	2	1
356	который не	1	1
357	русской литературы	1	1
358	во всяком	4	1
359	они не	2	1
360	гораздо более	1	1
