N	3gram	Potebnia_M_1	Marksizm
1	с точки зрения	3	20
2	не может быть	9	13
3	до сих пор	1	8
4	бы то ни	2	8
5	то ни было	1	8
6	в связи с	1	7
7	и того же	2	5
8	одного и того	2	5
9	с другой стороны	5	5
10	с самого начала	3	4
11	то что делает	1	3
12	в этом отношении	1	3
13	на этот вопрос	2	3
14	все без исключения	1	3
15	языка и его	5	3
16	то же время	3	3
17	в первом случае	1	3
18	но все же	1	3
19	в то же	3	3
20	для того чтобы	2	3
21	в том что	13	3
22	и той же	3	2
23	но при этом	1	2
24	в таком случае	2	2
25	сама по себе	3	2
26	можно было бы	1	2
27	определение может быть	1	2
28	как если бы	1	2
29	что во всех	1	2
30	так же как	1	2
31	во всяком случае	1	2
32	смысле этого слова	1	2
33	не могут быть	2	2
34	вопрос о том	1	2
35	одной и той	3	2
36	по отношению к	13	2
37	между этими двумя	1	2
38	от того что	1	2
39	в свою очередь	4	2
40	в этом смысле	4	2
41	быть сведены к	1	2
42	языка в смысле	1	2
43	тем не менее	6	2
44	то все же	1	1
45	все более и	2	1
46	же может быть	1	1
47	а следовательно и	1	1
48	то с другой	1	1
49	может еще дать	1	1
50	не следует что	1	1
51	и в таком	1	1
52	и для самого	1	1
53	имеет свою историю	1	1
54	подобно тому как	3	1
55	и говорящий и	1	1
56	а между тем	3	1
57	как бы ни	2	1
58	что язык есть	5	1
59	сами по себе	1	1
60	сказать что и	1	1
61	но и в	4	1
62	не было бы	1	1
63	том каким образом	1	1
64	связи между явлениями	1	1
65	может быть только	1	1
66	с этой точки	1	1
67	в каждой форме	1	1
68	вследствие этого в	1	1
69	человечества но все	1	1
70	из виду что	1	1
71	с одной стороны	3	1
72	языка по отношению	2	1
73	в какой форме	1	1
74	не зависит от	1	1
75	не может еще	1	1
76	и как бы	3	1
77	могут быть сведены	1	1
78	в грамматических формах	1	1
79	а в том	3	1
80	а не в	1	1
81	уже с самого	2	1
82	тем что в	1	1
83	именно в том	1	1
84	совпадает с областью	1	1
85	более или менее	1	1
86	нет ничего общего	1	1
87	таким образом в	1	1
88	мы видим все	1	1
89	от того как	1	1
90	и в языке	3	1
91	так и в	3	1
92	о языке в	1	1
93	само по себе	4	1
94	но в одном	1	1
95	этой точки зрения	1	1
96	с тем что	3	1
97	точки зрения так	1	1
98	другой стороны и	1	1
99	как и во	1	1
100	это значит что	1	1
101	не только не	2	1
102	более и более	2	1
103	не только в	3	1
104	не может стать	1	1
105	как мы видим	1	1
106	друг от друга	2	1
107	что язык в	1	1
108	в применении к	2	1
109	к тому что	2	1
110	между словом и	1	1
111	друг за другом	1	1
112	на самом деле	1	1
113	говорящего и слушающего	1	1
114	в организме а	1	1
115	притом так что	1	1
116	язык имеет свою	1	1
117	и история языка	1	1
118	скажем что язык	1	1
119	как мы видели	1	1
120	и вопрос о	1	1
