N	3gram	Voloshinov_1	Narrotol
1	в том что	2	8
2	в данном случае	2	6
3	по отношению к	3	5
4	в отличие от	1	5
5	с одной стороны	2	5
6	состоит в том	1	4
7	тем не менее	1	4
8	в этом отношении	1	3
9	того или иного	2	3
10	то же время	1	3
11	в конечном счете	1	3
12	в то же	1	3
13	к тому что	1	3
14	с точки зрения	5	2
15	на самом деле	1	2
16	подобно тому как	1	2
17	и не может	1	2
18	так же как	1	2
19	не может быть	4	2
20	тому что он	1	2
21	все то что	1	2
22	что иное как	2	1
23	сказал что они	1	1
24	в чем же	1	1
25	иметь в виду	1	1
26	более или менее	1	1
27	в которых он	1	1
28	в самом деле	2	1
29	то же самое	1	1
30	как это обычно	1	1
31	в зависимости от	2	1
32	не входит в	1	1
33	не может иметь	1	1
34	следует иметь в	1	1
35	можно было бы	1	1
36	которым можно было	1	1
37	далеко не всегда	1	1
38	но в действительности	1	1
39	а также и	1	1
40	в связи с	1	1
41	этой точки зрения	1	1
42	есть не что	2	1
43	с этой точки	1	1
44	что в ней	1	1
45	собственно говоря и	1	1
46	если говорить о	1	1
47	не что иное	2	1
48	для того чтобы	1	1
