N	3gram	Tiupa_Narr_1	NovoeSre
1	не может быть	5	4
2	подобно тому как	2	3
3	никогда не было	1	2
4	в этом смысле	1	2
5	он не может	1	2
6	так же как	2	2
7	с одной стороны	7	2
8	с другой стороны	4	2
9	по своей природе	1	1
10	и того же	1	1
11	что в этом	1	1
12	только потому что	1	1
13	без обращения к	1	1
14	прежде всего они	1	1
15	и в будущем	2	1
16	а не с	1	1
17	а не в	2	1
18	одного и того	1	1
19	есть прежде всего	1	1
20	в том числе	6	1
21	же как и	1	1
22	не было и	1	1
23	как это было	1	1
24	до сих пор	1	1
25	сами по себе	2	1
26	более не будет	1	1
27	в отличие от	5	1
28	том числе и	4	1
29	культура нового времени	1	1
30	можно было бы	2	1
31	нет у него	2	1
32	может быть только	1	1
33	и не в	4	1
34	мы переходим от	1	1
35	истории в том	1	1
36	в том чтобы	1	1
37	не только в	2	1
38	в известном смысле	2	1
39	к одному из	1	1
40	то что он	1	1
41	в нем не	1	1
42	о том что	6	1
43	в значительной степени	2	1
44	истории но и	1	1
45	должна быть признана	1	1
46	истории в этом	1	1
47	в этой системе	1	1
48	в том что	8	1
49	как и в	1	1
